arm,mean_minutes_allocated_to_tier_B,mean_minutes_actually_played_by_tier_B,misallocation_minutes_per_team_game
X0,14.44414776540326,5.5316930076628354,8.912454757740424
Xa,9.536973395152023,5.5316930076628354,4.005280387489188
Y_R1_departed_S2,11.563804814619408,5.5316930076628354,6.032111806956572
Z_R1_departed_S2,8.683295595378446,5.5316930076628354,3.1516025877156126
Y_R2_stale_S2,11.866974700614696,5.5316930076628354,6.335281692951859
Z_R2_stale_S2,8.609542089831432,5.5316930076628354,3.0778490821685973
Y_R3_union_S2,10.067144539286941,5.5316930076628354,4.535451531624109
Z_R3_union_S2,7.969580575501394,5.5316930076628354,2.4378875678385596
Y_R4_departed_all,11.083154404629413,5.5316930076628354,5.5514613969665785
Z_R4_departed_all,8.090530700451904,5.5316930076628354,2.5588376927890684
