quantity,mine,published,abs_diff,tolerance,confirmed
universe rows per team-game,14.42816091954023,14.4282,3.908045976963592e-05,0.0005,True
realised roster per team-game,9.401580459770114,9.4016,1.954022988570614e-05,0.0005,True
sum p_active per team-game,10.33807896885556,10.3381,2.1031144440186722e-05,0.0005,True
B1 level bias,8.138903497093473,8.1389,3.4970934734701586e-06,0.005,True
B1 (bottom-up) team MAE,18.263036606875854,18.263037,3.931241465693347e-07,1e-05,True
A_TEAM (top-down) team MAE,8.685506242216618,8.685506,2.422166183180252e-07,1e-05,True
"player Brier, all RS1P",0.13024815294437733,0.1302,4.815294437732209e-05,0.0005,True
"player Brier, tier A",0.09320082283304329,0.0932,8.228330432846764e-07,0.0005,True
"player AUC, all RS1P",0.9025728794531128,0.9026,2.7120546887138275e-05,0.0005,True
"player log-loss, all RS1P",0.40558111574637984,0.4056,1.8884253620177205e-05,0.0005,True
