candidate,sd,var_share_BETWEEN_team_game,var_share_WITHIN_team_game,frac_rows_equal_to_tg_mean,declared
C1_player_rest,3.1583474117953383,0.6231805662768458,0.3768194337231542,0.4944068911886104,WITHIN_TG
C2_foul_rate,2.058508684384879,0.09478440475226363,0.9052155952477363,0.02787581503858348,WITHIN_TG
C3_blowout_adj,1.3775571811288658,0.09267944366902892,0.9073205563309711,0.08655859304899205,WITHIN_TG
C4_min_volatility,2.2353132158543367,0.20375010921914358,0.7962498907808564,0.05533289465813244,WITHIN_TG
C5_starter_delta,0.2011061209651692,0.07042539097309221,0.9295746090269078,0.147634144882455,WITHIN_TG
C6_team_rest,2.4550375600682717,1.0,0.0,1.0,TG_CONSTANT
C7_sched_density,0.8587521577467071,1.0,0.0,1.0,TG_CONSTANT
C8_opp_pace_prior,2.0002146124938798,1.0000000000000004,-4.440892098500626e-16,1.0,TG_CONSTANT
G01_noise,0.9979489386609257,0.10712197337065256,0.8928780266293475,0.0,WITHIN_TG
G02_tg_noise,1.0289006632365079,1.0,0.0,1.0,TG_CONSTANT
