target,estimator,split,n,mae,rmse
pts,STD_expanding,SELECT_2021_2022,7463,4.117562227042204,5.371521827633086
pts,STD_expanding,2023,4435,4.102661221162649,5.43799006104736
pts,STD_expanding,2024,4447,4.1065203967892465,5.376041070352654
pts,STD_expanding,SCORE_pooled,8882,4.104593415939894,5.407062437359075
pts,ROLL_w1,SELECT_2021_2022,7463,5.192147929786949,6.946079727660021
pts,ROLL_w1,2023,4435,5.2209695603156705,7.141333707728615
pts,ROLL_w1,2024,4447,5.165279964020688,6.95583419965481
pts,ROLL_w1,SCORE_pooled,8882,5.1930871425354646,7.049068857878778
pts,ROLL_w3,SELECT_2021_2022,7463,4.3687971771852245,5.763776582304104
pts,ROLL_w3,2023,4435,4.419090567455844,5.928557080077321
pts,ROLL_w3,2024,4447,4.376208680008995,5.814742775111733
pts,ROLL_w3,SCORE_pooled,8882,4.397620656008407,5.871848807788453
pts,ROLL_w5,SELECT_2021_2022,7463,4.205844387869043,5.5288993128627
pts,ROLL_w5,2023,4435,4.245723412251033,5.653796617930155
pts,ROLL_w5,2024,4447,4.20185518326962,5.536136840894142
pts,ROLL_w5,SCORE_pooled,8882,4.223759663739398,5.595196534644919
pts,ROLL_w10,SELECT_2021_2022,7463,4.096802054154995,5.366032862779823
pts,ROLL_w10,2023,4435,4.127791109679498,5.47162120602954
pts,ROLL_w10,2024,4447,4.10379201601936,5.375042182910588
pts,ROLL_w10,SCORE_pooled,8882,4.1157753508969455,5.423481436645299
pts,ROLL_w20,SELECT_2021_2022,7463,4.10214964552702,5.358632081871036
pts,ROLL_w20,2023,4435,4.120104149922876,5.454208893446736
pts,ROLL_w20,2024,4447,4.095970480857804,5.359599239989187
pts,ROLL_w20,SCORE_pooled,8882,4.1080210125290035,5.407047087969701
pts,TOT_a0.05,SELECT_2021_2022,7463,4.087943545963034,5.3363809642666755
pts,TOT_a0.05,2023,4435,4.085721760398158,5.41847425113474
pts,TOT_a0.05,2024,4447,4.076363482110446,5.333335299497229
pts,TOT_a0.05,SCORE_pooled,8882,4.081036299517112,5.376015805481537
pts,TOT_a0.08,SELECT_2021_2022,7463,4.077742389839556,5.327922029761262
pts,TOT_a0.08,2023,4435,4.083753017827976,5.420181211794363
pts,TOT_a0.08,2024,4447,4.068853059142104,5.324313150297961
pts,TOT_a0.08,SCORE_pooled,8882,4.076292973212341,5.372396264233599
pts,TOT_a0.10,SELECT_2021_2022,7463,4.074666998411233,5.327481007878704
pts,TOT_a0.10,2023,4435,4.085092276972347,5.425920894851681
pts,TOT_a0.10,2024,4447,4.067259430967101,5.3245263756367125
pts,TOT_a0.10,SCORE_pooled,8882,4.076163807462627,5.375394217707213
pts,TOT_a0.15,SELECT_2021_2022,7463,4.077510513829631,5.34177075737687
pts,TOT_a0.15,2023,4435,4.09970467881706,5.4529474126252
pts,TOT_a0.15,2024,4447,4.073903075841994,5.342128642638702
pts,TOT_a0.15,SCORE_pooled,8882,4.086786447739587,5.397747570317741
pts,TOT_a0.20,SELECT_2021_2022,7463,4.096505822296759,5.372883348483883
pts,TOT_a0.20,2023,4435,4.123032794810691,5.493980215174209
pts,TOT_a0.20,2024,4447,4.092343068990939,5.377320076558878
pts,TOT_a0.20,SCORE_pooled,8882,4.107667200268871,5.435884304718379
pts,TOT_a0.25,SELECT_2021_2022,7463,4.125667307944295,5.415950147592478
pts,TOT_a0.25,2023,4435,4.155009409104612,5.5456843637187445
pts,TOT_a0.25,2024,4447,4.120877732460271,5.42453968099919
pts,TOT_a0.25,SCORE_pooled,8882,4.137920514031725,5.485364632017679
pts,TOT_a0.30,SELECT_2021_2022,7463,4.16123999277922,5.468065971769385
pts,TOT_a0.30,2023,4435,4.192642719988413,5.605978690650439
pts,TOT_a0.30,2024,4447,4.154556285608136,5.480688530424845
pts,TOT_a0.30,SCORE_pooled,8882,4.173573774515648,5.543602942816807
pts,TOT_a0.40,SELECT_2021_2022,7463,4.2492584119157275,5.593916680755423
pts,TOT_a0.40,2023,4435,4.282026438302243,5.747541961284692
pts,TOT_a0.40,2024,4447,4.237833565324389,5.613645044847211
pts,TOT_a0.40,SCORE_pooled,8882,4.259900148487728,5.680897553898156
pts,TOT_a0.50,SELECT_2021_2022,7463,4.355086098565661,5.745342646594362
pts,TOT_a0.50,2023,4435,4.386889471001916,5.9132843924195715
pts,TOT_a0.50,2024,4447,4.338780663256307,5.769954080624023
pts,TOT_a0.50,SCORE_pooled,8882,4.362802568497443,5.841961998583414
pts,TOT_a0.70,SELECT_2021_2022,7463,4.623146982578418,6.12637233128703
pts,TOT_a0.70,2023,4435,4.653200382905711,6.315391711972126
pts,TOT_a0.70,2024,4447,4.6017740318289295,6.152283511224977
pts,TOT_a0.70,SCORE_pooled,8882,4.627452467657067,6.2342608790358955
pts,CTXSTD_expanding,SELECT_2021_2022,7463,4.113381391313079,5.362277795945
pts,CTXSTD_expanding,2023,4435,4.1025354990651275,5.4349538890404405
pts,CTXSTD_expanding,2024,4447,4.075121109862798,5.323303559555445
pts,CTXSTD_expanding,SCORE_pooled,8882,4.088809785398976,5.379342977327486
pts,CTX_a0.05,SELECT_2021_2022,7463,4.084292492765821,5.326871743914779
pts,CTX_a0.05,2023,4435,4.087846928930304,5.4164158305316485
pts,CTX_a0.05,2024,4447,4.049283356007463,5.283634309210967
pts,CTX_a0.05,SCORE_pooled,8882,4.068539091867944,5.350347298868056
pts,CTX_a0.08,SELECT_2021_2022,7463,4.073807679474268,5.318416435156243
pts,CTX_a0.08,2023,4435,4.086984518595192,5.418883300601056
pts,CTX_a0.08,2024,4447,4.042471292800242,5.275425524830997
pts,CTX_a0.08,SCORE_pooled,8882,4.064697835966264,5.347538589940991
pts,CTX_a0.10,SELECT_2021_2022,7463,4.070422840935277,5.318113784527576
pts,CTX_a0.10,2023,4435,4.0888396172098815,5.425215020562776
pts,CTX_a0.10,2024,4447,4.042551668159894,5.275903148390154
pts,CTX_a0.10,SCORE_pooled,8882,4.065664374086115,5.350979038556874
pts,CTX_a0.15,SELECT_2021_2022,7463,4.073879662799986,5.333202460003238
pts,CTX_a0.15,2023,4435,4.103087587128006,5.453890885789242
pts,CTX_a0.15,2024,4447,4.051472684322809,5.2936890457956505
pts,CTX_a0.15,SCORE_pooled,8882,4.077245268644026,5.374278709699165
pts,CTX_a0.20,SELECT_2021_2022,7463,4.094244968228808,5.365566536832024
pts,CTX_a0.20,2023,4435,4.129359058813927,5.49666459471144
pts,CTX_a0.20,2024,4447,4.071036286887888,5.328892435838771
pts,CTX_a0.20,SCORE_pooled,8882,4.100158274446093,5.413315178854942
pts,CTX_a0.25,SELECT_2021_2022,7463,4.124394677912246,5.410115388066006
pts,CTX_a0.25,2023,4435,4.163283760713113,5.55012848579288
pts,CTX_a0.25,2024,4447,4.099765292144632,5.376236465768223
pts,CTX_a0.25,SCORE_pooled,8882,4.131481618208717,5.4637568460209796
pts,CTX_a0.30,SELECT_2021_2022,7463,4.161400412310036,5.463817553844875
pts,CTX_a0.30,2023,4435,4.204395002912704,5.612191873574721
pts,CTX_a0.30,2024,4447,4.134468228760193,5.432702685301597
pts,CTX_a0.30,SCORE_pooled,8882,4.16938437865508,5.523055210845763
pts,CTX_a0.40,SELECT_2021_2022,7463,4.251618479880176,5.5929697954489725
pts,CTX_a0.40,2023,4435,4.297979388575119,5.757342654248408
pts,CTX_a0.40,2024,4447,4.220005131187621,5.566874727815145
pts,CTX_a0.40,SCORE_pooled,8882,4.258939586435713,5.662780880447944
pts,CTX_a0.50,SELECT_2021_2022,7463,4.359540843511435,5.747845022939709
pts,CTX_a0.50,2023,4435,4.401728831008767,5.926748305369283
pts,CTX_a0.50,2024,4447,4.323958160930416,5.7250256444020655
pts,CTX_a0.50,SCORE_pooled,8882,4.362790960051953,5.826623746518016
pts,CTX_a0.70,SELECT_2021_2022,7463,4.630937508414933,6.136762890397557
pts,CTX_a0.70,2023,4435,4.669657313636811,6.336420810481249
pts,CTX_a0.70,2024,4447,4.582970655689796,6.112122829683585
pts,CTX_a0.70,SCORE_pooled,8882,4.626255425786059,6.2251305930770835
pts,CTXROLL_w1,SELECT_2021_2022,7463,5.218043830767257,6.972956910560471
pts,CTXROLL_w1,2023,4435,5.248153993603632,7.175139833611693
pts,CTXROLL_w1,2024,4447,5.156280377213059,6.923663905765879
pts,CTXROLL_w1,SCORE_pooled,8882,5.202155122618619,7.0503533018337015
pts,CTXROLL_w3,SELECT_2021_2022,7463,4.375560818327954,5.765498030828414
pts,CTXROLL_w3,2023,4435,4.436109770059378,5.9313210566258485
pts,CTXROLL_w3,2024,4447,4.358898100435999,5.768560277471004
pts,CTXROLL_w3,SCORE_pooled,8882,4.39745177694801,5.850396754804617
pts,CTXROLL_w5,SELECT_2021_2022,7463,4.209675040251866,5.5255946200716926
pts,CTXROLL_w5,2023,4435,4.257401254958732,5.659000005788865
pts,CTXROLL_w5,2024,4447,4.179078980051641,5.479936363983764
pts,CTXROLL_w5,SCORE_pooled,8882,4.218187208965506,5.570066824078154
pts,CTXROLL_w10,SELECT_2021_2022,7463,4.095712644321779,5.357384458653465
pts,CTXROLL_w10,2023,4435,4.1305260782607,5.4724712547808565
pts,CTXROLL_w10,2024,4447,4.073207809420823,5.327248373049984
pts,CTXROLL_w10,SCORE_pooled,8882,4.1018282240014186,5.400249898187213
pts,CTXROLL_w20,SELECT_2021_2022,7463,4.099595436636107,5.349070974604394
pts,CTXROLL_w20,2023,4435,4.121223042846015,5.449045235000688
pts,CTXROLL_w20,2024,4447,4.068499903710103,5.310563360519626
pts,CTXROLL_w20,SCORE_pooled,8882,4.094825857556959,5.3801563222879
pts,SHRINK_a0.05_k2,SELECT_2021_2022,7463,4.118220427767871,5.312920391774866
