target,season,tuned,reference,ref_estimator,mean_d_mae,p05,p95,win_share
pts,2023,RATE36CTX_a0.05_m0.25,naive,STD_expanding,0.02090156838701965,-0.006606079815064159,0.04700286811095379,0.883
pts,2023,RATE36CTX_a0.05_m0.25,incumbent,PER36_a0.30_m0.30,0.10600286879051203,0.07377129925220773,0.13833525075322217,1.0
pts,2024,RATE36CTX_a0.05_m0.25,naive,STD_expanding,0.08840497101538022,0.05446124887699802,0.12377739496542947,1.0
pts,2024,RATE36CTX_a0.05_m0.25,incumbent,PER36_a0.30_m0.30,0.12889352866449535,0.09254718620547765,0.1626099313017671,1.0
reb,2023,RATE36CTX_a0.05_m0.30,naive,STD_expanding,0.025466484659886792,0.007793687157198435,0.04249571407290918,0.994
reb,2023,RATE36CTX_a0.05_m0.30,incumbent,PER36_a0.30_m0.30,0.05074591198006601,0.03783048105353017,0.06409095001249432,1.0
reb,2024,RATE36CTX_a0.05_m0.30,naive,STD_expanding,0.039198305062803473,0.020556251910958594,0.0597981722162904,1.0
reb,2024,RATE36CTX_a0.05_m0.30,incumbent,PER36_a0.30_m0.30,0.0500442783172019,0.03622820658049755,0.06580464875828294,1.0
ast,2023,RATE100_a0.05_p0.30,naive,STD_expanding,0.022369221832306427,0.012043092718173618,0.03405126501874738,1.0
ast,2023,RATE100_a0.05_p0.30,incumbent,PER36_a0.30_m0.30,0.049096622574123755,0.040245458858079,0.05835826478004376,1.0
ast,2024,RATE100_a0.05_p0.30,naive,STD_expanding,0.026968587934307287,0.014686165117133361,0.04014990501965241,1.0
ast,2024,RATE100_a0.05_p0.30,incumbent,PER36_a0.30_m0.30,0.03261634730057579,0.021348165009075555,0.04371910012511499,1.0
minutes,2023,CTX_a0.30,naive,STD_expanding,0.394712097035146,0.29948526590708036,0.4864831701410533,1.0
minutes,2023,CTX_a0.30,incumbent,TOT_a0.30,-0.0001873944590473182,-0.001180979668631047,0.0007660446194666129,0.386
minutes,2024,CTX_a0.30,naive,STD_expanding,0.5139790735488085,0.3832617126403095,0.6480998053643074,1.0
minutes,2024,CTX_a0.30,incumbent,TOT_a0.30,0.00015112516060480495,-0.0007869083254556726,0.0011289889297974502,0.594
