target,ctx,raw,d_mae_2023,d_mae_2024,d_mae_pool_pct
pts,CTX_a0.05,TOT_a0.05,0.002125168532145949,-0.027080126102983826,-0.30622632909799335
pts,CTX_a0.08,TOT_a0.08,0.003231500767215678,-0.026381766341862622,-0.28445299006415165
pts,CTX_a0.10,TOT_a0.10,0.0037473402375347575,-0.02470776280720699,-0.2575812423752327
pts,CTX_a0.15,TOT_a0.15,0.003382908310945787,-0.022430391519185022,-0.23346409746558505
pts,CTX_a0.20,TOT_a0.20,0.006326264003235771,-0.021306782103050814,-0.1828026823177536
pts,CTX_a0.25,TOT_a0.25,0.008274351608500652,-0.021112440315639525,-0.15560704467796294
pts,CTX_a0.30,TOT_a0.30,0.011752282924290647,-0.02008805684794268,-0.10037910162627312
pts,CTX_a0.40,TOT_a0.40,0.015952950272876798,-0.017828434136768045,-0.022548933508588945
pts,CTX_a0.50,TOT_a0.50,0.014839360006851265,-0.014822502325890774,-0.0002660777174291098
pts,CTX_a0.70,TOT_a0.70,0.016456930731099995,-0.0188033761391333,-0.02586826940684966
pts,CTXSTD_expanding,STD_expanding,-0.00012572209752192975,-0.03139928692644833,-0.3845357856791014
pts,RATE36CTX_a0.05_m0.20,RATE36_a0.05_m0.20,0.0028661359876203107,-0.028268609241733245,-0.3132082181356406
pts,RATE36CTX_a0.05_m0.30,RATE36_a0.05_m0.30,0.0024677454631936158,-0.030266583383894208,-0.34238786142700134
pts,RATE36CTX_a0.10_m0.20,RATE36_a0.10_m0.20,0.003209151669296695,-0.025482784126875657,-0.27407625942076436
pts,RATE36CTX_a0.10_m0.30,RATE36_a0.10_m0.30,0.002735807884281627,-0.025958085929915775,-0.28534831242047864
pts,PER36CTX_a0.05_m0.20,PER36_a0.05_m0.20,0.00227273582968035,-0.027785213611428716,-0.31563534763243517
pts,PER36CTX_a0.05_m0.30,PER36_a0.05_m0.30,0.001895890661225863,-0.029331540696720282,-0.33916666090041214
pts,PER36CTX_a0.10_m0.20,PER36_a0.10_m0.20,0.0026109442432380447,-0.024884484563133746,-0.2750260429715391
pts,PER36CTX_a0.10_m0.30,PER36_a0.10_m0.30,0.002375898937946097,-0.02620829750877185,-0.293857900737904
pts,PER36CTX_a0.30_m0.20,PER36_a0.30_m0.20,0.00817369909128196,-0.017443149165065286,-0.11184525237016191
pts,PER36CTX_a0.30_m0.30,PER36_a0.30_m0.30,0.008778062977736312,-0.018058970368545424,-0.11178743247878566
reb,CTX_a0.05,TOT_a0.05,0.002981716924914224,0.002605403058984157,0.15656225113398123
reb,CTX_a0.08,TOT_a0.08,0.002977964829309121,0.0034018950467609166,0.17924753170035349
reb,CTX_a0.10,TOT_a0.10,0.002974697641177748,0.0035949881694183894,0.184707774615296
reb,CTX_a0.15,TOT_a0.15,0.00291212204995861,0.0051259257947464665,0.22587964948363243
reb,CTX_a0.20,TOT_a0.20,0.0022266436483768803,0.006637443715738822,0.2482727449305195
reb,CTX_a0.25,TOT_a0.25,0.0021035878145838627,0.007384693125791486,0.26424166854622383
reb,CTX_a0.30,TOT_a0.30,0.0030981349782690515,0.007975828839649646,0.30621345098652
reb,CTX_a0.40,TOT_a0.40,0.0037656014597822196,0.011017149437199114,0.40138976843507723
reb,CTX_a0.50,TOT_a0.50,0.006795384519089787,0.013554293696374176,0.5394673284185828
reb,CTX_a0.70,TOT_a0.70,0.007312167893950949,0.01842849680140546,0.6438740394242413
reb,CTXSTD_expanding,STD_expanding,0.0018569433218047493,0.0005538710326924434,0.06692258996253393
reb,RATE36CTX_a0.05_m0.20,RATE36_a0.05_m0.20,0.003486642444264998,0.003478210148663674,0.19724116187700258
reb,RATE36CTX_a0.05_m0.30,RATE36_a0.05_m0.30,0.002716533352198569,0.004031192975953779,0.19129459134633828
reb,RATE36CTX_a0.10_m0.20,RATE36_a0.10_m0.20,0.0033839124171461954,0.004678968168160935,0.2279830951113989
reb,RATE36CTX_a0.10_m0.30,RATE36_a0.10_m0.30,0.0033838509110299952,0.005464982312017641,0.2504726558296408
reb,PER36CTX_a0.05_m0.20,PER36_a0.05_m0.20,0.0031523585169423995,0.003690615317164081,0.19368004376384773
reb,PER36CTX_a0.05_m0.30,PER36_a0.05_m0.30,0.0028445428594308098,0.0035598478117895294,0.18150109650126023
reb,PER36CTX_a0.10_m0.20,PER36_a0.10_m0.20,0.0035475809870582076,0.004469629624675564,0.2264247839550477
reb,PER36CTX_a0.10_m0.30,PER36_a0.10_m0.30,0.0031086619039220054,0.004925859961876888,0.22722595289628936
reb,PER36CTX_a0.30_m0.20,PER36_a0.30_m0.20,0.0018841031392555774,0.0076916311519865666,0.26313573806949014
reb,PER36CTX_a0.30_m0.30,PER36_a0.30_m0.30,0.0021824445381890545,0.007858006583512989,0.2763609637579126
ast,CTX_a0.05,TOT_a0.05,0.004782011956758536,-0.001263241253722125,0.14449061760710055
ast,CTX_a0.08,TOT_a0.08,0.0047063138609497734,-0.0012182192130414382,0.14360294936330653
ast,CTX_a0.10,TOT_a0.10,0.00499314209041235,-0.001090316974343697,0.1607884891569478
ast,CTX_a0.15,TOT_a0.15,0.00499841747048535,-0.0013426939238103675,0.1501646078086865
ast,CTX_a0.20,TOT_a0.20,0.005024995762172635,-0.00047841498966882945,0.18589230063188117
ast,CTX_a0.25,TOT_a0.25,0.0051089816704610325,0.0003994794797104184,0.22363937365143616
ast,CTX_a0.30,TOT_a0.30,0.005885079897745671,0.001244255007593953,0.2869892731668426
ast,CTX_a0.40,TOT_a0.40,0.007652323853810872,0.002430077598961633,0.39752257509675704
ast,CTX_a0.50,TOT_a0.50,0.008451558182446028,0.004592085561326176,0.5018312699825412
ast,CTX_a0.70,TOT_a0.70,0.009831950199948869,0.007827343605576687,0.6416603530022835
ast,CTXSTD_expanding,STD_expanding,0.004578356816187901,-0.0023707401286956475,0.08960298013182497
ast,RATE36CTX_a0.05_m0.20,RATE36_a0.05_m0.20,0.004641384650225788,-0.0017001751552492284,0.1217738375170612
ast,RATE36CTX_a0.05_m0.30,RATE36_a0.05_m0.30,0.0049875223493780485,-0.0022613272999225664,0.11292303043161378
ast,RATE36CTX_a0.10_m0.20,RATE36_a0.10_m0.20,0.004886532363873819,-0.0016877672615931427,0.13214852571395808
ast,RATE36CTX_a0.10_m0.30,RATE36_a0.10_m0.30,0.005088856674812181,-0.0017803300255085919,0.13681038326443215
ast,PER36CTX_a0.05_m0.20,PER36_a0.05_m0.20,0.0043400791444314635,-0.0010558346360662885,0.13597484808338586
ast,PER36CTX_a0.05_m0.30,PER36_a0.05_m0.30,0.004463426920431335,-0.001615219544189861,0.117963019616275
ast,PER36CTX_a0.10_m0.20,PER36_a0.10_m0.20,0.004524005873012715,-0.0007093172777690171,0.15765170145406224
ast,PER36CTX_a0.10_m0.30,PER36_a0.10_m0.30,0.0049513119450323995,-0.0014921561569649633,0.14299515335315813
ast,PER36CTX_a0.30_m0.20,PER36_a0.30_m0.20,0.006154125381011122,0.0025958729897084254,0.35152535340927804
ast,PER36CTX_a0.30_m0.30,PER36_a0.30_m0.30,0.006296811443536443,0.001929210436067974,0.33070378357080915
minutes,CTX_a0.05,TOT_a0.05,0.0005278260229317766,0.00014695256823937797,0.006780665573625924
minutes,CTX_a0.08,TOT_a0.08,0.0003150710274910651,0.00010507713862306645,0.004292387294852066
minutes,CTX_a0.10,TOT_a0.10,0.00017650674194769067,-0.00012784836446311232,0.0004977216643946914
minutes,CTX_a0.15,TOT_a0.15,0.00019775494303075902,-0.00014791102800515432,0.0005179815612115548
minutes,CTX_a0.20,TOT_a0.20,0.0001553044795929992,7.319855642951012e-05,0.002419650915065949
minutes,CTX_a0.25,TOT_a0.25,0.00021941852010609608,-0.00017919423242762633,0.00042266297227851586
minutes,CTX_a0.30,TOT_a0.30,0.0001873944590480292,-0.00015112516060522552,0.0003820512708841972
minutes,CTX_a0.40,TOT_a0.40,0.00042609718411679154,-0.00023966162160160565,0.001970506741138035
