target,rank,estimator,mae
pts,1,PER36CTX_a0.05_m0.25,4.035387654042812
pts,2,PER100_a0.05_p0.20,4.044439276184637
pts,3,PER36_a0.05_m0.20,4.047881151095914
pts,4,RATE36CTX_a0.05_m0.25,4.049894546101813
pts,5,RATE100_a0.05_p0.25,4.05929733943134
pts,6,RATE36_a0.05_m0.20,4.061920519139209
pts,7,CTX_a0.10,4.065664374086115
pts,8,TOT_a0.10,4.076163807462627
pts,9,CTXSTD_expanding,4.088809785398976
pts,10,CTXROLL_w10,4.1018282240014186
pts,11,STD_expanding,4.104593415939894
pts,12,SHRINK_a0.15_k2,4.104882320401997
pts,13,ROLL_w10,4.1157753508969455
pts,14,NEG_reversed_a0.30,4.464415793895398
pts,15,NEG_league_const,6.280780664272307
pts,16,NEG_other_player,7.815635350798956
reb,1,PER100_a0.05_p0.30,1.7624300915576994
reb,2,RATE100_a0.05_p0.30,1.7625671736632424
reb,3,RATE36_a0.05_m0.30,1.7641644877857727
reb,4,PER36_a0.05_m0.30,1.764550519348892
reb,5,RATE36CTX_a0.05_m0.30,1.7675392390333597
reb,6,PER36CTX_a0.05_m0.30,1.7677531978898289
reb,7,TOT_a0.10,1.7786267703067022
reb,8,SHRINK_a0.15_k2,1.7805479389057812
reb,9,CTX_a0.10,1.7819120322328477
reb,10,ROLL_w20,1.7946022392467282
reb,11,CTXROLL_w20,1.7972706077006424
reb,12,STD_expanding,1.799880910062507
reb,13,CTXSTD_expanding,1.8010854369837621
reb,14,NEG_reversed_a0.30,1.9852833654959436
reb,15,NEG_league_const,2.6148872289398866
reb,16,NEG_other_player,3.104633195619424
ast,1,RATE100_a0.05_p0.30,1.201976994258466
ast,2,RATE36_a0.05_m0.30,1.2027668324412168
ast,3,PER100_a0.05_p0.40,1.2038835527976122
ast,4,RATE36CTX_a0.05_m0.30,1.2041250331974358
ast,5,PER36_a0.05_m0.40,1.2045915747307416
ast,6,PER36CTX_a0.05_m0.30,1.2051848925687918
ast,7,TOT_a0.08,1.211705727611393
ast,8,CTX_a0.08,1.213445772773847
ast,9,SHRINK_a0.08_k2,1.2181557070856392
ast,10,ROLL_w20,1.2207255586513948
ast,11,CTXROLL_w20,1.222611985775603
ast,12,STD_expanding,1.226649006121801
ast,13,CTXSTD_expanding,1.2277481201870435
ast,14,NEG_reversed_a0.30,1.3382310383148046
ast,15,NEG_league_const,1.7516625777647834
ast,16,NEG_other_player,2.201507786235429
minutes,1,TOT_a0.30,4.68679798181124
minutes,2,CTX_a0.30,4.686815887782493
minutes,3,SHRINK_a0.30_k2,4.78376274792417
minutes,4,CTXROLL_w5,4.83053955571499
minutes,5,ROLL_w5,4.830557682203708
minutes,6,STD_expanding,5.141242040723545
minutes,7,CTXSTD_expanding,5.1414542365145355
minutes,8,NEG_reversed_a0.30,6.134507380843798
minutes,9,NEG_league_const,9.487523045734076
minutes,10,NEG_other_player,12.799821984683867
