target,estimator,mae_select,mae_2023,mae_2024
pts,STD_expanding,4.589516129032258,4.050653594771242,4.017915309446254
pts,TOT_a0.30,4.592030360531309,4.063629373317955,4.013029315960912
pts,ROLL_w1,4.953225806451613,4.3202614379084965,4.2182410423452765
pts,SHRINK_a0.30_k2,4.611342267624771,4.1058705946169285,4.015289818346867
pts,SHRINK_a0.30_k5,4.932616353992163,4.366999562287018,4.344668638055383
pts,SHRINK_a0.30_k10,5.14048004599563,4.542292874875781,4.561904701990209
pts,SHRINK_a0.50_k2,4.620355672283437,4.0990401355183135,4.015928510305735
pts,SHRINK_a0.50_k5,4.934673628514875,4.361946560694225,4.343994057691208
pts,SHRINK_a0.50_k10,5.140838468934698,4.539174416163319,4.5626285528769275
reb,STD_expanding,2.1596774193548387,1.869281045751634,1.8973941368078175
reb,TOT_a0.30,2.1788425047438333,1.8648596693579396,1.9103276489748995
reb,ROLL_w1,2.3435483870967744,1.9313725490196079,2.035830618892508
reb,SHRINK_a0.30_k2,2.0452104004337643,1.8539830225631244,1.8918691865846264
reb,SHRINK_a0.30_k5,2.1525220703063854,1.954842361563889,1.9915643237882716
reb,SHRINK_a0.30_k10,2.2352191173692795,2.0260805282109433,2.0645773224186854
reb,SHRINK_a0.50_k2,2.051115377461962,1.8514199058131562,1.8963311183158826
reb,SHRINK_a0.50_k5,2.154940067268667,1.9521236270112445,1.9906910132762223
reb,SHRINK_a0.50_k10,2.236188967674993,2.023357216664102,2.064279266171214
ast,STD_expanding,1.3185483870967742,1.1290849673202614,1.3013029315960911
ast,TOT_a0.30,1.3249525616698292,1.139753940792003,1.3058057099061122
ast,ROLL_w1,1.4129032258064516,1.2287581699346406,1.3941368078175895
ast,SHRINK_a0.30_k2,1.2637667578736849,1.2214474183511415,1.2953938534778662
ast,SHRINK_a0.30_k5,1.318791553029489,1.295390166032198,1.3704148320972782
ast,SHRINK_a0.30_k10,1.3550134917310126,1.3387040765573277,1.4199659900524797
ast,SHRINK_a0.50_k2,1.2660757780870735,1.2220837008425809,1.2969005457258658
ast,SHRINK_a0.50_k5,1.3199855990839313,1.2948601692749144,1.370487825464006
ast,SHRINK_a0.50_k10,1.3555458552140405,1.3379778601448369,1.4199234105885552
minutes,STD_expanding,5.60766129032258,5.12943899782135,4.703583061889251
minutes,TOT_a0.30,5.611922833649588,5.127710495963091,4.703263715909817
minutes,ROLL_w1,5.881720430107527,5.349346405228759,4.968512486427795
minutes,SHRINK_a0.30_k2,6.077464579184552,5.945758797418756,6.072409214308782
minutes,SHRINK_a0.30_k5,6.792708310135394,6.718220987280263,7.067871484896369
minutes,SHRINK_a0.30_k10,7.261950302821358,7.174515235112192,7.618911687861052
minutes,SHRINK_a0.50_k2,6.08553715975445,5.938413192699649,6.061704080644747
minutes,SHRINK_a0.50_k5,6.798103403656672,6.70987877457819,7.060618377355849
minutes,SHRINK_a0.50_k10,7.2637852877113716,7.168982462816636,7.6155933283058665
