[partition-check] frame: [np.int64(2021), np.int64(2022), np.int64(2023), np.int64(2024)] (18212, 37)

--- pts --- exposure alpha held at 0.25 (value selected in main run)
efficiency alpha                  SELECT 21-22 MAE  2023 MAE  2024 MAE
a0.01                                       4.0662    4.0650    4.0312
a0.02                                       4.0650    4.0644    4.0307
a0.03                                       4.0639    4.0641    4.0307
a0.05                                       4.0625    4.0648    4.0320
a0.08                                       4.0638    4.0690    4.0370
a0.10                                       4.0668    4.0736    4.0422
a0.15                                       4.0822    4.0904    4.0600
a0.20                                       4.1049    4.1155    4.0827
a0.30                                       4.1663    4.1821    4.1430
a->0 (expanding mean of rate)               4.0677    4.0660    4.0320

--- reb --- exposure alpha held at 0.3 (value selected in main run)
efficiency alpha                  SELECT 21-22 MAE  2023 MAE  2024 MAE
a0.01                                       1.8127    1.7741    1.7586
a0.02                                       1.8124    1.7728    1.7581
a0.03                                       1.8123    1.7719    1.7579
a0.05                                       1.8124    1.7710    1.7582
a0.08                                       1.8143    1.7719    1.7603
a0.10                                       1.8163    1.7741    1.7629
a0.15                                       1.8235    1.7822    1.7727
a0.20                                       1.8334    1.7936    1.7849
a0.30                                       1.8592    1.8218    1.8141
a->0 (expanding mean of rate)               1.8131    1.7756    1.7592

--- ast --- exposure alpha held at 0.3 (value selected in main run)
efficiency alpha                  SELECT 21-22 MAE  2023 MAE  2024 MAE
a0.01                                       1.2220    1.2055    1.2040
a0.02                                       1.2220    1.2054    1.2031
a0.03                                       1.2222    1.2054    1.2024
a0.05                                       1.2229    1.2059    1.2016
a0.08                                       1.2251    1.2079    1.2017
a0.10                                       1.2270    1.2104    1.2026
a0.15                                       1.2338    1.2189    1.2067
a0.20                                       1.2426    1.2295    1.2126
a0.30                                       1.2651    1.2546    1.2311
a->0 (expanding mean of rate)               1.2221    1.2057    1.2051

wrote boundary_check.csv
