candidate,dependent,sd_abs,mean_abs,sd_signed_recovered,fold_factor_sd
pl_games_prior,pts_absres,0.8753220015088659,3.5261274827592444,3.633147895557726,4.150641580235575
pl_games_prior,pts_sqres,0.9214704286607085,2.8435104705281504,2.989090086782159,3.2438263820647917
pl_games_prior,minutes_absres,0.8255933817229756,6.708066517672082,6.75868040651857,8.186451776555565
pl_games_prior,minutes_sqres,0.7915343278595853,7.556058467436311,7.597403908934689,9.59832522927854
pl_games_prior,fga_absres,0.5916969475131858,0.8499306333600232,1.0356096558164143,1.75023660366836
pl_games_prior,fga_sqres,0.5077232950497509,0.6649142365266781,0.8365966090488484,1.6477412346559197
pl_minutes_prior,pts_absres,0.8619331760883637,17.311618523185366,17.333062761449185,20.109520369212742
pl_minutes_prior,pts_sqres,0.9708158229327205,14.600498794481279,14.63273892371848,15.072620962763766
pl_minutes_prior,minutes_absres,0.6673440276785463,11.520966254582797,11.540277790872876,17.292846436368688
pl_minutes_prior,minutes_sqres,0.6261002167338157,11.472756361432149,11.489827675390782,18.35141941865138
pl_minutes_prior,fga_absres,0.7651634655940137,10.581928408405883,10.6095562569651,13.865738151427108
pl_minutes_prior,fga_sqres,0.850686922040368,9.125196069587371,9.16476249270778,10.773367093414516
pl_career_games_prior,pts_absres,1.472116609303292,1.9859488422998526,2.4720679836158928,1.6792609824474756
pl_career_games_prior,pts_sqres,1.3678781136223108,1.8322537567763972,2.2865354497466583,1.6715929781869445
pl_career_games_prior,minutes_absres,1.542190487137386,3.6910203585960315,4.000247840595308,2.5938740213736944
pl_career_games_prior,minutes_sqres,1.435778794897814,3.9016249384829744,4.1574196214082715,2.89558505542921
pl_career_games_prior,fga_absres,1.5792031755674272,2.5878729552352095,3.0316611126839463,1.9197410185010761
pl_career_games_prior,fga_sqres,1.5351991960662674,2.540021974774827,2.9679198445951207,1.9332473936932737
pl_prior_season_games,pts_absres,1.299467001674475,1.7950465441024617,2.216033976259173,1.7053407076929408
pl_prior_season_games,pts_sqres,1.253899412360521,1.6620593640331285,2.0819954528980764,1.6604166429734808
pl_prior_season_games,minutes_absres,0.9597438567314953,1.278143562125952,1.5983614221876923,1.6654041710994365
pl_prior_season_games,minutes_sqres,0.9051728422416545,1.1831091761611991,1.489659423173185,1.6457182028175452
pl_prior_season_games,fga_absres,1.0903991089487397,1.4811015850285694,1.8391933345818612,1.6867157350807436
pl_prior_season_games,fga_sqres,1.046173314947742,1.4333185108807862,1.7745085400026288,1.696189832648588
pl_is_rookie_window,pts_absres,1.3791371326013804,1.7832195243990168,2.254305015457716,1.6345764044548354
pl_is_rookie_window,pts_sqres,1.3002264561354795,1.6597850207948681,2.108429546484693,1.621586406379814
pl_is_rookie_window,minutes_absres,0.994382957130959,1.3297290950755782,1.660414686674093,1.6697939911045945
pl_is_rookie_window,minutes_sqres,0.919030579411437,1.229000153424427,1.5346200125798524,1.6698247555186352
pl_is_rookie_window,fga_absres,1.106554874115266,1.4952116479215367,1.8601401994227449,1.681019389942139
pl_is_rookie_window,fga_sqres,1.0921011871101096,1.4458634917210433,1.811961986240075,1.6591521075394513
pl_min_mean5,pts_absres,1.2685979809087395,1.777848049290561,2.184052317031802,1.721626827332085
pl_min_mean5,pts_sqres,1.1170007258771535,1.5042310252127096,1.873606575250676,1.6773548412686827
pl_min_mean5,minutes_absres,1.3501941827794064,2.3726060506396536,2.7298871410267576,2.021847802222952
pl_min_mean5,minutes_sqres,1.253827031736681,2.4483114188783714,2.7506928271480695,2.193837552966196
pl_min_mean5,fga_absres,1.3255367896571204,2.0276628727170394,2.422491384118759,1.827554997357252
pl_min_mean5,fga_sqres,1.2063258253894211,1.8774238058082398,2.231578397371906,1.8498968938607585
pl_fga_mean5,pts_absres,1.1925201470433926,1.5573012340242565,1.9614513592230287,1.64479515426724
pl_fga_mean5,pts_sqres,1.037516421005081,1.3730642899849503,1.7209723612792474,1.6587422872903324
pl_fga_mean5,minutes_absres,0.9445208581454109,1.2246622541454013,1.5465824543813496,1.6374254110365556
pl_fga_mean5,minutes_sqres,0.8343478703856948,1.1104557872575611,1.3889738745818634,1.6647419186673074
pl_fga_mean5,fga_absres,1.0082851222812006,1.3156661731110408,1.6575935469475822,1.6439730293722374
pl_fga_mean5,fga_sqres,0.8910460629064791,1.1712612337801256,1.4716711466823282,1.651621849808666
pl_pts_mean5,pts_absres,1.1851220436655714,1.552633211371649,1.953249637766842,1.6481421877239404
pl_pts_mean5,pts_sqres,1.040262411978116,1.3762693787798381,1.7251850013090102,1.6584132824990534
pl_pts_mean5,minutes_absres,0.9758350100991572,1.2800932892891073,1.609625048332135,1.6494848326548324
pl_pts_mean5,minutes_sqres,0.8708361335376902,1.1776907562574976,1.4646880517192835,1.6819330242638482
pl_pts_mean5,fga_absres,1.0271477353587628,1.332155753355816,1.6821627214546269,1.6377027992639053
pl_pts_mean5,fga_sqres,0.9097541383447155,1.1987497023040248,1.5048765534120476,1.6541574146067075
pl_usg_mean5,pts_absres,1.1724709327339013,1.4157872790320924,1.8382441914976912,1.5678377520297049
