tag,n_blocks,K,t_crit_fw,w_between,rho,lam,seasons,n,R_bar,R_test,sd_signed,sd_abs,fold_factor,sidak_percell_alpha,bar_exact,bar_exact_in_sd_signed,bar_pub_folded,bar_pub_signed,famerr_exact,famerr_pub_folded,famerr_pub_signed,percell_exceed_exact,percell_exceed_folded,percell_exceed_signed,mde_ratio_pub_folded,mde_ratio_pub_signed
E0_I0014_player475,475,348,6.686212,0.1,0.0,20,4,9998,30000,30000,1.4373035798006075,0.8684540297675092,1.6550140025090136,0.00014738366206301645,5.410177832267404,3.764116299646273,5.806667755279878,9.61011644290578,0.08863552147010956,0.045342931540607534,0.0,0.0002666666666666667,0.00013333333333333334,0.0,1.1233756254557685,2.671416527105105
E0_I0014_player475,475,348,6.686212,0.1,0.5,20,4,9927,30000,30000,1.3737371870218436,0.8333319419266703,1.6484873768857964,0.00014738366206301645,5.057075605407938,3.6812540660497723,5.571834030093406,9.185098064711696,0.1095419962170423,0.011533170504498313,0.0,0.0003333333333333333,3.3333333333333335e-05,0.0,1.1725610989712858,2.7701976148758565
E0_I0014_player475,475,348,6.686212,0.8,0.0,20,4,9827,30000,30000,2.806023109109941,1.6946866112363177,1.6557769976496566,0.00014738366206301645,10.814957647612264,3.8541940771980046,11.331033956287603,18.761665384408197,0.05635461403375497,0.022933704811339273,0.0,0.00016666666666666666,6.666666666666667e-05,0.0,1.079866435152081,2.569910293475575
E0_I0014_player475,475,348,6.686212,0.8,0.5,20,4,9915,30000,30000,2.9460078754122363,1.774706409599334,1.6599973153178282,0.00014738366206301645,11.25040427358711,3.8188642900395626,11.866063292339982,19.6976332086758,0.045342931540607534,0.03420312394584979,0.0,0.00013333333333333334,0.0001,0.0,1.0916926914987235,2.609021465970019
E0_I0014_team36,36,348,6.686212,0.1,0.0,20,4,725,30000,30000,1.47085540474161,0.8814387234730954,1.6686984194954146,0.00014738366206301645,5.485345446573751,3.729357371833147,5.893486170150492,9.834451057448211,0.0,0.0,0.0,0.0,0.0,0.0,1.1250969643907267,2.7121993140828846
E0_I0014_team36,36,348,6.686212,0.1,0.5,20,4,783,30000,30000,1.3526166375371538,0.8161588802979711,1.657295742519309,0.00014738366206301645,4.910691392489796,3.6305123389811245,5.457011299354859,9.043881593300569,0.045342931540607534,0.0,0.0,0.00013333333333333334,0.0,0.0,1.1887857325915645,2.8334166785213424
E0_I0014_team36,36,348,6.686212,0.8,0.0,20,4,766,30000,30000,3.4123329703728342,2.041891941980446,1.6711623667328777,0.00014738366206301645,11.51247590569958,3.373784447665351,13.652522405172963,22.81558165450249,0.11981520483790431,0.0,0.0,0.00036666666666666667,0.0,0.0,1.3196859463340176,3.18904924715057
E0_I0014_team36,36,348,6.686212,0.8,0.5,20,4,765,30000,30000,2.8983821272563897,1.7500760415669083,1.6561463950225614,0.00014738366206301645,10.759658828583675,3.712298225758373,11.701379430037163,19.3791973598472,0.022933704811339273,0.011533170504498313,0.0,6.666666666666667e-05,3.3333333333333335e-05,0.0,1.1477862834056856,2.732557366141659
E0_I0019_playerseason489,489,318,6.974475,0.1,0.0,20,4,10151,30000,30000,1.370940866780558,0.8277291332719254,1.6562675054837979,0.0001612866597933138,4.923615030607639,3.5914131308741166,5.7729761467767124,9.561592801839332,0.06162569229448667,0.0,0.0,0.0002,0.0,0.0,1.2990452744420316,3.108691315334559
E0_I0019_playerseason489,489,318,6.974475,0.1,0.5,20,4,10299,30000,30000,1.3835759245641934,0.8321944004552331,1.6625633671739914,0.0001612866597933138,5.404033714443492,3.9058454389813737,5.804119041115012,9.649715696474853,0.010544192785506001,0.0,0.0,3.3333333333333335e-05,0.0,0.0,1.1255297612395738,2.710540785234914
E0_I0019_playerseason489,489,318,6.974475,0.8,0.0,20,4,10260,30000,30000,2.885278642140422,1.740572230849536,1.6576609640222628,0.0001612866597933138,10.96685311492748,3.8009684592514095,12.139577509754318,20.123303757642322,0.09100375239695457,0.010544192785506001,0.0,0.0003,3.3333333333333335e-05,0.0,1.1827613829262216,2.834387277896674
