season,season_type,team_id,zone,fga,fgm,pts,games,team_abbr,attempt_share,fg_pct,pps,league_fg_pct,league_share,k_conversion,k_share,fg_pct_shrunk,share_shrunk,pts_value,pps_shrunk
2021,Playoffs,1611661324,In The Paint (Non-RA),4,3,6,1,MIN,0.061538,0.750000,1.500000,0.384270,0.186583,1231.180672,149.517590,0.385454,0.149290,2,0.770908
2021,Playoffs,1611661324,Mid-Range,7,2,4,1,MIN,0.107692,0.285714,0.571429,0.390698,0.180294,1807.084576,122.307775,0.390293,0.155721,2,0.780585
2021,Playoffs,1611661324,Corner 3,6,1,3,1,MIN,0.092308,0.166667,0.500000,0.383721,0.036059,5000.000000,490.572701,0.383461,0.042811,3,1.150382
2021,Playoffs,1611661324,Above the Break 3,18,5,15,1,MIN,0.276923,0.277778,0.833333,0.353120,0.275472,4515.440280,333.689182,0.352821,0.276814,3,1.058463
2021,Playoffs,1611661324,Backcourt,0,0,0,1,MIN,0.000000,,,0.000000,0.000419,122.411748,5000.000000,0.000000,0.000416,3,0.000000
2021,Playoffs,1611661328,Restricted Area,28,20,40,1,SEA,0.354430,0.714286,1.428571,0.586162,0.321174,343.740841,109.530113,0.595812,0.338853,2,1.191625
2021,Playoffs,1611661328,In The Paint (Non-RA),15,2,4,1,SEA,0.189873,0.133333,0.266667,0.384270,0.186583,1231.180672,149.517590,0.381249,0.189817,2,0.762498
2021,Playoffs,1611661328,Mid-Range,7,2,4,1,SEA,0.088608,0.285714,0.571429,0.390698,0.180294,1807.084576,122.307775,0.390293,0.145925,2,0.780585
2021,Playoffs,1611661328,Corner 3,4,1,3,1,SEA,0.050633,0.250000,0.750000,0.383721,0.036059,5000.000000,490.572701,0.383614,0.038506,3,1.150842
2021,Playoffs,1611661328,Above the Break 3,25,7,21,1,SEA,0.316456,0.280000,0.840000,0.353120,0.275472,4515.440280,333.689182,0.352718,0.286482,3,1.058153
2021,Playoffs,1611661328,Backcourt,0,0,0,1,SEA,0.000000,,,0.000000,0.000419,122.411748,5000.000000,0.000000,0.000417,3,0.000000
2021,Playoffs,1611661329,Restricted Area,262,136,272,10,CHI,0.376437,0.519084,1.038168,0.586162,0.321174,343.740841,109.530113,0.557149,0.365758,2,1.114298
2021,Playoffs,1611661329,In The Paint (Non-RA),111,32,64,10,CHI,0.159483,0.288288,0.576577,0.384270,0.186583,1231.180672,149.517590,0.376332,0.162866,2,0.752664
