season,season_type,team_id,zone,fga,fgm,pts,games,team_abbr,attempt_share,fg_pct,pps,league_fg_pct,league_share,k_conversion,k_share,fg_pct_shrunk,share_shrunk,pts_value,pps_shrunk
2021,Playoffs,1611661324,In The Paint (Non-RA),14,6,12,1,MIN,0.208955,0.428571,0.857143,0.384270,0.186583,226.127746,117.251986,0.386853,0.193587,2,0.773705
2021,Playoffs,1611661324,Mid-Range,14,4,8,1,MIN,0.208955,0.285714,0.571429,0.390698,0.180294,321.344996,62.001013,0.386315,0.194045,2,0.772630
2021,Playoffs,1611661324,Corner 3,1,0,0,1,MIN,0.014925,0.000000,0.000000,0.383721,0.036059,654.722812,240.143215,0.383136,0.031266,3,1.149407
2021,Playoffs,1611661324,Above the Break 3,17,9,27,1,MIN,0.253731,0.529412,1.588235,0.353120,0.275472,1509.093100,96.498325,0.355084,0.265014,3,1.065252
2021,Playoffs,1611661324,Backcourt,0,0,0,1,MIN,0.000000,,,0.000000,0.000419,4.802415,5000.000000,0.000000,0.000411,3,0.000000
2021,Playoffs,1611661328,Restricted Area,24,14,28,1,SEA,0.315789,0.583333,1.166667,0.586162,0.321174,251.698868,75.025548,0.585916,0.317525,2,1.171831
2021,Playoffs,1611661328,In The Paint (Non-RA),13,3,6,1,SEA,0.171053,0.230769,0.461538,0.384270,0.186583,226.127746,117.251986,0.375925,0.179943,2,0.751849
2021,Playoffs,1611661328,Mid-Range,14,2,4,1,SEA,0.184211,0.142857,0.285714,0.390698,0.180294,321.344996,62.001013,0.380351,0.181913,2,0.760702
2021,Playoffs,1611661328,Corner 3,2,0,0,1,SEA,0.026316,0.000000,0.000000,0.383721,0.036059,654.722812,240.143215,0.382552,0.033617,3,1.147657
2021,Playoffs,1611661328,Above the Break 3,23,9,27,1,SEA,0.302632,0.391304,1.173913,0.353120,0.275472,1509.093100,96.498325,0.353693,0.286590,3,1.061080
2021,Playoffs,1611661328,Backcourt,0,0,0,1,SEA,0.000000,,,0.000000,0.000419,4.802415,5000.000000,0.000000,0.000412,3,0.000000
2021,Playoffs,1611661329,Restricted Area,280,170,340,10,CHI,0.408163,0.607143,1.214286,0.586162,0.321174,251.698868,75.025548,0.597211,0.399571,2,1.194422
2021,Playoffs,1611661329,In The Paint (Non-RA),84,38,76,10,CHI,0.122449,0.452381,0.904762,0.384270,0.186583,226.127746,117.251986,0.402718,0.131805,2,0.805436
2021,Playoffs,1611661329,Mid-Range,89,35,70,10,CHI,0.129738,0.393258,0.786517,0.390698,0.180294,321.344996,62.001013,0.391253,0.133923,2,0.782506
2021,Playoffs,1611661329,Corner 3,34,13,39,10,CHI,0.049563,0.382353,1.147059,0.383721,0.036059,654.722812,240.143215,0.383653,0.046059,3,1.150960
2021,Playoffs,1611661329,Above the Break 3,199,65,195,10,CHI,0.290087,0.326633,0.979899,0.353120,0.275472,1509.093100,96.498325,0.350034,0.288273,3,1.050103
2021,Playoffs,1611661329,Backcourt,0,0,0,10,CHI,0.000000,,,0.000000,0.000419,4.802415,5000.000000,0.000000,0.000369,3,0.000000
2021,Regular Season,1611661313,Restricted Area,585,354,708,32,NYL,0.276596,0.605128,1.210256,0.609031,0.281587,251.698868,75.025548,0.606302,0.277086,2,1.212604
2021,Regular Season,1611661313,In The Paint (Non-RA),344,127,254,32,NYL,0.162648,0.369186,0.738372,0.401290,0.200731,226.127746,117.251986,0.381919,0.164838,2,0.763838
2021,Regular Season,1611661313,Mid-Range,299,102,204,32,NYL,0.141371,0.341137,0.682274,0.365863,0.208306,321.344996,62.001013,0.353945,0.143443,2,0.707890
2021,Regular Season,1611661313,Corner 3,90,37,111,32,NYL,0.042553,0.411111,1.233333,0.392297,0.026685,654.722812,240.143215,0.394570,0.040982,3,1.183711
2021,Regular Season,1611661313,Above the Break 3,794,284,852,32,NYL,0.375414,0.357683,1.073048,0.341295,0.280521,1509.093100,96.498325,0.346944,0.371702,3,1.040833
2021,Regular Season,1611661313,Backcourt,3,0,0,32,NYL,0.001418,0.000000,0.000000,0.000000,0.002170,4.802415,5000.000000,0.000000,0.001949,3,0.000000
2021,Regular Season,1611661317,Restricted Area,619,376,752,32,PHO,0.294481,0.607431,1.214863,0.609031,0.281587,251.698868,75.025548,0.607894,0.294275,2,1.215787
