level,metric,zone,mu,sigma2_between,k,n_cells
player,conversion,Restricted Area,0.6259305960997011,0.0032034696903719562,72.08996419403852,986
player,conversion,In The Paint (Non-RA),0.40321421117321027,0.002309420132672114,103.19607401739945,984
player,conversion,Mid-Range,0.37250978166721427,0.0018320020603506105,126.59060117253583,958
player,conversion,Corner 3,0.36906360639726526,0.0008910556603257598,260.32560646680633,792
player,conversion,Above the Break 3,0.3404710205445131,0.000851080970993725,262.841529028319,947
player,conversion,Backcourt,0.01160092807424594,0.0003651539190451588,30.401406212606094,273
team_off,conversion,Restricted Area,0.6259305960997011,0.0009265632507378048,251.698868403783,116
team_off,conversion,In The Paint (Non-RA),0.40321421117321027,0.0010594588941714327,226.12774644208042,116
team_off,conversion,Mid-Range,0.37250978166721427,0.0007251430831226268,321.3449960011968,116
team_off,conversion,Corner 3,0.36906360639726526,0.0003551129481427061,654.7228117087246,116
team_off,conversion,Above the Break 3,0.3404710205445131,0.00014869977532194865,1509.093100192777,116
team_off,conversion,Backcourt,0.01160092807424594,0.001976133362582742,4.8024153425940685,98
team_off,share,Restricted Area,0.28520545650706697,0.0026815104992436844,75.02554759459707,116
team_off,share,In The Paint (Non-RA),0.21243232325222797,0.0014148162499396295,117.25198593600253,116
team_off,share,Mid-Range,0.1649415972451438,0.0021862484627752014,62.001012505469795,116
team_off,share,Corner 3,0.0403523378344426,0.00016058518009595698,240.14321534900193,116
team_off,share,Above the Break 3,0.2949449964776069,0.002132882236406182,96.49832502746264,116
team_off,share,Backcourt,0.0022021929959021836,7.626983531306805e-08,5000.0,98
team_def,conversion,Restricted Area,0.6259305960997011,0.000679181162709394,343.74084062039526,116
team_def,conversion,In The Paint (Non-RA),0.40321421117321027,0.00019528995754184325,1231.1806718075488,116
team_def,conversion,Mid-Range,0.37250978166721427,0.00012927837965165967,1807.0845757758368,116
team_def,conversion,Corner 3,0.36906360639726526,0.0,5000.0,116
team_def,conversion,Above the Break 3,0.3404710205445131,4.971847092173237e-05,4515.440279657471,116
team_def,conversion,Backcourt,0.01160092807424594,9.29113048744633e-05,122.41174798432564,93
team_def,share,Restricted Area,0.28520545650706697,0.0018444141530677557,109.53011263581074,116
team_def,share,In The Paint (Non-RA),0.21243232325222797,0.0011115300931173189,149.5175904150985,116
team_def,share,Mid-Range,0.1649415972451438,0.0011170087730660995,122.30777525165776,116
team_def,share,Corner 3,0.0403523378344426,7.877578764091594e-05,490.57270051368494,116
team_def,share,Above the Break 3,0.2949449964776069,0.000621330047815295,333.6891821208848,116
team_def,share,Backcourt,0.002211152210382668,1.5352663447992092e-07,5000.0,93
