season,player_id,player_name,team_id,team_abbr,n_teams,zone,fga,fgm,fg_pct_raw,attempt_share,fga_total,league_fg_pct,team_prior_fg_pct,k_player,fg_pct_shrunk,data_weight,prior_dominated,pts_value,pps_shrunk
2021,201507,Leilani Mitchell,1611661322,WAS,1,Mid-Range,15,5,0.333333,0.084270,178,0.367672,0.350238,126.590601,0.348447,0.105939,True,2,0.696894
2021,201507,Leilani Mitchell,1611661322,WAS,1,Corner 3,21,8,0.380952,0.117978,178,0.391360,0.390080,260.325606,0.389399,0.074647,True,3,1.168196
2021,201507,Leilani Mitchell,1611661322,WAS,1,Above the Break 3,119,42,0.352941,0.668539,178,0.342263,0.335728,262.841529,0.341093,0.311648,True,3,1.023278
2021,201507,Leilani Mitchell,1611661322,WAS,1,Backcourt,0,0,,0.000000,178,0.000000,0.000000,30.401406,0.000000,0.000000,True,3,0.000000
2021,201516,Allie Quigley,1611661329,CHI,1,Restricted Area,29,17,0.586207,0.074359,390,0.606885,0.604213,72.089964,0.599048,0.286873,True,2,1.198096
2021,201516,Allie Quigley,1611661329,CHI,1,In The Paint (Non-RA),74,34,0.459459,0.189744,390,0.399965,0.419578,103.196074,0.436233,0.417616,True,2,0.872466
2021,201516,Allie Quigley,1611661329,CHI,1,Mid-Range,94,39,0.414894,0.241026,390,0.367672,0.351520,126.590601,0.378525,0.426129,True,2,0.757051
2021,201516,Allie Quigley,1611661329,CHI,1,Corner 3,21,14,0.666667,0.053846,390,0.391360,0.396731,260.325606,0.416881,0.074647,True,3,1.250643
2021,201516,Allie Quigley,1611661329,CHI,1,Above the Break 3,172,67,0.389535,0.441026,390,0.342263,0.338713,262.841529,0.358815,0.395546,True,3,1.076446
2021,201516,Allie Quigley,1611661329,CHI,1,Backcourt,0,0,,0.000000,390,0.000000,0.000000,30.401406,0.000000,0.000000,True,3,0.000000
2021,201881,Angel McCoughtry,1611661319,LVA,1,Restricted Area,0,0,,0.000000,1,0.606885,0.644257,72.089964,0.644257,0.000000,True,2,1.288514
2021,201881,Angel McCoughtry,1611661319,LVA,1,In The Paint (Non-RA),0,0,,0.000000,1,0.399965,0.435820,103.196074,0.435820,0.000000,True,2,0.871641
2021,201881,Angel McCoughtry,1611661319,LVA,1,Mid-Range,1,0,0.000000,1.000000,1,0.367672,0.385593,126.590601,0.382571,0.007838,True,2,0.765141
2021,201881,Angel McCoughtry,1611661319,LVA,1,Corner 3,0,0,,0.000000,1,0.391360,0.389783,260.325606,0.389783,0.000000,True,3,1.169349
2021,201881,Angel McCoughtry,1611661319,LVA,1,Above the Break 3,0,0,,0.000000,1,0.342263,0.350489,262.841529,0.350489,0.000000,True,3,1.051468
2021,201881,Angel McCoughtry,1611661319,LVA,1,Backcourt,0,0,,0.000000,1,0.000000,0.000000,30.401406,0.000000,0.000000,True,3,0.000000
2021,201886,DeWanna Bonner,1611661323,CON,1,Restricted Area,109,66,0.605505,0.242222,450,0.606885,0.611565,72.089964,0.607917,0.601911,False,2,1.215834
2021,201886,DeWanna Bonner,1611661323,CON,1,In The Paint (Non-RA),57,21,0.368421,0.126667,450,0.399965,0.376031,103.196074,0.373323,0.355814,True,2,0.746646
2021,201886,DeWanna Bonner,1611661323,CON,1,Mid-Range,130,41,0.315385,0.288889,450,0.367672,0.340602,126.590601,0.327826,0.506644,False,2,0.655652
