_q,n,mean_forecast_points_of_absentee,mean_resid,implied_substitution_ratio
0,35,8.509613996564108,3.9872528407954317,-0.46855860235321467
1,35,11.491465882095532,3.0440980035784344,-0.26490075633617305
2,34,15.300226023564408,-0.624244769883879,0.040799709031909596
3,35,19.839469351415328,-1.6052425550006326,0.08091156706699497
