row_set,arm,n,MAE,RMSE,R2_common_SST,bias,skill_MAE_vs_R2_TEAM_EWMA,season,SST_note
RS1_2022,A_TEAM,432,8.915350905023338,11.229100513841983,-0.04768335928942258,-2.6590386032520152,-0.05432873428387186,2022,per-season SST -- comparable WITHIN a season row only
RS1_2022,B1_BOTTOMUP_AVAIL,432,14.5894796324936,22.238700900969885,-3.1092156645359967,4.227383972582489,-0.7253507751579675,2022,per-season SST -- comparable WITHIN a season row only
RS1_2022,B2_BOTTOMUP_RAW,432,29.15850252058941,45.08211424731623,-15.886850471392549,27.593979669463028,-2.448282337246449,2022,per-season SST -- comparable WITHIN a season row only
RS1_2022,B4_BOTTOMUP_CAL,432,8.674963881388853,11.077844720281956,-0.01964889724503549,-1.5663304042821455,-0.025900582765572278,2022,per-season SST -- comparable WITHIN a season row only
RS1_2022,C1_BLEND,432,8.94872324813929,11.265091167381845,-0.05441003098426411,-2.460658847850596,-0.05827534509620724,2022,per-season SST -- comparable WITHIN a season row only
RS1_2022,C2_PRORATE,432,8.915350905023338,11.229100513841983,-0.04768335928942258,-2.6590386032520152,-0.05432873428387186,2022,per-season SST -- comparable WITHIN a season row only
RS1_2022,R0_LEAGUE,432,8.63857452339294,11.029599636829476,-0.010786897976008625,-1.1677809875621916,-0.02159717999814803,2022,per-season SST -- comparable WITHIN a season row only
RS1_2022,R1_TEAM_EXPAND,432,8.402644623131353,10.726813907037533,0.043947811302951,-1.0365843887231856,0.0063038724419036685,2022,per-season SST -- comparable WITHIN a season row only
RS1_2022,R2_TEAM_EWMA,432,8.455949852375864,10.745911557367634,0.04054053607196584,-0.8835772679372438,0.0,2022,per-season SST -- comparable WITHIN a season row only
RS1_2022,B3_ORACLE_ROSTER,432,10.670674921939112,13.820309179813801,-0.5869952437267589,-0.4245793480533423,-0.26191322184118393,2022,per-season SST -- comparable WITHIN a season row only
RS1_2023,A_TEAM,480,8.73879386422462,10.841329016960255,0.0761295094334482,-0.6170780840830027,-0.016232154857250825,2023,per-season SST -- comparable WITHIN a season row only
RS1_2023,B1_BOTTOMUP_AVAIL,480,17.714214259478705,32.387367074702375,-7.245126688312444,7.073137687845278,-1.059981549880666,2023,per-season SST -- comparable WITHIN a season row only
RS1_2023,B2_BOTTOMUP_RAW,480,37.38578246172671,66.95608794175077,-34.239211982521795,35.73855555887918,-3.347583300670519,2023,per-season SST -- comparable WITHIN a season row only
RS1_2023,B4_BOTTOMUP_CAL,480,9.190821094523796,11.341744981346666,-0.011127219882751005,-1.1875967004652355,-0.06879828851805958,2023,per-season SST -- comparable WITHIN a season row only
RS1_2023,C1_BLEND,480,8.73879386422462,10.841329016960255,0.0761295094334482,-0.6170780840830027,-0.016232154857250825,2023,per-season SST -- comparable WITHIN a season row only
RS1_2023,C2_PRORATE,480,8.73879386422462,10.841329016960255,0.0761295094334482,-0.6170780840830027,-0.016232154857250825,2023,per-season SST -- comparable WITHIN a season row only
RS1_2023,R0_LEAGUE,480,9.177088371707091,11.32581438379231,-0.008288759257085276,-1.0279319121137538,-0.0672013136131806,2023,per-season SST -- comparable WITHIN a season row only
RS1_2023,R1_TEAM_EXPAND,480,8.61946133238733,10.767881434126073,0.08860513847694707,-0.9344042940932972,-0.0023550045482085835,2023,per-season SST -- comparable WITHIN a season row only
RS1_2023,R2_TEAM_EWMA,480,8.599210153365153,10.768695777429123,0.08846728102165846,-0.8694336037945994,0.0,2023,per-season SST -- comparable WITHIN a season row only
RS1_2023,B3_ORACLE_ROSTER,480,10.76512770091478,13.65603062020685,-0.46586849112436335,-1.3801597917988018,-0.2518740103940864,2023,per-season SST -- comparable WITHIN a season row only
RS1_2024,A_TEAM,480,8.42535842368257,10.622007097743237,0.022025341060066816,0.02481169153297366,-0.005048518846943129,2024,per-season SST -- comparable WITHIN a season row only
RS1_2024,B1_BOTTOMUP_AVAIL,480,22.118060231217036,43.614210489695424,-15.488094104381023,12.72503687840155,-1.6384306230423795,2024,per-season SST -- comparable WITHIN a season row only
RS1_2024,B2_BOTTOMUP_RAW,480,44.883027838318654,89.84766390373777,-68.97259917474864,43.09792043070366,-4.354029868150309,2024,per-season SST -- comparable WITHIN a season row only
RS1_2024,B4_BOTTOMUP_CAL,480,8.578607621668228,10.77805157348834,-0.006919941238278771,0.18492342655086727,-0.023329388538733342,2024,per-season SST -- comparable WITHIN a season row only
RS1_2024,C1_BLEND,480,8.42535842368257,10.622007097743237,0.022025341060066816,0.02481169153297366,-0.005048518846943129,2024,per-season SST -- comparable WITHIN a season row only
RS1_2024,C2_PRORATE,480,8.42535842368257,10.622007097743237,0.022025341060066816,0.02481169153297366,-0.005048518846943129,2024,per-season SST -- comparable WITHIN a season row only
RS1_2024,R0_LEAGUE,480,8.541896268476153,10.747549325295113,-0.0012287712002529982,0.23473470103896166,-0.01895014562761288,2024,per-season SST -- comparable WITHIN a season row only
RS1_2024,R1_TEAM_EXPAND,480,8.401361528543674,10.584366262645615,0.028944289280465996,-0.02463598929690874,-0.0021859647924498127,2024,per-season SST -- comparable WITHIN a season row only
RS1_2024,R2_TEAM_EWMA,480,8.383036505887981,10.561461466621317,0.033142512684435466,0.042361474483708035,0.0,2024,per-season SST -- comparable WITHIN a season row only
RS1_2024,B3_ORACLE_ROSTER,480,10.516416936305932,13.583476349612964,-0.5993233902745583,-0.11808178676933441,-0.25448778958788165,2024,per-season SST -- comparable WITHIN a season row only
