arm,n,corr_with_team_points,sd_of_forecast,MAE,ORACLE
LEVEL_TEAM_pts,1392,0.25258528802494706,3.4947003223833524,8.48020742289359,False
R2_TEAM_EWMA,1392,0.25258528802494706,3.4947003223833524,8.48020742289359,False
A_TEAM,1392,0.18790970087629902,2.8358979270043876,8.685506242216618,False
LEVEL_PLAYER_NORM_pts,1392,0.18234937456448702,10.200081026707016,10.791474274744987,False
B1N_ROSTER_NORMALISED,1392,0.1655460066332787,9.397162405532537,10.442556389250436,False
B4N_NORMALISED_CAL,1392,0.14833447999378369,1.2239513034986194,8.654625109281886,False
B3_ORACLE_ROSTER,1392,0.14458668712651632,9.848777479846618,10.650052436884797,True
LEVEL_PLAYER_pts,1392,0.025721418226558178,20.761803068118336,14.759281724426721,False
B1_BOTTOMUP_AVAIL,1392,0.00130068433412519,31.389226849192717,18.263036606875854,False
R0_LEAGUE,1392,-0.00929988791833559,0.3705801660588836,8.790931624564443,False
