game_id,team_id,season,season_type,game_date,pts,n_cand,n_app,pts_app,gap,pts_in_univ,unreachable
1022200005,1611661313,2022,Regular Season,2022-05-07,81.0,21,8,81.0,0.0,81.0,0.0
1022200013,1611661313,2022,Regular Season,2022-05-11,50.0,23,9,50.0,0.0,50.0,0.0
1022200017,1611661313,2022,Regular Season,2022-05-13,86.0,23,10,86.0,0.0,86.0,0.0
1022200021,1611661313,2022,Regular Season,2022-05-15,71.0,23,10,71.0,0.0,71.0,0.0
1022200023,1611661313,2022,Regular Season,2022-05-17,65.0,20,9,65.0,0.0,65.0,0.0
1022200042,1611661313,2022,Regular Season,2022-05-24,78.0,14,9,78.0,0.0,78.0,0.0
1022200046,1611661313,2022,Regular Season,2022-05-27,71.0,13,9,71.0,0.0,71.0,0.0
1022200050,1611661313,2022,Regular Season,2022-05-29,61.0,13,9,61.0,0.0,61.0,0.0
1022200057,1611661313,2022,Regular Season,2022-06-01,87.0,13,10,87.0,0.0,87.0,0.0
1022200059,1611661313,2022,Regular Season,2022-06-03,74.0,13,9,74.0,0.0,74.0,0.0
1022200063,1611661313,2022,Regular Season,2022-06-05,77.0,13,9,77.0,0.0,77.0,0.0
1022200069,1611661313,2022,Regular Season,2022-06-07,88.0,13,9,88.0,0.0,88.0,0.0
1022200074,1611661313,2022,Regular Season,2022-06-10,97.0,15,10,97.0,0.0,97.0,0.0
1022200079,1611661313,2022,Regular Season,2022-06-12,86.0,15,9,86.0,0.0,86.0,0.0
1022200088,1611661313,2022,Regular Season,2022-06-16,77.0,15,8,77.0,0.0,77.0,0.0
1022200092,1611661313,2022,Regular Season,2022-06-19,72.0,15,10,72.0,0.0,72.0,0.0
1022200101,1611661313,2022,Regular Season,2022-06-22,81.0,14,9,81.0,0.0,81.0,0.0
1022200106,1611661313,2022,Regular Season,2022-06-24,89.0,13,10,89.0,0.0,89.0,0.0
1022200119,1611661313,2022,Regular Season,2022-06-30,81.0,13,8,81.0,0.0,81.0,0.0
1022200127,1611661313,2022,Regular Season,2022-07-03,74.0,13,9,74.0,0.0,74.0,0.0
1022200133,1611661313,2022,Regular Season,2022-07-06,116.0,13,9,116.0,0.0,116.0,0.0
1022200135,1611661313,2022,Regular Season,2022-07-07,81.0,13,9,81.0,0.0,81.0,0.0
1022200138,1611661313,2022,Regular Season,2022-07-12,101.0,13,10,101.0,0.0,101.0,0.0
1022200143,1611661313,2022,Regular Season,2022-07-14,74.0,13,10,74.0,0.0,74.0,0.0
1022200154,1611661313,2022,Regular Season,2022-07-19,63.0,12,10,63.0,0.0,63.0,0.0
1022200158,1611661313,2022,Regular Season,2022-07-21,69.0,12,10,69.0,0.0,69.0,0.0
1022200164,1611661313,2022,Regular Season,2022-07-23,83.0,12,9,83.0,0.0,83.0,0.0
1022200174,1611661313,2022,Regular Season,2022-07-29,81.0,12,9,81.0,0.0,81.0,0.0
1022200178,1611661313,2022,Regular Season,2022-07-31,89.0,12,10,89.0,0.0,89.0,0.0
1022200183,1611661313,2022,Regular Season,2022-08-02,102.0,12,11,102.0,0.0,102.0,0.0
1022200187,1611661313,2022,Regular Season,2022-08-03,64.0,12,9,64.0,0.0,64.0,0.0
1022200194,1611661313,2022,Regular Season,2022-08-06,62.0,12,11,62.0,0.0,62.0,0.0
1022200199,1611661313,2022,Regular Season,2022-08-08,77.0,12,10,77.0,0.0,77.0,0.0
1022200203,1611661313,2022,Regular Season,2022-08-10,91.0,12,12,91.0,0.0,91.0,0.0
1022200208,1611661313,2022,Regular Season,2022-08-12,80.0,12,10,80.0,0.0,80.0,0.0
1022200212,1611661313,2022,Regular Season,2022-08-14,87.0,12,10,87.0,0.0,87.0,0.0
1042200111,1611661313,2022,Playoffs,2022-08-17,98.0,12,10,98.0,0.0,98.0,0.0
1042200112,1611661313,2022,Playoffs,2022-08-20,62.0,12,12,62.0,0.0,62.0,0.0
1042200113,1611661313,2022,Playoffs,2022-08-23,72.0,12,12,72.0,0.0,72.0,0.0
1022200003,1611661317,2022,Regular Season,2022-05-06,88.0,17,10,88.0,0.0,83.0,5.0
1022200014,1611661317,2022,Regular Season,2022-05-11,97.0,19,10,97.0,0.0,85.0,12.0
1022200018,1611661317,2022,Regular Season,2022-05-14,69.0,20,8,69.0,0.0,69.0,0.0
1022200026,1611661317,2022,Regular Season,2022-05-17,74.0,20,9,74.0,0.0,74.0,0.0
1022200030,1611661317,2022,Regular Season,2022-05-19,84.0,20,9,84.0,0.0,84.0,0.0
1022200034,1611661317,2022,Regular Season,2022-05-21,80.0,13,9,80.0,0.0,80.0,0.0
1022200043,1611661317,2022,Regular Season,2022-05-25,94.0,10,8,94.0,0.0,94.0,0.0
