row_set,arm,n,MAE,RMSE,R2_common_SST,bias,skill_MAE_vs_R2_TEAM_EWMA
RS2_playoffs_2022_2024_SEPARATE,A_TEAM,130,9.221737290847205,11.540747323646317,0.044118115271312486,1.0813564276308294,0.06492642699455653
RS2_playoffs_2022_2024_SEPARATE,B1_BOTTOMUP_AVAIL,130,9.770527091048196,12.375447432152177,-0.09915309097527403,1.7489854107740614,0.009279771367942002
RS2_playoffs_2022_2024_SEPARATE,B2_BOTTOMUP_RAW,130,15.436203329399097,18.656650515650732,-1.4980649075611767,12.699142537365853,-0.5652132939403742
RS2_playoffs_2022_2024_SEPARATE,B4_BOTTOMUP_CAL,130,9.50199438727479,11.818139717263712,-0.0023851084888377727,0.11018752404449828,0.03650867920458489
RS2_playoffs_2022_2024_SEPARATE,C1_BLEND,130,9.221155668493262,11.539404440218624,0.04434055550393656,1.1031999160782309,0.06498540283343468
RS2_playoffs_2022_2024_SEPARATE,C2_PRORATE,130,9.221737290847205,11.540747323646317,0.044118115271312486,1.0813564276308294,0.06492642699455653
RS2_playoffs_2022_2024_SEPARATE,R0_LEAGUE,130,9.53120987181085,11.819350770706645,-0.002590556074437478,0.48797215907178343,0.03354626261749194
RS2_playoffs_2022_2024_SEPARATE,R1_TEAM_EXPAND,130,9.91454737717948,12.156805297576485,-0.06065779573030361,3.2225065035063403,-0.00532372028343131
RS2_playoffs_2022_2024_SEPARATE,R2_TEAM_EWMA,130,9.862044610251777,12.18029299706925,-0.0647602679045498,3.031004902463228,0.0
RS2_playoffs_2022_2024_SEPARATE,B3_ORACLE_ROSTER,130,10.386015818868948,13.405089960222659,-0.28966178692875477,4.140732157864365,-0.05313007893641997
