step,arm,MAE,MAE_improvement,share_of_total_gap
start   B1_BOTTOMUP_AVAIL  (literal bottom-up),B1_BOTTOMUP_AVAIL,18.263036606875854,,
+ normalise the roster size to prior games (fixes the availability miscalibration),B1N_ROSTER_NORMALISED,10.442556389250436,7.820480217625418,0.8165445495722704
+ remove residual level and scale bias (walk-forward affine),B4N_NORMALISED_CAL,8.654625109281886,1.78793127996855,0.18667978193689225
target  A_TEAM (top-down),A_TEAM,8.685506242216618,-0.03088113293473249,-0.0032243315091626157
