arm,n,MAE,R2_common_SST,bias,skill_MAE_vs_R2_TEAM_EWMA,ORACLE,added_after_hash
A_TEAM,1392,8.685506242216618,0.0217228200202757,-1.0294486674058079,-0.0242091742672228,False,False
A_TEAM_CAL,1392,8.84640647251135,-0.011751148744385764,-1.2552218730611007,-0.04318279392897262,False,False
B1_BOTTOMUP_AVAIL,1392,18.263036606875854,-8.662696572062861,8.138903497093473,-1.1536072994596864,False,False
B1A_TIER_A_ONLY,1356,9.78507388803231,-0.2187997590366717,-2.1797465778214846,-0.1550034173653405,False,True
B1N_ROSTER_NORMALISED,1392,10.442556389250436,-0.4459485100444869,0.2151440559411236,-0.2314034160366396,False,True
B4_BOTTOMUP_CAL,1392,8.819619382566204,-0.010721346293425249,-0.8318519440580342,-0.040024016247093286,False,False
B4A_TIER_A_CAL,1356,9.134038300759276,-0.05803141515923249,-0.5884627262548634,-0.07815695338038475,False,False
B4N_NORMALISED_CAL,1392,8.654625109281886,0.020566118061926764,-0.0803822930426647,-0.020567620305775636,False,False
B3_ORACLE_ROSTER,1392,10.650052436884797,-0.5446080280639538,-0.6484010316607395,-0.25587169107837915,True,False
B4O_ORACLE_CAL,1392,8.73400883722181,0.008540376448472942,-0.5719562130637815,-0.0299286800041052,False,False
R2_TEAM_EWMA,1392,8.48020742289359,0.05702624234271014,-0.5594109208463486,0.0,False,False
R0_LEAGUE,1392,8.790931624564443,-0.005094838813192171,-0.6359310689244015,-0.036641108663451494,False,False
