game_id,team_id,season,pts,R2_TEAM_EWMA,A_TEAM,n_top3_out,naive_points_lost,resid,fitted_absence_effect
1022200001,1611661322,2022,84.0,79.78125,82.0,3,26.101400933955972,4.21875,-0.0
1022200001,1611661325,2022,70.0,75.3125,82.0,3,26.101400933955972,-5.3125,-0.0
1022200002,1611661320,2022,98.0,72.75,82.0,1,8.700466977985323,25.25,-0.0
1022200002,1611661329,2022,91.0,83.5952380952381,82.0,1,8.700466977985323,7.404761904761898,-0.0
1022200003,1611661317,2022,88.0,82.3953488372093,82.0,1,8.700466977985323,5.604651162790702,-0.0
1022200003,1611661319,2022,106.0,88.64864864864865,82.0,2,17.400933955970647,17.351351351351354,-0.0
1022200004,1611661324,2022,74.0,82.51515151515152,82.0,2,17.400933955970647,-8.515151515151516,-0.0
1022200004,1611661328,2022,97.0,84.66666666666667,82.0,1,8.700466977985323,12.333333333333329,-0.0
1022200005,1611661313,2022,81.0,78.57575757575758,82.0,1,8.700466977985323,2.424242424242422,-0.0
1022200005,1611661323,2022,79.0,79.91666666666667,82.0,2,17.400933955970647,-0.9166666666666714,-0.0
1022200006,1611661321,2022,59.0,80.60606060606061,82.0,0,0.0,-21.60606060606061,-0.0
1022200006,1611661330,2022,66.0,78.6875,82.0,3,26.101400933955972,-12.6875,-0.0
1022200007,1611661320,2022,87.0,77.8,82.0,1,8.700466977985323,9.200000000000003,-0.0
1022200007,1611661325,2022,77.0,74.25,82.0,3,26.101400933955972,2.75,-0.0
1022200008,1611661319,2022,85.0,92.11891891891892,82.0,2,17.400933955970647,-7.118918918918922,-0.0
1022200008,1611661328,2022,74.0,87.13333333333334,82.0,1,8.700466977985323,-13.13333333333334,-0.0
1022200009,1611661322,2022,78.0,80.625,82.0,3,26.101400933955972,-2.625,-0.0
1022200009,1611661324,2022,66.0,80.81212121212121,82.0,0,0.0,-14.812121212121212,-0.0
1022200010,1611661319,2022,76.0,90.7210843958725,82.0,1,8.700466977985323,-14.721084395872495,-0.0
1022200010,1611661322,2022,89.0,80.13402326025607,82.0,2,17.400933955970647,8.865976739743928,-0.0
1022200011,1611661324,2022,76.0,78.40435833241234,82.0,2,17.400933955970647,-2.404358332412343,-0.0
1022200011,1611661325,2022,82.0,74.77437564580396,82.0,2,17.400933955970647,7.225624354196043,-0.0
1022200012,1611661320,2022,75.0,79.0715018644232,82.0,0,0.0,-4.0715018644231975,-0.0
1022200012,1611661330,2022,77.0,76.15,82.0,1,8.700466977985323,0.8499999999999943,-0.0
1022200013,1611661313,2022,50.0,79.06060606060606,82.0,0,0.0,-29.060606060606062,-0.0
1022200013,1611661329,2022,83.0,85.07619047619048,82.0,1,8.700466977985323,-2.076190476190476,-0.0
1022200014,1611661317,2022,97.0,83.51627906976744,82.0,1,8.700466977985323,13.483720930232565,-0.0
1022200014,1611661328,2022,77.0,84.77534495410664,82.0,0,0.0,-7.775344954106643,-0.0
1022200015,1611661321,2022,94.0,76.28484848484848,82.0,1,8.700466977985323,17.71515151515152,-0.0
1022200015,1611661322,2022,86.0,81.42863565895257,82.0,0,0.0,4.571364341047428,-0.0
