planted_beta,recovered_beta,p,null_sd,detects
0.0,0.02843449674670419,0.6070982254436391,0.04397314104609402,False
0.1,0.1284344967467042,0.007748062984253936,0.04413943890932384,True
0.25,0.2784344967467042,0.00024993751562109475,0.044638547265399925,True
0.5,0.5284344967467042,0.00024993751562109475,0.046108539889458455,True
1.0,1.0284344967467043,0.00024993751562109475,0.05114779456714607,True
