arm,n,MAE,R2_common_SST,bias,dR2_vs_BASE_NO_VENUE
R2_TEAM_EWMA,1392,8.48020742289359,0.05702624234271014,-0.5594109208463486,0.0030288132798920175
BASE_NO_VENUE,1392,8.489782424133095,0.053997429062818125,-0.6405959876375903,0.0
FT_FLAT,1392,8.489926985086173,0.05524192528925209,-0.6413683349986633,0.0012444962264339665
FT_COMPOSED,1392,8.48955357826236,0.05535550067225681,-0.6415891671675433,0.0013580716094386824
FT_COMPOSED_OVER_FLAT,1392,8.478907669665313,0.05630298245214638,-0.6456196979782954,0.002305553389328252
