row_set,arm,n,MAE,RMSE,R2_common_SST,bias,skill_MAE_vs_R2_TEAM_EWMA,ORACLE
RS1_regular_2022_2024,A_TEAM,1392,8.685506242216618,10.88885666005677,0.0217228200202757,-1.0294486674058079,-0.0242091742672228,False
RS1_regular_2022_2024,B1_BOTTOMUP_AVAIL,1392,18.263036606875854,34.22161415537168,-8.662696572062861,8.138903497093473,-1.1536072994596864,False
RS1_regular_2022_2024,B2_BOTTOMUP_RAW,1392,37.41774571330201,70.42941622873644,-39.92658791155245,35.74864058348261,-3.4123620858951167,False
RS1_regular_2022_2024,B4_BOTTOMUP_CAL,1392,8.819619382566204,11.067946173128583,-0.010721346293425249,-0.8318519440580342,-0.040024016247093286,False
RS1_regular_2022_2024,C1_BLEND,1392,8.695863176287085,10.900387540516133,0.019649807155059595,-0.9678825364191604,-0.025430480958673174,False
RS1_regular_2022_2024,C2_PRORATE,1392,8.685506242216618,10.88885666005677,0.0217228200202757,-1.0294486674058079,-0.0242091742672228,False
RS1_regular_2022_2024,R0_LEAGUE,1392,8.790931624564443,11.037096527395645,-0.005094838813192171,-0.6359310689244015,-0.036641108663451494,False
RS1_regular_2022_2024,R1_TEAM_EXPAND,1392,8.476966559223868,10.692152499296567,0.05674818396972192,-0.6524021493934734,0.00038216797161982896,False
RS1_regular_2022_2024,R2_TEAM_EWMA,1392,8.48020742289359,10.690576429357955,0.05702624234271014,-0.5594109208463486,0.0,False
RS1_regular_2022_2024,B3_ORACLE_ROSTER,1392,10.650052436884797,13.68234267705194,-0.5446080280639538,-0.6484010316607395,-0.25587169107837915,True
