spec,slice,n,log_loss,brier,calib_slope,calib_intercept
1_constant,fit_2024,6320,0.691432482518959,0.2491431411232175,116.31669434401783,13.51772902869592
1_constant,dev_2025,7821,0.6921734612922523,0.24951320684614137,386.5768651594628,45.22369765839586
1_constant,desc_2026,3716,0.6931603910228715,0.2500061074222446,242.1895648535076,28.331960311343835
2_raw_vig_direct,fit_2024,6320,0.6966778576652107,0.2517753335453699,0.8337311391028838,-0.21205549794433476
2_raw_vig_direct,dev_2025,7821,0.6930930109433107,0.24997821937631678,1.6581825737594513,-0.2856344274496761
2_raw_vig_direct,desc_2026,3716,0.6965892657616742,0.25171010095036106,0.8618400024221154,-0.1746604548662333
3_devig_direct,fit_2024,6320,0.6911857150880103,0.24904294232742596,0.8922761628077994,-0.09960639836735095
3_devig_direct,dev_2025,7821,0.688554583458597,0.2477131954769918,1.7904715485840614,-0.06446817005917783
3_devig_direct,desc_2026,3716,0.6923283066681323,0.2495911089932723,0.919323623721389,-0.05629429787978679
4_devig_calibrated,fit_2024,6320,0.6900476418511341,0.24846497666879058,1.200064108438542,0.023363517870266984
4_devig_calibrated,dev_2025,7821,0.6886400663831099,0.2477554879132925,2.3842711065805124,0.17971111183782984
4_devig_calibrated,desc_2026,3716,0.6922170006321419,0.24953616726583516,1.219293528743503,0.06859458245162023
5_projection_only,fit_2024,6320,0.6914320945593758,0.24914294758384203,1.1905581966569936,0.022337722679695086
5_projection_only,dev_2025,7821,0.6921649207083748,0.24950895181017715,18.796776210130773,2.1170611886083086
5_projection_only,desc_2026,3716,0.6931886130914141,0.25002016961126666,-34.53687128343594,-4.118999775390386
6_devig_plus_projection,fit_2024,6320,0.6900018666818553,0.2484412968192162,1.2108148879688236,0.024619427137386955
6_devig_plus_projection,dev_2025,7821,0.6884610966290508,0.24766703821942676,2.464273761366726,0.1957264808867585
6_devig_plus_projection,desc_2026,3716,0.692445635943533,0.24965006320758945,1.0414117008461972,0.05343249269386803
7_devig_plus_controls,fit_2024,6320,0.6876548742477352,0.2472842610200954,1.1392642425260102,0.016158775939859205
7_devig_plus_controls,dev_2025,7821,0.6928019012836539,0.2497981723455574,0.4204961729437709,-0.06566316828950552
7_devig_plus_controls,desc_2026,3716,0.7013324365070223,0.2540000474637735,-0.2583402765533298,-0.05790765246978978
8_full_registered,fit_2024,6320,0.6876014885405634,0.24725717676781683,1.14407046040775,0.016714039651129824
8_full_registered,dev_2025,7821,0.692590427017174,0.2496948261759811,0.44479542888163803,-0.062206144154718875
8_full_registered,desc_2026,3716,0.7015392148376525,0.2541000845088832,-0.26275334079442997,-0.05887676696441
