channel,alpha,n_test,mae_raw,mae_structural,delta,prob_structural_better
ft,0.08,625,4.138137374607929,4.055857544227509,-0.0822798303804202,0.9585
3pt,0.05,625,7.046145797504988,6.7800029011791745,-0.2661428963258139,0.9975
paint,0.05,615,6.669400832090161,6.598612615207903,-0.07078821688225734,0.7605
np2,0.1,615,3.397051155062345,3.5592048627871926,0.1621537077248476,0.0015
