model,MAE_test,calib_intercept,calib_slope
RAW sum,10.520485172635503,1.588733004473102,0.6824815753101204
STRUCTURAL sum,9.511906919349117,1.4480787495602765,0.7832152799455184
HYBRID (winners),9.661077928834299,1.4898286448686424,0.6987633965835575
MONOLITHIC ridge (raw trends),10.861693227033296,,
MONOLITHIC ridge (raw+structural),9.600108154516374,,
