artifact,matched_glob,exists,has_manifest,manifest_valid,hash_ok,producer,fit_through_date,fit_through_season,problem
data/rapm/rapm_v0.csv,data/rapm/*.csv,True,False,False,,,,,NO MANIFEST - artifact is unattested; consumers cannot assert as-of
data/zone_maps/league_zone_averages.csv,data/zone_maps/league_zone_averages.csv,True,False,False,,,,,NO MANIFEST - artifact is unattested; consumers cannot assert as-of
data/zone_maps/player_zone_offense.csv,data/zone_maps/player_zone_offense.csv,True,False,False,,,,,NO MANIFEST - artifact is unattested; consumers cannot assert as-of
data/zone_maps/shrinkage_priors.csv,data/zone_maps/shrinkage_priors.csv,True,False,False,,,,,NO MANIFEST - artifact is unattested; consumers cannot assert as-of
data/zone_maps/team_zone_defense.csv,data/zone_maps/team_zone_defense.csv,True,False,False,,,,,NO MANIFEST - artifact is unattested; consumers cannot assert as-of
data/zone_maps/team_zone_offense.csv,data/zone_maps/team_zone_offense.csv,True,False,False,,,,,NO MANIFEST - artifact is unattested; consumers cannot assert as-of
evalharness/frozen_baselines.json,evalharness/frozen_baselines.json,True,False,False,,,,,NO MANIFEST - artifact is unattested; consumers cannot assert as-of
experiments/channel_reval/predictions_v2.csv,experiments/channel_reval/predictions_v2.csv,True,False,False,,,,,NO MANIFEST - artifact is unattested; consumers cannot assert as-of
experiments/channel_reval/run_summary.json,experiments/channel_reval/run_summary.json,True,False,False,,,,,NO MANIFEST - artifact is unattested; consumers cannot assert as-of
experiments/dist_margin_cover/residual_pool.csv,experiments/dist_margin_cover/residual_pool.csv,True,False,False,,,,,NO MANIFEST - artifact is unattested; consumers cannot assert as-of
experiments/rapm_multiseason/rapm_v1_decay_pooled_train2021_24.csv,experiments/rapm_multiseason/rapm_v1_*.csv,True,False,False,,,,,NO MANIFEST - artifact is unattested; consumers cannot assert as-of
experiments/rapm_multiseason/rapm_v1_decay_pooled_train2021_26.csv,experiments/rapm_multiseason/rapm_v1_*.csv,True,False,False,,,,,NO MANIFEST - artifact is unattested; consumers cannot assert as-of
experiments/rapm_multiseason/rapm_v1_prior_anchored_train2021_24.csv,experiments/rapm_multiseason/rapm_v1_*.csv,True,False,False,,,,,NO MANIFEST - artifact is unattested; consumers cannot assert as-of
experiments/rapm_multiseason/rapm_v1_prior_anchored_train2021_26.csv,experiments/rapm_multiseason/rapm_v1_*.csv,True,False,False,,,,,NO MANIFEST - artifact is unattested; consumers cannot assert as-of
experiments/rapm_multiseason/rapm_v1_singleseason_extlambda_train2021_24.csv,experiments/rapm_multiseason/rapm_v1_*.csv,True,False,False,,,,,NO MANIFEST - artifact is unattested; consumers cannot assert as-of
experiments/w2_integration/calibration_params.json,experiments/w2_integration/calibration_params.json,True,False,False,,,,,NO MANIFEST - artifact is unattested; consumers cannot assert as-of
experiments/w4_refs/crew_factors.csv,experiments/w4_refs/crew_factors.csv,True,False,False,,,,,NO MANIFEST - artifact is unattested; consumers cannot assert as-of
experiments/w6_retrospective/zscore_params.json,experiments/w6_retrospective/zscore_params.json,True,False,False,,,,,NO MANIFEST - artifact is unattested; consumers cannot assert as-of
