placebo,n,observed_sd,n_distinct,note
NOOP_identity_transform,20,8.898943666030574e-19,1,transform asserted to be the identity
RESPONSE_permuted_within_team_game,200,0.0003598929889480886,200,mean -0.000156  max +0.000744  min -0.001955
