response,projection,population,benchmark,n,n_blocks,r2_tuned,r2_benchmark,dR2_tuned_minus_benchmark,null_sd,z,p,p_min_attainable,MDE80_analytic
R1_min,RAW,DECISION_CLEAN_2023_24,NAIVE,3167,764,0.22833762444731276,0.21188161139557216,0.01645601305174066,0.004887095850241102,3.341631140456005,0.0009995002498750624,2.0611676062710827e-230,0.013683868380675084
R1_min,RAW,DECISION_CLEAN_2023_24,TRAIL5,3167,764,0.22833762444731276,0.17771351916295908,0.05062410528435374,0.009038457937977166,5.630111207145819,0.0004997501249375312,2.0611676062710827e-230,0.025307682226336062
R1_min,RAW,DECISION_CLEAN_2023_24,UNIFORM,3167,764,0.22833762444731276,-1.8258887870608889,2.0542264115082016,0.09326641029644434,22.00804355876188,0.0004997501249375312,2.0611676062710827e-230,0.2611459488300441
R1_min,RAW,DECISION_DISCLOSED_2022,NAIVE,1350,336,0.16207126211545642,0.15220938099640802,0.009861881119048291,0.012860344838729939,0.7850063216533839,0.4407796101949025,1.4287342391028437e-101,0.03600896554844383
R1_min,RAW,DECISION_DISCLOSED_2022,TRAIL5,1350,336,0.16207126211545642,0.12014855009430325,0.04192271202115334,0.01485649205821602,2.835547809761988,0.004997501249375313,1.4287342391028437e-101,0.041598177763004854
R1_min,RAW,DECISION_DISCLOSED_2022,UNIFORM,1350,336,0.16207126211545642,-1.4820214228904471,1.6440926850059032,0.126462681455319,12.970556788951205,0.0004997501249375312,1.4287342391028437e-101,0.35409550807489315
R1_min,RAW,ALL_APPEARED_CLEAN_2023_24,NAIVE,9056,960,0.6434689644554468,0.639726226899821,0.0037427375556258035,0.002342067124835908,1.5803702302897646,0.1089455272363818,2.0522684006491881e-289,0.0065577879495405415
R1_min,RAW,ALL_APPEARED_CLEAN_2023_24,TRAIL5,9056,960,0.6434689644554468,0.632747665650039,0.01072129880540777,0.002881202045873113,3.740392672572261,0.0004997501249375312,2.0522684006491881e-289,0.008067365728444716
R1_min,RAW,ALL_APPEARED_CLEAN_2023_24,UNIFORM,9056,960,0.6434689644554468,0.00039648695861838057,0.6430724774968283,0.02438019687248179,26.372912405703378,0.0004997501249375312,2.0522684006491881e-289,0.06826455124294901
R1_min,PROJ,DECISION_CLEAN_2023_24,NAIVE,3167,764,0.28586302637122807,0.24881161630809434,0.037051410063133734,0.006526416194212266,5.654099917485866,0.0004997501249375312,2.0611676062710827e-230,0.018273965343794343
R1_min,PROJ,DECISION_CLEAN_2023_24,TRAIL5,3167,764,0.28586302637122807,0.2148010760124357,0.07106195035879238,0.009349727147634018,7.602794389926794,0.0004997501249375312,2.0611676062710827e-230,0.02617923601337525
R1_min,PROJ,DECISION_CLEAN_2023_24,UNIFORM,3167,764,0.28586302637122807,-1.512709317101447,1.7985723434726753,0.08030248427023372,22.374119328552826,0.0004997501249375312,2.0611676062710827e-230,0.22484695595665438
R1_min,PROJ,DECISION_DISCLOSED_2022,NAIVE,1350,336,0.27115162914376645,0.25386196470675837,0.017289664437008048,0.008560680378178294,1.995115710665192,0.04547726136931534,1.4287342391028437e-101,0.023969905058899222
R1_min,PROJ,DECISION_DISCLOSED_2022,TRAIL5,1350,336,0.27115162914376645,0.23048269007788624,0.040668939065880115,0.01089243843506046,3.7321151092467306,0.0009995002498750624,1.4287342391028437e-101,0.03049882761816929
