candidate,family,theta_minutes_per_sd,n_rep,n_draws,power_at_alpha_05,mean_recovered_dR2,sd_recovered_dR2,mean_z,sd_z
C1_player_rest,WITHIN_TG,0.0,40,200,0.05,0.0021402197607066444,0.001001581419258637,-0.0529531862217998,1.1065591333672264
C1_player_rest,WITHIN_TG,0.2,40,200,0.0,-0.0006038281972833151,0.0006129899610016023,-1.0936758023726783,0.9369920068323403
C1_player_rest,WITHIN_TG,0.35,40,200,0.05,-0.0011963464214760748,0.0006683034454531272,-0.47727367419834116,1.0408340172548411
C1_player_rest,WITHIN_TG,0.5,40,200,0.4,-0.0005283782151145694,0.0010007452414464578,1.1189606768853018,1.2612714932548257
C1_player_rest,WITHIN_TG,0.7,40,200,0.875,0.002310891996377682,0.001585713834935078,3.182909134842276,1.358782567656788
C1_player_rest,WITHIN_TG,1.0,40,200,1.0,0.010653067414149692,0.0025412379840277196,5.663127293995648,1.3539873036340957
C7_sched_density,TG_CONSTANT,0.0,40,200,0.05,0.00037800475830087455,0.000713304546735583,0.01947400736585339,0.9858017939423261
C7_sched_density,TG_CONSTANT,0.2,40,200,0.4,0.002876711789934272,0.0013264060842755171,1.5172375783099927,1.4143658607043075
C7_sched_density,TG_CONSTANT,0.35,40,200,0.75,0.005686710478693532,0.0018277342590033595,2.7696144166693815,1.6191121391717063
C7_sched_density,TG_CONSTANT,0.5,40,200,0.875,0.009284732966381338,0.002330764242075903,4.026339339175952,1.74728353642974
C7_sched_density,TG_CONSTANT,0.7,40,200,1.0,0.015278335510523095,0.002989435652433818,5.665368699591509,1.8463520761229797
C7_sched_density,TG_CONSTANT,1.0,40,200,1.0,0.02672788410427087,0.00393278856706189,8.011373413965089,1.9120432483865808
G01_noise,WITHIN_TG_CONTROL,0.0,40,200,0.025,-0.000255065481516803,0.00035887418933399,0.05525923065879641,0.7205065798488564
G01_noise,WITHIN_TG_CONTROL,0.2,40,200,0.55,0.0005651633447432409,0.00103591735441206,1.5678849391461211,1.937424417037336
G01_noise,WITHIN_TG_CONTROL,0.35,40,200,0.9,0.0024282966830763302,0.0016267032558667867,4.575739889677527,2.8836504835410066
G01_noise,WITHIN_TG_CONTROL,0.5,40,200,0.95,0.005348452999134825,0.0022254786044773028,8.708116550765322,3.7250810476517655
G01_noise,WITHIN_TG_CONTROL,0.7,40,200,1.0,0.010853188161444817,0.003020918055728116,15.362618056063098,4.670334640186905
G01_noise,WITHIN_TG_CONTROL,1.0,40,200,1.0,0.022430848005225774,0.004186246366718322,26.65255571989484,5.7473648987344905
