response,projection,eval_season,n_train_rows,n_eval_rows,selected_h,selected_k,train_sse,r2_tuned,r2_naive,r2_trail5,r2_uniform
R1_min,RAW,2023,2506,1596,3,1.0,84225.9112724156,0.2450874314563537,0.23172634360324673,0.19463562290629988,-1.8282788112582615
R1_min,RAW,2024,4102,1571,3,1.0,133388.44832707613,0.210975739671441,0.19149962037872825,0.16010944361076196,-1.8277857285537311
R1_min,RAW,2022,1156,1350,2,2.0,40552.73859188523,0.16207126211545642,0.15220938099640802,0.12014855009430325,-1.4820214228904471
R1_min,PROJ,2023,2506,1596,3,1.0,74161.83116845213,0.2912290635569301,0.2552687160292263,0.21656719611506758,-1.5604295061364142
R1_min,PROJ,2024,4102,1571,3,1.0,120319.46435420067,0.27960523752988053,0.24144258191842272,0.21192178493007907,-1.4702644356559684
R1_min,PROJ,2022,1156,1350,3,1.0,36072.23692340842,0.27115162914376645,0.25386196470675837,0.23048269007788624,-1.2296865827923642
R2_smin,RAW,2023,2506,1596,3,1.0,1.9752622964118254,0.25637623409847055,0.2404989261435757,0.2092878825963681,-1.825354990177094
R2_smin,RAW,2024,4102,1571,3,1.0,3.141848892181742,0.21908234220470812,0.19838732742652831,0.17104722026098973,-1.867709437391318
R2_smin,RAW,2022,1156,1350,2,1.0,0.9604021446269442,0.17456721436732126,0.16133045033547333,0.13384436171866776,-1.4942308794729784
R2_smin,PROJ,2023,2506,1596,3,1.0,1.8240008842569635,0.27683141342060724,0.2395715216025346,0.20026024628567607,-1.624584531848702
R2_smin,PROJ,2024,4102,1571,3,1.0,2.9584976799082074,0.24552519662119843,0.2059808964669676,0.17550191838759188,-1.5766055352658155
R2_smin,PROJ,2022,1156,1350,3,1.0,0.8920187366889516,0.24205304356194202,0.22352759131871003,0.20146573935777123,-1.3281374452306154
