response,projection,stratum,candidate,n,sst,r2_base,corr_with_base,ORACLE_unconstrained,ORACLE_projected,c_star,g_star_projected,clip_frac_at_gstar,ORACLE_projected_g_within_2g0,NOT_A_BOUND_dd_over_sst
R1_min,RAW,DECISION_CLEAN_2023_24,C1_player_rest,3167,132506.76970090868,0.2294384480422601,-0.016412234233873547,0.009455128137979166,0.009537331946204932,-0.6291522969648409,-0.21031125062706513,0.0,0.009537331946204932,0.023886682988717135
R1_min,RAW,DECISION_CLEAN_2023_24,C2_foul_rate,3167,132506.76970090868,0.2294384480422601,-0.33203222281171824,0.000375435957563284,0.00017740015064108864,0.1328912507342498,0.09726436449983929,0.0,0.00017740015064108864,0.021259012498025243
R1_min,RAW,DECISION_CLEAN_2023_24,C3_blowout_adj,3167,132506.76970090868,0.2294384480422601,0.279099673615582,0.0007524663715045534,0.000820546553231701,0.18480653346940284,0.19283861189080775,0.0,0.000820546553231701,0.02203192548528455
R1_min,RAW,DECISION_CLEAN_2023_24,C4_min_volatility,3167,132506.76970090868,0.2294384480422601,-0.39657397440015685,0.0003870374142508804,0.0006362090772752228,-0.13864239816359977,-0.07772277650855418,0.0,0.0006362090772752228,0.020135426154129676
R1_min,RAW,DECISION_CLEAN_2023_24,C5_starter_delta,3167,132506.76970090868,0.2294384480422601,-0.314363897290666,0.0006944835322358659,0.0004031481572567612,0.17959320653066513,0.6528648550106066,0.0,0.0004031481572567612,0.02153188952635393
R1_min,RAW,DECISION_CLEAN_2023_24,C6_team_rest,3167,132506.76970090868,0.2294384480422601,0.0022248352555012127,0.0009783322104878632,0.001007569197007452,-0.20235215280155752,-0.07728907176368892,0.0,0.001007569197007452,0.023893000605089
R1_min,RAW,DECISION_CLEAN_2023_24,C7_sched_density,3167,132506.76970090868,0.2294384480422601,0.01918460840786454,0.0009727278021404083,0.0010351020988092119,0.20180837162063447,0.2666842960174058,0.0,0.0010351020988092119,0.0238843250301637
R1_min,RAW,DECISION_CLEAN_2023_24,C8_opp_pace_prior,3167,132506.76970090868,0.2294384480422601,-0.05642368488712294,0.00018713660671126163,0.000169417071276216,0.08864114819818415,0.06097823634409732,0.0,0.000169417071276216,0.023817051970452936
R1_min,RAW,DECISION_CLEAN_2023_24,G01_noise,3167,132506.76970090868,0.2294384480422601,-0.0024010544708515367,3.171498069117288e-05,3.122094044655145e-05,0.03643317800119616,0.0364018487945327,0.0,3.122094044655145e-05,0.02389298112811957
R1_min,RAW,DECISION_CLEAN_2023_24,G02_tg_noise,3167,132506.76970090868,0.2294384480422601,0.01690447253586209,0.0001671867136045998,0.0001575180110992937,-0.08366166811971142,-0.07764949194884159,0.0,0.0001575180110992937,0.023886291147321843
R1_min,RAW,DECISION_CLEAN_2023_24,C1_player_rest__W,3167,132506.76970090868,0.2294384480422601,-0.04109181244733516,0.00412754770622669,0.004179976421426569,-0.41598397439253787,-0.28516679672757905,0.0,0.004179976421426569,0.02385277445698209
R1_min,RAW,DECISION_CLEAN_2023_24,C1_player_rest__B,3167,132506.76970090868,0.2294384480422601,0.004239105710245007,0.005488714958075761,0.0055103001534873896,-0.47929491228863513,-0.17989538233041752,0.0,0.0055103001534873896,0.02389268951368726
R1_min,RAW,DECISION_CLEAN_2023_24,C2_foul_rate__W,3167,132506.76970090868,0.2294384480422601,-0.30266540201112163,0.0006273813615568583,0.0003694686957225012,0.17001699598269668,0.12388802855937969,0.0,0.0003694686957225012,0.021704357569070232
R1_min,RAW,DECISION_CLEAN_2023_24,C2_foul_rate__B,3167,132506.76970090868,0.2294384480422601,-0.003178869346460872,0.00017257411538358747,0.00016340043756510631,-0.08498721550035199,-0.15015702221360888,0.0,0.00016340043756510631,0.023892877428453457
R1_min,RAW,DECISION_CLEAN_2023_24,C3_blowout_adj__W,3167,132506.76970090868,0.2294384480422601,0.2240051009732581,0.00031060811333796784,0.00041054213551251897,0.11699005060963123,0.1427715111817576,0.0,0.00041054213551251897,0.022694203138813367
R1_min,RAW,DECISION_CLEAN_2023_24,C3_blowout_adj__B,3167,132506.76970090868,0.2294384480422601,0.14629968589628833,0.0005415602842854091,0.00046443252304811787,0.15218966972722356,0.3353685154063411,0.0,0.00046443252304811787,0.023381720159881
R1_min,RAW,DECISION_CLEAN_2023_24,C4_min_volatility__W,3167,132506.76970090868,0.2294384480422601,-0.38244182066327376,0.0002724534651824431,0.00047390504523808503,-0.11557060193985513,-0.0767506805131638,0.0,0.00047390504523808503,0.0203984695850361
R1_min,RAW,DECISION_CLEAN_2023_24,C4_min_volatility__B,3167,132506.76970090868,0.2294384480422601,-0.11646208493898053,8.375745996569558e-05,0.00014164829471349978,-0.05961296763549498,-0.0733884459657776,0.0,0.00014164829471349978,0.02356904653327819
R1_min,RAW,DECISION_CLEAN_2023_24,C5_starter_delta__W,3167,132506.76970090868,0.2294384480422601,-0.2909413440828642,0.0004549312035598696,0.0002450995489484123,0.14422551705065695,0.5255907961095513,0.0,0.0002450995489484123,0.02187064124908809
