what,arm_a,arm_b,meaning,n,n_blocks,r2_a,r2_b,dR2,null_sd,z,p,MDE80_analytic
BASE_ONLY,A1_GLOBAL,A0_RAW,"FULLY PRE-GAME: one scalar, no game-specific information",3167,764,0.15905587471089766,0.2294384480422601,-0.07038257333136257,0.010492878936928395,-6.664157593282582,0.0004997501249375312,0.029380061023399504
BASE_ONLY,A2_PROJ200,A0_RAW,budget free (200 = rulebook) but ROSTER IS ORACLE,3167,764,0.22308138073722905,0.2294384480422601,-0.0063570673050311124,0.016433721095936736,-0.3421786798204372,0.7041479260369815,0.04601441906862286
BASE_ONLY,A2_PROJ200,A1_GLOBAL,"the team-game-specific part, over and above a scalar",3167,764,0.22308138073722905,0.15905587471089766,0.06402550602633145,0.013550158604452182,4.745548132008821,0.0004997501249375312,0.03794044409246611
BASE_ONLY,A3_PROJT,A2_PROJ200,ORACLE TOTAL over the rulebook 200 -- the overtime part,3167,764,0.25770160232373873,0.22308138073722905,0.03462022158650968,0.009220433574661508,3.7503590697746305,0.0004997501249375312,0.02581721400905222
BASE_ONLY,A3_PROJT,A0_RAW,"the whole projection gain, both oracles included",3167,764,0.25770160232373873,0.2294384480422601,0.028263154281478586,0.017524761103997706,1.6523288119594335,0.10444777611194403,0.049069331091193574
BASE_ONLY_REGULATION_GAMES_ONLY,A1_GLOBAL,A0_RAW,"FULLY PRE-GAME: one scalar, no game-specific information",3054,737,0.17908172790847932,0.2335450424394262,-0.05446331453094695,0.010200127060321808,-5.377459027166099,0.0004997501249375312,0.02856035576890106
BASE_ONLY_REGULATION_GAMES_ONLY,A2_PROJ200,A0_RAW,budget free (200 = rulebook) but ROSTER IS ORACLE,3054,737,0.23344806820541253,0.2335450424394262,-9.697423401365769e-05,0.017396533485570544,-0.07135630595335374,0.9950024987506247,0.04871029375959752
BASE_ONLY_REGULATION_GAMES_ONLY,A2_PROJ200,A1_GLOBAL,"the team-game-specific part, over and above a scalar",3054,737,0.23344806820541253,0.17908172790847932,0.054366340296933297,0.014832628230237344,3.614289533904589,0.0009995002498750624,0.04153135904466456
BASE_ONLY_REGULATION_GAMES_ONLY,A3_PROJT,A2_PROJ200,ORACLE TOTAL over the rulebook 200 -- the overtime part,3054,737,0.2334838021632104,0.23344806820541253,3.5733957797791686e-05,7.896589844243103e-06,4.545291587366332,0.0004997501249375312,2.211045156388069e-05
BASE_ONLY_REGULATION_GAMES_ONLY,A3_PROJT,A0_RAW,"the whole projection gain, both oracles included",3054,737,0.2334838021632104,0.2335450424394262,-6.12402762158668e-05,0.017395171489193954,-0.0692985443279509,0.9970014992503748,0.04870648016974307
C1_player_rest,A0_RAW|FROZEN,A0_RAW|BASE,candidate over base within the same projection arm,3167,764,0.23608235812330236,0.2294384480422601,0.00664391008104226,0.0023554415983648787,2.8627664814881726,0.001999000499750125,0.00659523647542166
C1_player_rest,A1_GLOBAL|FROZEN,A1_GLOBAL|BASE,candidate over base within the same projection arm,3167,764,0.16667429261293676,0.15905587471089766,0.00761841790203913,0.0020932584907833764,3.6866308890206043,0.0004997501249375312,0.0058611237741934535
C1_player_rest,A2_PROJ200|FROZEN,A2_PROJ200|BASE,candidate over base within the same projection arm,3167,764,0.2262014667863732,0.22308138073722905,0.0031200860491441477,0.0013290397222728736,2.3318818863494695,0.017991004497751123,0.0037213112223640457
C1_player_rest,A3_PROJT|FROZEN,A3_PROJT|BASE,candidate over base within the same projection arm,3167,764,0.26080300449316307,0.25770160232373873,0.0031014021694244017,0.0013268016040536732,2.324371387376427,0.01899050474762619,0.003715044491350285
C1_player_rest,A0_RAW|UNFROZEN,A0_RAW|BASE,candidate over base within the same projection arm,3167,764,0.2360990778986196,0.2294384480422601,0.006660629856359447,0.0023559745007868476,2.86935481407953,0.0014992503748125937,0.006596728602203173
C1_player_rest,A1_GLOBAL|UNFROZEN,A1_GLOBAL|BASE,candidate over base within the same projection arm,3167,764,0.166642749725748,0.15905587471089766,0.007586875014850431,0.00209366924756272,3.670981266719897,0.0004997501249375312,0.005862273893175616
C1_player_rest,A2_PROJ200|UNFROZEN,A2_PROJ200|BASE,candidate over base within the same projection arm,3167,764,0.22597218580980694,0.22308138073722905,0.002890805072577796,0.0013083289310846687,2.1942786019045224,0.02448775612193903,0.003663321007037072
C1_player_rest,A3_PROJT|UNFROZEN,A3_PROJT|BASE,candidate over base within the same projection arm,3167,764,0.26060116667734734,0.25770160232373873,0.0028995643536086314,0.001305386978184615,2.209007988669777,0.026986506746626688,0.003655083538916922
