threshold_days,n_rows,pct_of_decision_stratum,n_team_game_blocks,n_players,n_dates,n_rows_2023,n_rows_2024,mean_minutes,mean_minutes_rest_of_stratum
4,648,20.46100410483107,191,100,88,345,303,29.471167695473248,29.953149397909225
6,223,7.041364066940322,84,87,54,111,112,27.824887892376683,30.008271059782604
8,120,3.789074834227976,54,77,37,51,69,26.00722222222222,30.006049666338477
12,76,2.3997473950110515,32,67,21,10,66,25.626754385964915,29.95848161328588
