rest_lo,rest_hi,n,mean_base_residual_minutes,se
0,2,107,0.29360481414574213,0.47943358040507356
2,3,1620,-0.031345462028831324,0.14313788905780586
3,4,792,0.43583257412559834,0.18791736160281747
4,6,425,0.36656814090108175,0.27190247680552193
6,8,103,0.2865315770400243,0.527587123008987
8,12,44,-2.1549824688610575,0.9341192285022214
12,22,76,-4.149522285524076,0.8378069934145399
