variant,arm,n,dR2,beta,r2_base,z_TGSWAP,p_TGSWAP,null_sd_TGSWAP,z_PSWAP,p_PSWAP,MDE80_analytic
V0_published_clip21,FROZEN,3167,0.006643910081042302,-0.08941191218652936,0.2294384480422601,4.733559940441049,0.0004997501249375312,0.0009188545302713764,11.869010512948597,0.0016638935108153079,0.002572792684759854
V0_published_clip21,UNFROZEN,3167,0.006660629856359446,-0.08942664932507127,0.2294384480422601,4.677105969371192,0.0004997501249375312,0.0009258150551005761,11.764312139741747,0.0016638935108153079,0.002592282154281613
V1_clip_at_7,FROZEN,3167,0.0015724924277004087,-0.0968446940900794,0.2294384480422601,2.904631098851841,0.009495252373813094,0.0003961103780510087,3.1984546404855747,0.0016638935108153079,0.0011091090585428243
V1_clip_at_7,UNFROZEN,3167,0.001586137879467519,-0.09685296726340864,0.2294384480422601,2.8475096658787544,0.009995002498750625,0.0004017288184339635,3.210840213515755,0.0016638935108153079,0.0011248406916150979
V2_clip_at_4,FROZEN,3167,5.3450834588256053e-05,-0.015096885449614066,0.2294384480422601,0.9781328366104124,0.11294352823588207,9.181818701536957e-05,0.21992046745875804,0.36772046589018303,0.0002570909236430348
V2_clip_at_4,UNFROZEN,3167,5.4037213937369676e-05,-0.015097238882019708,0.2294384480422601,0.9523139303461544,0.11744127936031984,9.331405812499255e-05,0.23131491712078653,0.3610648918469218,0.00026127936274997915
V3_log1p,FROZEN,3167,0.003401242683599311,-0.47250459802688494,0.2294384480422601,3.7511328516997833,0.0014992503748125937,0.0006157174832969226,6.809050217700997,0.0016638935108153079,0.0017240089532313831
V3_log1p,UNFROZEN,3167,0.0034155112623157984,-0.4725474238232763,0.2294384480422601,3.689812006026439,0.0014992503748125937,0.0006220124883355169,6.765112738989357,0.0016638935108153079,0.0017416349673394472
V4_binary_rest_ge_4,FROZEN,3167,0.000298522567269491,-0.0724337496906531,0.2294384480422601,1.086221934025535,0.12493753123438281,0.00023943912383673474,0.885914617465699,0.13643926788685523,0.0006704295467428572
V4_binary_rest_ge_4,UNFROZEN,3167,0.000299672607591557,-0.07243636332827852,0.2294384480422601,1.0600971181087389,0.13243378310844578,0.00024990342297776056,0.8956368245317153,0.13477537437603992,0.0006997295843377295
V5_binary_rest_ge_8,FROZEN,3167,0.007106960537681414,-1.3487859090074352,0.2294384480422601,3.9404437310275013,0.0014992503748125937,0.0010795406990967873,14.367240422934026,0.0016638935108153079,0.003022713957471004
V5_binary_rest_ge_8,UNFROZEN,3167,0.007123416621383326,-1.3491427345700422,0.2294384480422601,3.873802806390122,0.0014992503748125937,0.0010905658540888805,14.116253274593454,0.0016638935108153079,0.0030535843914488653
V6_drop_rows_rest_gt_7,FROZEN,3047,-0.0004080909652020103,-0.08941191218652936,0.22981783816999057,-2.0499153954591702,0.9920039980009995,0.0006057920636188747,-0.5568016640155199,0.7953410981697171,0.001696217778132849
V6_drop_rows_rest_gt_7,UNFROZEN,3047,-0.0003911902430414082,-0.08942664932507127,0.22981783816999057,-2.065394767823902,0.9930034982508745,0.000609082384852544,-0.5097332810436698,0.7770382695507487,0.001705430677587123
V7_drop_rows_rest_gt_4,FROZEN,2807,-0.00021396904373707678,-0.08941191218652936,0.22139825600585472,-2.0923107805048944,0.9975012493753124,0.0006601115365761808,-0.2676157928990883,0.6955074875207987,0.0018483123024133062
V7_drop_rows_rest_gt_4,UNFROZEN,2807,-0.0001852151793396089,-0.08942664932507127,0.22139825600585472,-2.0770234888429107,0.9980009995002499,0.0006642130621731025,-0.20281097554398722,0.6522462562396006,0.0018597965740846868
