anchor,what,reproduced,recorded,abs_diff,tol,PASS,source
A1a,D104 regular-season game count 2021-2024,888.0,888.0,0.0,0.0,True,master_team
A1b,D104 home advantage on those 888 games,0.9650900900900901,0.96509,9.009009005467306e-08,5e-07,True,master_team
A2a,E1_I0046 ALL_APPEARED rows,16717.0,16717.0,0.0,0.0,True,E1_I0046/DECISION_STRATUM.csv
A2b,E1_I0046 ALL_APPEARED team-games,1776.0,1776.0,0.0,0.0,True,same
A2c,E1_I0046 ALL_APPEARED players,265.0,265.0,0.0,0.0,True,same
A2d,E1_I0033 realised roster size (2 dp),9.41,9.41,0.0,0.011,True,E1_I0033 WHICH_LEVEL_WINS.md 2(b)
A3a,E1_I0043 DECISION stratum rows,5673.0,5673.0,0.0,0.0,True,E1_I0043/DECISION_STRATUM.csv
A3b,E1_I0043 DECISION distinct players,149.0,149.0,0.0,0.0,True,same
A3c,E1_I0043 DECISION distinct games,708.0,708.0,0.0,0.0,True,same
A3d,E1_I0043 DECISION rows in 2023-24,3167.0,3167.0,0.0,0.0,True,same
A3e,E1_I0046 DECISION_CLEAN team-game blocks,764.0,764.0,0.0,0.0,True,E1_I0046/DECISION_STRATUM.csv
A3f,E1_I0046 DECISION_TRAIN_le2022 rows,2506.0,2506.0,0.0,0.0,True,same
A4a,"closure: nonzero points diffs over 1,776 team-games",0.0,0.0,0.0,0.0,True,master_team identity
A4b,closure: nonzero attempts diffs,0.0,0.0,0.0,0.0,True,same
A4c,closure: team-games matched,1776.0,1776.0,0.0,0.0,True,same
A5h2023,"E1_I0046 R2_s_min selected halflife, eval 2023",3.0,3.0,0.0,0.0,True,E1_I0046/REFERENCE_TUNING.csv
A5k2023,"E1_I0046 R2_s_min selected shrinkage k, eval 2023",1.0,1.0,0.0,0.0,True,same
A5n2023,"E1_I0046 R2_s_min n_train_rows, eval 2023",2506.0,2506.0,0.0,0.0,True,same
A5e2023,"E1_I0046 R2_s_min n_eval_rows, eval 2023",1596.0,1596.0,0.0,0.0,True,same
A5s2023,"E1_I0046 R2_s_min train_sse, eval 2023",1.8240008842569635,1.8240008842569635,0.0,5e-13,True,same
A5T2023,"E1_I0046 R2_s_min TUNED eval R2, eval 2023 (RECOMPUTED)",0.27683141342060724,0.27683141342060724,0.0,5e-13,True,same
A5N2023,"E1_I0046 R2_s_min NAIVE eval R2, eval 2023 (RECOMPUTED)",0.2395715216025346,0.2395715216025346,0.0,5e-13,True,same
A5U2023,"E1_I0046 R2_s_min UNIFORM eval R2, eval 2023 (RECOMPUTED)",-1.624584531848702,-1.624584531848702,0.0,5e-13,True,same
A5h2024,"E1_I0046 R2_s_min selected halflife, eval 2024",3.0,3.0,0.0,0.0,True,E1_I0046/REFERENCE_TUNING.csv
A5k2024,"E1_I0046 R2_s_min selected shrinkage k, eval 2024",1.0,1.0,0.0,0.0,True,same
A5n2024,"E1_I0046 R2_s_min n_train_rows, eval 2024",4102.0,4102.0,0.0,0.0,True,same
A5e2024,"E1_I0046 R2_s_min n_eval_rows, eval 2024",1571.0,1571.0,0.0,0.0,True,same
A5s2024,"E1_I0046 R2_s_min train_sse, eval 2024",2.9584976799082074,2.9584976799082074,0.0,5e-13,True,same
A5T2024,"E1_I0046 R2_s_min TUNED eval R2, eval 2024 (RECOMPUTED)",0.24552519662119843,0.24552519662119843,0.0,5e-13,True,same
A5N2024,"E1_I0046 R2_s_min NAIVE eval R2, eval 2024 (RECOMPUTED)",0.2059808964669676,0.2059808964669676,0.0,5e-13,True,same
A5U2024,"E1_I0046 R2_s_min UNIFORM eval R2, eval 2024 (RECOMPUTED)",-1.5766055352658155,-1.5766055352658155,0.0,5e-13,True,same
A5h2022,"E1_I0046 R2_s_min selected halflife, eval 2022",3.0,3.0,0.0,0.0,True,E1_I0046/REFERENCE_TUNING.csv
A5k2022,"E1_I0046 R2_s_min selected shrinkage k, eval 2022",1.0,1.0,0.0,0.0,True,same
A5n2022,"E1_I0046 R2_s_min n_train_rows, eval 2022",1156.0,1156.0,0.0,0.0,True,same
A5e2022,"E1_I0046 R2_s_min n_eval_rows, eval 2022",1350.0,1350.0,0.0,0.0,True,same
A5s2022,"E1_I0046 R2_s_min train_sse, eval 2022",0.8920187366889516,0.8920187366889516,0.0,5e-13,True,same
A5T2022,"E1_I0046 R2_s_min TUNED eval R2, eval 2022 (RECOMPUTED)",0.24205304356194202,0.24205304356194202,0.0,5e-13,True,same
A5N2022,"E1_I0046 R2_s_min NAIVE eval R2, eval 2022 (RECOMPUTED)",0.22352759131871003,0.22352759131871003,0.0,5e-13,True,same
A5U2022,"E1_I0046 R2_s_min UNIFORM eval R2, eval 2022 (RECOMPUTED)",-1.3281374452306154,-1.3281374452306154,0.0,5e-13,True,same
