scope,n_rows,n_pos,n_dates,auc_microsignal,auc_micro_ci_low,auc_micro_ci_high,auc_incumbent,auc_inc_ci_low,auc_inc_ci_high,delta_auc,delta_ci_low,delta_ci_high,n_boot,n_degenerate_reps,seed
2024,3697,156,86,0.4863114504811765,0.4525692703301075,0.5197151990101432,0.47196123795248335,0.4316401981008295,0.5142793204117488,0.014350212528693174,-0.026934591568086655,0.056741645856949734,2000,0,20260730
2025,4438,189,102,0.5044585654140844,0.4688822592926515,0.5428867478722686,0.47284764171090365,0.43795251293407156,0.5072103296402531,0.03161092370318075,-0.01031570338602511,0.07261788825687122,2000,0,20260730
2026,2607,141,57,0.5215857649853612,0.4877725508594031,0.5551822430573313,0.4913849631585305,0.4557602401066576,0.5268341066148765,0.03020080182683077,-0.008206672572195007,0.0668263421848118,2000,0,20260730
pooled_test,10742,486,245,0.5029385589003807,0.4830277618335991,0.5235019629204516,0.4750947753959541,0.45297864991347364,0.4960822011214264,0.027843783504426622,0.003627086839487848,0.0520185825190628,2000,0,20260730
train_2021_2023,9660,361,247,0.47373068143329383,0.45030565262882144,0.4982024857261556,0.46166522537347265,0.4363773479004719,0.48783069600511103,0.012065456059821178,-0.015999259947593485,0.04029638964635559,2000,0,20260730
