season,master_injury_dnps,also_in_espn_ground_truth,espn_capture_rate
2021,308,308,1.0
2022,292,284,0.9726
2023,396,380,0.9596
2024,345,324,0.9391
2025,538,513,0.9535
2026,368,353,0.9592
