season,played_rows,eligible_rows,positives,positive_rate,excl_insufficient_history,excl_season_end_truncation,excl_window_roster_departure,excl_window_espn_coverage_gap
2021,3885.0,2712.0,101.0,0.03724188790560472,740.0,318.0,115.0,0.0
2022,4519.0,3265.0,117.0,0.035834609494640124,793.0,335.0,126.0,0.0
2023,4898.0,3683.0,143.0,0.03882704317132772,763.0,323.0,129.0,0.0
2024,4914.0,3697.0,156.0,0.042196375439545575,765.0,326.0,126.0,0.0
2025,5853.0,4438.0,189.0,0.04258675078864353,882.0,359.0,174.0,0.0
2026,4143.0,2607.0,141.0,0.05408515535097814,1027.0,413.0,96.0,0.0
