game_id,game_date,season,team_i,player_id,player_name,label,absence_game_id,absence_date,d_ft,d_stint,d_rim,d_min,days_rest,games_last7,score_micro,score_incumbent
1022100031,2021-05-28,2021,SEA,100720,Sue Bird,0,,,0.0,0.0,0.0,0.0,3.0,2.0,0.05188409600993727,0.17838206984334692
1022100041,2021-06-01,2021,SEA,100720,Sue Bird,0,,,0.0,15.611666666666622,0.017784552845528448,0.4122222222222227,4.0,2.0,-0.7375475899551373,-0.3718401898099407
1022100046,2021-06-04,2021,SEA,100720,Sue Bird,0,,,0.0,19.07714285714286,0.01778656126482213,0.9390476190476171,3.0,2.0,-0.9994786581234156,-0.12534080822759291
1022100051,2021-06-06,2021,SEA,100720,Sue Bird,0,,,0.0,-1.02374999999995,0.020517395182872433,0.653333333333336,2.0,2.0,-0.41373388464374306,0.38396408600606163
1022100053,2021-06-09,2021,SEA,100720,Sue Bird,0,,,0.04166666666666663,-2.2848148148148084,-0.0037619699042407695,0.1592592592592652,3.0,2.0,-0.3015577387762266,0.1268717101975522
1022100057,2021-06-11,2021,SEA,100720,Sue Bird,0,,,,-2.814999999999941,-0.021585720215857196,-1.8000000000000007,2.0,3.0,1.017473797172763,2.3510551204014343
1022100061,2021-06-13,2021,SEA,100720,Sue Bird,0,,,,2.6300000000000523,-0.043771043771043766,0.003030303030303827,2.0,3.0,0.5947369244534615,1.7678881523185155
1022100065,2021-06-15,2021,SEA,100720,Sue Bird,0,,,,-6.686666666666611,-0.003174603174603177,-0.4536111111111083,2.0,3.0,0.4317790990431635,1.9155829462098792
1022100069,2021-06-17,2021,SEA,100720,Sue Bird,0,,,,4.986410256410238,0.012479652740097658,-1.757948717948711,2.0,3.0,0.3307592407203819,2.337454173918929
1022100081,2021-06-22,2021,SEA,100720,Sue Bird,0,,,,25.072619047619014,0.04542403222197358,-1.4533333333333331,5.0,2.0,-0.7498967900394244,-0.18534451499433108
1022100091,2021-06-27,2021,SEA,100720,Sue Bird,0,,,,21.436666666666667,0.03163841807909604,0.011111111111112848,5.0,1.0,-0.9385112228632282,-1.832592153449548
1022100101,2021-07-02,2021,SEA,100720,Sue Bird,0,,,,22.797500000000014,0.03197674418604651,1.1570833333333326,5.0,1.0,-1.3497342743873237,-2.2032421337728927
1022100105,2021-07-04,2021,SEA,100720,Sue Bird,0,,,,32.43058823529418,-0.0066750104297037954,1.9033333333333289,2.0,2.0,-1.3154679073156768,-0.02033234144637952
