season,d_ft,d_stint,d_rim,d_min
2021,0.6103,1.0,0.906,1.0
2022,0.6303,0.9479,0.8928,1.0
2023,0.6074,0.9658,0.8794,1.0
2024,0.5929,0.9527,0.8767,1.0
2025,0.616,1.0,0.8982,1.0
2026,0.6621,1.0,0.8937,1.0
