run,protocol,null,planted_along,delta,benchmark,achieved_dr2_med,power,nrep
R1,ORIGINAL,N_CYCLIC,FULL,0.0,TYPE-I CHECK,2.601925978910367e-05,0.06666666666666667,60
R1,ORIGINAL,N_CYCLIC,FULL,0.000129,"D084 opp conversion, DEAD",0.000129,0.11666666666666667,60
R1,ORIGINAL,N_CYCLIC,FULL,0.0005,(intermediate),0.0005,0.35,60
R1,ORIGINAL,N_CYCLIC,FULL,0.001127,"D079 shot mix, DEAD",0.0011269999999999997,0.65,60
R1,ORIGINAL,N_CYCLIC,FULL,0.002057,"D089 largest measured, ALIVE",0.002057,0.9333333333333333,60
R3,AMENDED,N_CYCLIC,FULL,0.0,TYPE-I CHECK,2.423862171612589e-05,0.11666666666666667,60
R3,AMENDED,N_CYCLIC,FULL,0.000129,"D084 opp conversion, DEAD",0.000129,0.13333333333333333,60
R3,AMENDED,N_CYCLIC,FULL,0.0005,(intermediate),0.0005,0.38333333333333336,60
R3,AMENDED,N_CYCLIC,FULL,0.001127,"D079 shot mix, DEAD",0.001127,0.7,60
R3,AMENDED,N_CYCLIC,FULL,0.002057,"D089 largest measured, ALIVE",0.002057,0.8,60
R3,AMENDED,N_CYCLIC,BETWEEN,0.0,TYPE-I CHECK,3.491714211756068e-05,0.0,60
R3,AMENDED,N_CYCLIC,BETWEEN,0.000129,"D084 opp conversion, DEAD",0.000129,0.0,60
R3,AMENDED,N_CYCLIC,BETWEEN,0.0005,(intermediate),0.0005,0.0,60
R3,AMENDED,N_CYCLIC,BETWEEN,0.001127,"D079 shot mix, DEAD",0.001127,0.0,60
R3,AMENDED,N_CYCLIC,BETWEEN,0.002057,"D089 largest measured, ALIVE",0.002057,0.0,60
R3,AMENDED,N_CYCLIC,WITHIN,0.0,TYPE-I CHECK,2.974793461670589e-05,0.15,60
R3,AMENDED,N_CYCLIC,WITHIN,0.000129,"D084 opp conversion, DEAD",0.00012899999999999996,0.6,60
R3,AMENDED,N_CYCLIC,WITHIN,0.0005,(intermediate),0.0004999999999999999,0.9833333333333333,60
R3,AMENDED,N_CYCLIC,WITHIN,0.001127,"D079 shot mix, DEAD",0.001127,1.0,60
R3,AMENDED,N_CYCLIC,WITHIN,0.002057,"D089 largest measured, ALIVE",0.002057,1.0,60
R4,AMENDED,N_PSWAP,FULL,0.0,TYPE-I CHECK,2.423862171612589e-05,0.06666666666666667,60
R4,AMENDED,N_PSWAP,FULL,0.000129,"D084 opp conversion, DEAD",0.000129,0.016666666666666666,60
R4,AMENDED,N_PSWAP,FULL,0.0005,(intermediate),0.0005,1.0,60
R4,AMENDED,N_PSWAP,FULL,0.001127,"D079 shot mix, DEAD",0.001127,1.0,60
R4,AMENDED,N_PSWAP,FULL,0.002057,"D089 largest measured, ALIVE",0.002057,1.0,60
R4,AMENDED,N_PSWAP,BETWEEN,0.0,TYPE-I CHECK,3.491714211756068e-05,0.08333333333333333,60
R4,AMENDED,N_PSWAP,BETWEEN,0.000129,"D084 opp conversion, DEAD",0.000129,0.03333333333333333,60
R4,AMENDED,N_PSWAP,BETWEEN,0.0005,(intermediate),0.0005,1.0,60
R4,AMENDED,N_PSWAP,BETWEEN,0.001127,"D079 shot mix, DEAD",0.001127,1.0,60
R4,AMENDED,N_PSWAP,BETWEEN,0.002057,"D089 largest measured, ALIVE",0.002057,1.0,60
R4,AMENDED,N_PSWAP,WITHIN,0.0,TYPE-I CHECK,2.974793461670589e-05,0.08333333333333333,60
R4,AMENDED,N_PSWAP,WITHIN,0.000129,"D084 opp conversion, DEAD",0.00012899999999999996,0.03333333333333333,60
R4,AMENDED,N_PSWAP,WITHIN,0.0005,(intermediate),0.0004999999999999999,1.0,60
R4,AMENDED,N_PSWAP,WITHIN,0.001127,"D079 shot mix, DEAD",0.001127,1.0,60
R4,AMENDED,N_PSWAP,WITHIN,0.002057,"D089 largest measured, ALIVE",0.002057,1.0,60
R5,AMENDED,N_CYCLIC,FULL,0.0,TYPE-I CHECK,2.689055709288831e-05,0.08333333333333333,60
R5,AMENDED,N_CYCLIC,FULL,0.000129,"D084 opp conversion, DEAD",0.00012899999999999996,0.05,60
R5,AMENDED,N_CYCLIC,FULL,0.0005,(intermediate),0.0004999999999999999,1.0,60
R5,AMENDED,N_CYCLIC,FULL,0.001127,"D079 shot mix, DEAD",0.0011269999999999997,1.0,60
R5,AMENDED,N_CYCLIC,FULL,0.002057,"D089 largest measured, ALIVE",0.002057,1.0,60
R5,AMENDED,N_CYCLIC,BETWEEN,0.0,TYPE-I CHECK,2.5955906485325677e-05,0.016666666666666666,60
R5,AMENDED,N_CYCLIC,BETWEEN,0.000129,"D084 opp conversion, DEAD",0.000129,0.016666666666666666,60
R5,AMENDED,N_CYCLIC,BETWEEN,0.0005,(intermediate),0.0005,1.0,60
R5,AMENDED,N_CYCLIC,BETWEEN,0.001127,"D079 shot mix, DEAD",0.0011269999999999997,1.0,60
R5,AMENDED,N_CYCLIC,BETWEEN,0.002057,"D089 largest measured, ALIVE",0.002057,1.0,60
R5,AMENDED,N_CYCLIC,WITHIN,0.0,TYPE-I CHECK,1.5595981866846626e-05,0.1,60
R5,AMENDED,N_CYCLIC,WITHIN,0.000129,"D084 opp conversion, DEAD",0.00012900000000000002,0.0,60
R5,AMENDED,N_CYCLIC,WITHIN,0.0005,(intermediate),0.0005,1.0,60
R5,AMENDED,N_CYCLIC,WITHIN,0.001127,"D079 shot mix, DEAD",0.001127,1.0,60
R5,AMENDED,N_CYCLIC,WITHIN,0.002057,"D089 largest measured, ALIVE",0.002057,1.0,60
