cell,delta,benchmark,achieved_dr2_med,power,nrep,planted_along
E0_I0016__B03_pl_fouls_drawn_per36_y_ts_nan,0.001127,"D079 shot mix, DEAD",0.0011269999999999997,1.0,60,BETWEEN
E0_I0016__B03_pl_fouls_drawn_per36_y_ts_nan,0.002057,"D089 largest measured, ALIVE",0.002057,1.0,60,BETWEEN
E0_I0016__B03_pl_fouls_drawn_per36_y_ts_nan,0.0,TYPE-I CHECK,1.495535125999015e-05,0.03333333333333333,60,WITHIN
E0_I0016__B03_pl_fouls_drawn_per36_y_ts_nan,0.000129,"D084 opp conversion, DEAD",0.000129,0.03333333333333333,60,WITHIN
E0_I0016__B03_pl_fouls_drawn_per36_y_ts_nan,0.0005,(intermediate),0.0004999999999999999,1.0,60,WITHIN
E0_I0016__B03_pl_fouls_drawn_per36_y_ts_nan,0.001127,"D079 shot mix, DEAD",0.0011269999999999997,1.0,60,WITHIN
E0_I0016__B03_pl_fouls_drawn_per36_y_ts_nan,0.002057,"D089 largest measured, ALIVE",0.0020569999999999994,1.0,60,WITHIN
E0_I0016__E02_pl_paintpts_share_y_ts_nan,0.0,TYPE-I CHECK,3.397424991535921e-05,0.03333333333333333,60,FULL
E0_I0016__E02_pl_paintpts_share_y_ts_nan,0.000129,"D084 opp conversion, DEAD",0.00012900000000000002,0.0,60,FULL
E0_I0016__E02_pl_paintpts_share_y_ts_nan,0.0005,(intermediate),0.0005,1.0,60,FULL
E0_I0016__E02_pl_paintpts_share_y_ts_nan,0.001127,"D079 shot mix, DEAD",0.001127,1.0,60,FULL
E0_I0016__E02_pl_paintpts_share_y_ts_nan,0.002057,"D089 largest measured, ALIVE",0.002057,1.0,60,FULL
E0_I0016__E02_pl_paintpts_share_y_ts_nan,0.0,TYPE-I CHECK,4.537312530344264e-05,0.03333333333333333,60,BETWEEN
E0_I0016__E02_pl_paintpts_share_y_ts_nan,0.000129,"D084 opp conversion, DEAD",0.000129,0.0,60,BETWEEN
E0_I0016__E02_pl_paintpts_share_y_ts_nan,0.0005,(intermediate),0.0005,1.0,60,BETWEEN
E0_I0016__E02_pl_paintpts_share_y_ts_nan,0.001127,"D079 shot mix, DEAD",0.0011269999999999997,1.0,60,BETWEEN
E0_I0016__E02_pl_paintpts_share_y_ts_nan,0.002057,"D089 largest measured, ALIVE",0.0020569999999999994,1.0,60,BETWEEN
E0_I0016__E02_pl_paintpts_share_y_ts_nan,0.0,TYPE-I CHECK,1.5030397659978622e-05,0.05,60,WITHIN
E0_I0016__E02_pl_paintpts_share_y_ts_nan,0.000129,"D084 opp conversion, DEAD",0.000129,0.05,60,WITHIN
E0_I0016__E02_pl_paintpts_share_y_ts_nan,0.0005,(intermediate),0.0005,1.0,60,WITHIN
E0_I0016__E02_pl_paintpts_share_y_ts_nan,0.001127,"D079 shot mix, DEAD",0.0011269999999999997,1.0,60,WITHIN
E0_I0016__E02_pl_paintpts_share_y_ts_nan,0.002057,"D089 largest measured, ALIVE",0.0020569999999999994,1.0,60,WITHIN
