delta,power,nrep,achieved_dr2_med,planted_along,null
0.0,0.04,250,2.104858557857351e-05,FULL,N_CYCLIC
0.000129,0.12,250,0.000129,FULL,N_CYCLIC
0.0005,0.38,250,0.0004999999999999999,FULL,N_CYCLIC
0.001127,0.736,250,0.001127,FULL,N_CYCLIC
0.002057,0.908,250,0.0020569999999999994,FULL,N_CYCLIC
0.0,0.0,250,3.0971271131380855e-05,BETWEEN,N_CYCLIC
0.000129,0.0,250,0.000129,BETWEEN,N_CYCLIC
0.0005,0.0,250,0.0005,BETWEEN,N_CYCLIC
0.001127,0.0,250,0.0011269999999999997,BETWEEN,N_CYCLIC
0.002057,0.012,250,0.002057,BETWEEN,N_CYCLIC
0.0,0.156,250,2.2286163968538664e-05,WITHIN,N_CYCLIC
0.000129,0.66,250,0.000129,WITHIN,N_CYCLIC
0.0005,0.988,250,0.0004999999999999999,WITHIN,N_CYCLIC
0.001127,1.0,250,0.0011269999999999997,WITHIN,N_CYCLIC
0.002057,1.0,250,0.0020569999999999994,WITHIN,N_CYCLIC
0.0,0.044,250,2.104858557857351e-05,FULL,N_PSWAP
0.000129,0.024,250,0.000129,FULL,N_PSWAP
0.0005,1.0,250,0.0004999999999999999,FULL,N_PSWAP
0.001127,1.0,250,0.001127,FULL,N_PSWAP
0.002057,1.0,250,0.0020569999999999994,FULL,N_PSWAP
0.0,0.072,250,3.0971271131380855e-05,BETWEEN,N_PSWAP
0.000129,0.02,250,0.000129,BETWEEN,N_PSWAP
0.0005,1.0,250,0.0005,BETWEEN,N_PSWAP
0.001127,1.0,250,0.0011269999999999997,BETWEEN,N_PSWAP
0.002057,1.0,250,0.002057,BETWEEN,N_PSWAP
0.0,0.048,250,2.2286163968538664e-05,WITHIN,N_PSWAP
0.000129,0.024,250,0.000129,WITHIN,N_PSWAP
0.0005,1.0,250,0.0004999999999999999,WITHIN,N_PSWAP
0.001127,1.0,250,0.0011269999999999997,WITHIN,N_PSWAP
0.002057,1.0,250,0.0020569999999999994,WITHIN,N_PSWAP
