screen,path,bytes,in_census,mentions_within_scheme,mentions_between_scheme,mentions_null_mean,mentions_var_share
E0_I0012_layer3_noncollinear,E0_I0012_layer3_noncollinear/FINDINGS.json,106577,False,False,False,False,False
E0_I0013_possession_volume,E0_I0013_possession_volume/FINDINGS.json,158886,False,False,False,False,False
E0_I0014_residual_heterogeneity,E0_I0014_residual_heterogeneity/FINDINGS.json,629246,True,True,True,False,True
E0_I0015_points_skill_decomposition,E0_I0015_points_skill_decomposition/FINDINGS.json,105765,False,False,True,False,True
E0_I0016_efficiency_predictors,E0_I0016_efficiency_predictors/FINDINGS.json,239225,True,True,True,True,True
E0_I0017_shot_quality_efficiency,E0_I0017_shot_quality_efficiency/FINDINGS.json,95782,True,True,True,False,True
E0_I0019_availability_forecast,E0_I0019_availability_forecast/FINDINGS.json,65254,True,True,True,False,True
E0_I0024_reb_ast_characterisation,E0_I0024_reb_ast_characterisation/FINDINGS.json,33949,True,True,True,False,False
E0_I0028_degeneracy_sweep,E0_I0028_degeneracy_sweep/FINDINGS.json,22881,False,False,False,False,False
E0_I0029_freethrow_hurdle,E0_I0029_freethrow_hurdle/FINDINGS.json,126532,True,True,True,False,False
E1_I0004_efficiency_transfer,E1_I0004_efficiency_transfer/FINDINGS.json,33672,False,False,True,False,True
E1_I0004_efficiency_transfer_v2,E1_I0004_efficiency_transfer_v2/FINDINGS.json,128821,False,True,False,True,True
E1_I0004_fga_forecast,E1_I0004_fga_forecast/FINDINGS.json,75802,False,False,False,True,False
E1_I0004_rim_finishing,E1_I0004_rim_finishing/FINDINGS.json,56656,False,False,False,False,False
E1_I0004_shot_selection,E1_I0004_shot_selection/FINDINGS.json,69703,False,False,False,True,False
E1_I0008_height_mismatch,E1_I0008_height_mismatch/FINDINGS.json,24786,False,False,False,True,False
E1_I0009_additive_pressure,E1_I0009_additive_pressure/FINDINGS.json,34147,False,False,False,False,False
E1_I0009_r2_rerun,E1_I0009_r2_rerun/FINDINGS.json,52955,False,False,False,False,False
E1_I0011_split_alpha,E1_I0011_split_alpha/FINDINGS.json,106636,False,False,False,False,False
E1_I0012_survivor_2021drop,E1_I0012_survivor_2021drop/FINDINGS.json,15560,False,False,False,False,False
E1_I0013_tempo_redundancy,E1_I0013_tempo_redundancy/FINDINGS.json,39195,False,False,True,True,False
E1_I0018_teammate_volume_channel,E1_I0018_teammate_volume_channel/FINDINGS.json,101579,True,True,True,True,True
E1_I0020_coldstart_tiering,E1_I0020_coldstart_tiering/FINDINGS.json,75816,False,False,False,False,True
E1_I0021_heterogeneity_diagnostic,E1_I0021_heterogeneity_diagnostic/FINDINGS.json,32080,False,True,False,False,False
E1_I0022_optimal_simple_estimator,E1_I0022_optimal_simple_estimator/FINDINGS.json,105633,False,True,False,False,False
E1_I0023_usage_defence_interaction,E1_I0023_usage_defence_interaction/FINDINGS.json,237758,True,True,True,True,True
E1_I0025_threshold_vs_refit,E1_I0025_threshold_vs_refit/FINDINGS.json,69243,False,False,True,True,False
E1_I0026_detection_floor,E1_I0026_detection_floor/FINDINGS.json,34056,False,True,True,True,False
E1_I0027_reference_ladder,E1_I0027_reference_ladder/FINDINGS.json,51668,False,True,True,False,False
E1_I0030_home_advantage_accounting,E1_I0030_home_advantage_accounting/FINDINGS.json,128775,False,True,True,True,False
E1_I0031_rapm_as_prior,E1_I0031_rapm_as_prior/FINDINGS.json,21030,False,True,False,False,False
E1_I0032_aggregate_stack,E1_I0032_aggregate_stack/FINDINGS.json,87206,False,False,False,True,False
E1_I0033_aggregation_level,E1_I0033_aggregation_level/FINDINGS.json,78152,False,False,False,True,False
E1_I0034_redistribution,E1_I0034_redistribution/FINDINGS.json,84142,False,True,True,True,False
E1_I0035_availability_sum,E1_I0035_availability_sum/FINDINGS.json,51829,False,True,False,True,False
E1_I0036_level_artefact_sweep,E1_I0036_level_artefact_sweep/FINDINGS.json,22371,False,True,True,True,True
MEASURE_F1_m13_fitpool,MEASURE_F1_m13_fitpool/cf_A_POOLED_PUBLISHED/FINDINGS.json,381,False,False,False,False,False
MEASURE_F1_m13_fitpool,MEASURE_F1_m13_fitpool/cf_B_POOLED_2022_2024/FINDINGS.json,381,False,False,False,False,False
MEASURE_F1_m13_fitpool,MEASURE_F1_m13_fitpool/cf_C_TIME_ORDERED/FINDINGS.json,377,False,False,False,False,False
MEASURE_F1_m13_fitpool,MEASURE_F1_m13_fitpool/cf_D_TIME_ORDERED_2022_2024/FINDINGS.json,387,False,False,False,False,False
MEASURE_F1_m13_fitpool,MEASURE_F1_m13_fitpool/m14_out/A_POOLED_PUBLISHED/FINDINGS.json,47719,False,False,False,False,False
MEASURE_F1_m13_fitpool,MEASURE_F1_m13_fitpool/m14_out/B_POOLED_2022_2024/FINDINGS.json,47697,False,False,False,False,False
MEASURE_F1_m13_fitpool,MEASURE_F1_m13_fitpool/m14_out/CONTROL_PUBLISHED_M13/FINDINGS.json,47706,False,False,False,False,False
MEASURE_F1_m13_fitpool,MEASURE_F1_m13_fitpool/m14_out/C_TIME_ORDERED/FINDINGS.json,47705,False,False,False,False,False
MEASURE_F1_m13_fitpool,MEASURE_F1_m13_fitpool/m14_out/D_TIME_ORDERED_2022_2024/FINDINGS.json,47722,False,False,False,False,False
MEASURE_F1_m13_fitpool,MEASURE_F1_m13_fitpool/repro_out/FINDINGS.json,34728,False,False,False,False,False
_screen_kit,_screen_kit/_demo_out/FINDINGS.json,6190,False,False,False,False,False
