screen,null_class,EXPOSURE,cells
E0_I0014_residual_heterogeneity,BETWEEN_ENTITY,NOT_EXPOSED,115
E0_I0014_residual_heterogeneity,WITHIN_ENTITY,NOT_EXPOSED,205
E0_I0016_efficiency_predictors,BETWEEN_ENTITY,NOT_EXPOSED,38
E0_I0016_efficiency_predictors,WITHIN_ENTITY,EXPOSED,65
E0_I0016_efficiency_predictors,WITHIN_ENTITY,NOT_EXPOSED,21
E0_I0017_shot_quality_efficiency,BETWEEN_ENTITY,NOT_EXPOSED,86
E0_I0019_availability_forecast,BETWEEN_ENTITY,NOT_EXPOSED,235
E0_I0024_reb_ast_characterisation,BETWEEN_ENTITY,CEILING_EXCLUDED,89
E0_I0024_reb_ast_characterisation,BETWEEN_ENTITY,NOT_EXPOSED,2
E0_I0024_reb_ast_characterisation,ROW,CEILING_EXCLUDED,40
E0_I0024_reb_ast_characterisation,WITHIN_ENTITY,CEILING_EXCLUDED,84
E0_I0024_reb_ast_characterisation,WITHIN_ENTITY,EXPOSED,16
E0_I0024_reb_ast_characterisation,WITHIN_ENTITY,NOT_EXPOSED,2
E0_I0029_freethrow_hurdle,BETWEEN_ENTITY,NOT_EXPOSED,316
E0_I0029_freethrow_hurdle,ROW,NOT_EXPOSED,65
E1_I0018_teammate_volume_channel,BETWEEN_ENTITY,NOT_EXPOSED,59
E1_I0018_teammate_volume_channel,WITHIN_ENTITY,EXPOSED,2
E1_I0018_teammate_volume_channel,WITHIN_ENTITY,NOT_EXPOSED,29
E1_I0023_usage_defence_interaction,BETWEEN_ENTITY,NOT_EXPOSED,111
