run,cell,null,n,observed,p,null_mean,null_sd,flag_null_mean_gt_observed,w_between,dominant_component,dr2_between_component,dr2_within_component,power_dominant_at_best_live,power_full_at_best_live,type_I_at_zero,mde80_injection_verified_full,mde80_injection_verified_dominant,AMENDED_VERDICT,ORIGINAL_VERDICT
R3,R08->y_oreb,N_CYCLIC,13784,0.006488115969526343,0.9966777408637874,0.0079343260793382,0.0006102185010236818,True,0.9533563919206178,BETWEEN,0.009829209543718426,0.00048090074349184197,0.0,0.8,0.11666666666666667,0.002057,inf,VOID_FOR_THIS_CANDIDATE,REJECTED
R4,R08->y_oreb,N_PSWAP,13784,0.006488115969526343,0.0016611295681063123,7.057566256583619e-05,0.00010220292407680712,False,0.9533563919206178,BETWEEN,0.009829209543718426,0.00048090074349184197,1.0,1.0,0.06666666666666667,0.000424542372881356,0.0004232413793103449,USABLE,CERTIFIED
R5,G01_noise->y_oreb,N_CYCLIC,13784,1.671646731033354e-05,0.5498338870431894,4.822169318262556e-05,7.383443734627341e-05,True,0.14466584253987327,WITHIN,3.4330698348811106e-06,2.0297962830517262e-05,1.0,1.0,0.08333333333333333,0.00042189473684210526,0.00042580000000000005,USABLE,CERTIFIED
