screen,candidate,target,stratum,base,n,null_scheme_recorded,null_class,null_permutes_at,null_level_source,null_source_cite,candidate_level_recorded,candidate_level_source,level_recorded,var_share_between,var_share_entity,var_share_source,n_rows_for_var_share,stat_scale,observed_stat,dr2_reported,null_mean,null_mean_source,null_mean_recorded_by_screen,flag_applicable,flag_computable,flag_null_mean_gt_observed,p_decision,p_familywise,kill_reason,kill_reason_corrected,ceiling_recorded,mde80_fw_used,blind_used,is_kill,is_ceiling,EXPOSURE,exposure_reason,exposure_confidence,EXPOSURE_thr0.3,EXPOSURE_thr0.8,_i,z_obs_vs_null
E0_I0016_efficiency_predictors,A01_opp_efg_allowed,ppm,,,14852.0,p_N1_within_entity,WITHIN_ENTITY,opp_team_season,TABLE,E0_I0016/screen_results.csv:entity_level + s02_screen.py:167-186,opp_team_season,TABLE,opp_team_season,0.6626352956913184,opp_team_season,RECORDED,,DR2,0.0007493126225815,0.0007493126225815,0.0010412798039389,RECORDED,True,True,True,1.0,0.8286189683860233,1.0,UNINFORMATIVE_NULL,UNINFORMATIVE_NULL,,0.0084893297519599,1.0,True,False,EXPOSED,"within-entity null at opp_team_season, between-share 0.663 >= 0.5",1.0,EXPOSED,NOT_EXPOSED,0,-0.9172993530552427
E0_I0016_efficiency_predictors,A02_opp_ts_allowed,ppm,,,14852.0,p_N1_within_entity,WITHIN_ENTITY,opp_team_season,TABLE,E0_I0016/screen_results.csv:entity_level + s02_screen.py:167-186,opp_team_season,TABLE,opp_team_season,0.720507768780405,opp_team_season,RECORDED,,DR2,0.0008046485441452,0.0008046485441452,0.0010681882502518,RECORDED,True,True,True,1.0,0.8336106489184693,1.0,UNINFORMATIVE_NULL,UNINFORMATIVE_NULL,,0.0086119028013466,1.0,True,False,EXPOSED,"within-entity null at opp_team_season, between-share 0.721 >= 0.5",1.0,EXPOSED,NOT_EXPOSED,1,-0.934963732579674
E0_I0016_efficiency_predictors,A03_opp_paintpts_allowed,ppm,,,14852.0,p_N1_within_entity,WITHIN_ENTITY,opp_team_season,TABLE,E0_I0016/screen_results.csv:entity_level + s02_screen.py:167-186,opp_team_season,TABLE,opp_team_season,0.7485127964640633,opp_team_season,RECORDED,,DR2,0.0002528109043472,0.0002528109043472,0.0003330503863271,RECORDED,True,True,True,1.0,0.6921797004991681,1.0,POWERED_NULL,POWERED_NULL,,0.0022069702951696,0.3333333333333333,True,False,EXPOSED,"within-entity null at opp_team_season, between-share 0.749 >= 0.5",1.0,EXPOSED,NOT_EXPOSED,2,-0.5173122629199541
E0_I0016_efficiency_predictors,A05_opp_fg3pct_allowed,ppm,,,14852.0,p_N1_within_entity,WITHIN_ENTITY,opp_team_season,TABLE,E0_I0016/screen_results.csv:entity_level + s02_screen.py:167-186,opp_team_season,TABLE,opp_team_season,0.6886485338863164,opp_team_season,RECORDED,,DR2,0.000542803218426,0.000542803218426,0.0007697809540132,RECORDED,True,True,True,1.0,0.8252911813643927,1.0,UNINFORMATIVE_NULL,UNINFORMATIVE_NULL,,0.0050733591891755,1.0,True,False,EXPOSED,"within-entity null at opp_team_season, between-share 0.689 >= 0.5",1.0,EXPOSED,NOT_EXPOSED,4,-0.9849802121753058
E0_I0016_efficiency_predictors,A07_opp_ftrate_allowed,ppm,,,14852.0,p_N1_within_entity,WITHIN_ENTITY,opp_team_season,TABLE,E0_I0016/screen_results.csv:entity_level + s02_screen.py:167-186,opp_team_season,TABLE,opp_team_season,0.7997649620539757,opp_team_season,RECORDED,,DR2,0.0001962917011716,0.0001962917011716,0.0003652454124524,RECORDED,True,True,True,1.0,0.9217970049916804,1.0,UNINFORMATIVE_NULL,UNINFORMATIVE_NULL,,0.0048860061807126,1.0,True,False,EXPOSED,"within-entity null at opp_team_season, between-share 0.800 >= 0.5",1.0,EXPOSED,NOT_EXPOSED,6,-1.1909466639488993
E0_I0016_efficiency_predictors,A08_opp_pf,ppm,,,14852.0,p_N1_within_entity,WITHIN_ENTITY,opp_team_season,TABLE,E0_I0016/screen_results.csv:entity_level + s02_screen.py:167-186,opp_team_season,TABLE,opp_team_season,0.8122730223774802,opp_team_season,RECORDED,,DR2,0.000408389490025,0.000408389490025,0.0004587116350893,RECORDED,True,True,True,1.0,0.5906821963394343,1.0,UNINFORMATIVE_NULL,UNINFORMATIVE_NULL,,0.004370301801219,1.0,True,False,EXPOSED,"within-entity null at opp_team_season, between-share 0.812 >= 0.5",1.0,EXPOSED,EXPOSED,7,-0.33781470717350354
E0_I0016_efficiency_predictors,A09_opp_stl,ppm,,,14852.0,p_N1_within_entity,WITHIN_ENTITY,opp_team_season,TABLE,E0_I0016/screen_results.csv:entity_level + s02_screen.py:167-186,opp_team_season,TABLE,opp_team_season,0.7791346528167105,opp_team_season,RECORDED,,DR2,0.0005495909567453,0.0005495909567453,0.000511338668136,RECORDED,True,True,True,0.0,0.3693843594009983,1.0,POWERED_NULL,POWERED_NULL,,0.0015394713988682,0.3333333333333333,True,False,EXPOSED,"within-entity null at opp_team_season, between-share 0.779 >= 0.5",1.0,EXPOSED,NOT_EXPOSED,8,0.2422542374158911
E0_I0016_efficiency_predictors,A10_opp_defrtg,ppm,,,14852.0,p_N1_within_entity,WITHIN_ENTITY,opp_team_season,TABLE,E0_I0016/screen_results.csv:entity_level + s02_screen.py:167-186,opp_team_season,TABLE,opp_team_season,0.7713559695277252,opp_team_season,RECORDED,,DR2,0.0014430974149688,0.0014430974149688,0.0018564077887907,RECORDED,True,True,True,1.0,0.870216306156406,1.0,UNINFORMATIVE_NULL,UNINFORMATIVE_NULL,,0.0079848560787978,1.0,True,False,EXPOSED,"within-entity null at opp_team_season, between-share 0.771 >= 0.5",1.0,EXPOSED,NOT_EXPOSED,9,-1.1052976903495964
E0_I0016_efficiency_predictors,A11_opp_fastbreak_allowed,ppm,,,14852.0,p_N1_within_entity,WITHIN_ENTITY,opp_team_season,TABLE,E0_I0016/screen_results.csv:entity_level + s02_screen.py:167-186,opp_team_season,TABLE,opp_team_season,0.7464585435502771,opp_team_season,RECORDED,,DR2,0.0005189846405038,0.0005189846405038,0.0007691662049211,RECORDED,True,True,True,1.0,0.891846921797005,1.0,UNINFORMATIVE_NULL,UNINFORMATIVE_NULL,,0.0029852403985937,1.0,True,False,EXPOSED,"within-entity null at opp_team_season, between-share 0.746 >= 0.5",1.0,EXPOSED,NOT_EXPOSED,10,-1.2137876316814096
E0_I0016_efficiency_predictors,A12_opp_2ndchance_allowed,ppm,,,14852.0,p_N1_within_entity,WITHIN_ENTITY,opp_team_season,TABLE,E0_I0016/screen_results.csv:entity_level + s02_screen.py:167-186,opp_team_season,TABLE,opp_team_season,0.6790771028453294,opp_team_season,RECORDED,,DR2,0.0001863534582531,0.0001863534582531,0.0002104791725392,RECORDED,True,True,True,1.0,0.5257903494176372,1.0,POWERED_NULL,POWERED_NULL,,0.0016026371203926,0.0,True,False,EXPOSED,"within-entity null at opp_team_season, between-share 0.679 >= 0.5",1.0,EXPOSED,NOT_EXPOSED,11,-0.21439967314332803
E0_I0016_efficiency_predictors,B02_pl_ftpct,ppm,,,14326.0,p_N1_within_entity,WITHIN_ENTITY,player_season,TABLE,E0_I0016/screen_results.csv:entity_level + s02_screen.py:167-186,player_season,TABLE,player_season,0.7434640610538988,player_season,RECORDED,,DR2,6.1929532793812e-05,6.1929532793812e-05,9.980421258201992e-05,RECORDED,True,True,True,1.0,0.5657237936772047,1.0,POWERED_NULL,POWERED_NULL,,0.0018708397377239,0.3333333333333333,True,False,EXPOSED,"within-entity null at player_season, between-share 0.743 >= 0.5",1.0,EXPOSED,NOT_EXPOSED,13,-0.4085348174088217
E0_I0016_efficiency_predictors,B03_pl_fouls_drawn_per36,ppm,,,14852.0,p_N1_within_entity,WITHIN_ENTITY,player_season,TABLE,E0_I0016/screen_results.csv:entity_level + s02_screen.py:167-186,player_season,TABLE,player_season,0.8955111172251078,player_season,RECORDED,,DR2,0.0011721228564671,0.0011721228564671,0.00283779591754,RECORDED,True,True,True,1.0,1.0,1.0,UNINFORMATIVE_NULL,UNINFORMATIVE_NULL,,0.0145450520438516,1.0,True,False,EXPOSED,"within-entity null at player_season, between-share 0.896 >= 0.5",1.0,EXPOSED,EXPOSED,14,-3.748066203234351
E0_I0016_efficiency_predictors,B06_pl_ftpts_per36,ppm,,,14852.0,p_N1_within_entity,WITHIN_ENTITY,player_season,TABLE,E0_I0016/screen_results.csv:entity_level + s02_screen.py:167-186,player_season,TABLE,player_season,0.8704568129093767,player_season,RECORDED,,DR2,0.0006958817202603,0.0006958817202603,0.004508883725595,RECORDED,True,True,True,1.0,1.0,1.0,UNINFORMATIVE_NULL,UNINFORMATIVE_NULL,,0.0163592932836512,1.0,True,False,EXPOSED,"within-entity null at player_season, between-share 0.870 >= 0.5",1.0,EXPOSED,EXPOSED,17,-6.962331639231484
