screen,candidate,target,stratum,base,EXPOSURE,observed_stat,null_mean,z_obs_vs_null,flag_null_mean_gt_observed
E0_I0016_efficiency_predictors,A01_opp_efg_allowed,ppm,,,EXPOSED,0.0007493126225815,0.0010412798039389,-0.9172993530552427,1.0
E0_I0016_efficiency_predictors,A02_opp_ts_allowed,ppm,,,EXPOSED,0.0008046485441452,0.0010681882502518,-0.934963732579674,1.0
E0_I0016_efficiency_predictors,A03_opp_paintpts_allowed,ppm,,,EXPOSED,0.0002528109043472,0.0003330503863271,-0.5173122629199541,1.0
E0_I0016_efficiency_predictors,A04_opp_blk,ppm,,,NOT_EXPOSED,2.516454267036495e-05,0.0001025758529461,-0.5792227982372573,1.0
E0_I0016_efficiency_predictors,A05_opp_fg3pct_allowed,ppm,,,EXPOSED,0.000542803218426,0.0007697809540132,-0.9849802121753058,1.0
E0_I0016_efficiency_predictors,A06_opp_fg3a_share_allowed,ppm,,,NOT_EXPOSED,1.8367951266040987e-05,0.0001071761525389,-0.6248497904287462,1.0
E0_I0016_efficiency_predictors,A07_opp_ftrate_allowed,ppm,,,EXPOSED,0.0001962917011716,0.0003652454124524,-1.1909466639488993,1.0
E0_I0016_efficiency_predictors,A08_opp_pf,ppm,,,EXPOSED,0.000408389490025,0.0004587116350893,-0.33781470717350354,1.0
E0_I0016_efficiency_predictors,A09_opp_stl,ppm,,,EXPOSED,0.0005495909567453,0.000511338668136,0.2422542374158911,0.0
E0_I0016_efficiency_predictors,A10_opp_defrtg,ppm,,,EXPOSED,0.0014430974149688,0.0018564077887907,-1.1052976903495964,1.0
E0_I0016_efficiency_predictors,A11_opp_fastbreak_allowed,ppm,,,EXPOSED,0.0005189846405038,0.0007691662049211,-1.2137876316814096,1.0
E0_I0016_efficiency_predictors,A12_opp_2ndchance_allowed,ppm,,,EXPOSED,0.0001863534582531,0.0002104791725392,-0.21439967314332803,1.0
E0_I0016_efficiency_predictors,B01_pl_ftrate,ppm,,,NOT_EXPOSED,8.501063333839867e-05,6.060083805212177e-05,0.27686399841533876,0.0
E0_I0016_efficiency_predictors,B02_pl_ftpct,ppm,,,EXPOSED,6.1929532793812e-05,9.980421258201992e-05,-0.4085348174088217,1.0
E0_I0016_efficiency_predictors,B03_pl_fouls_drawn_per36,ppm,,,EXPOSED,0.0011721228564671,0.00283779591754,-3.748066203234351,1.0
E0_I0016_efficiency_predictors,B04_matchup_ftrate,ppm,,,NOT_EXPOSED,5.2050877785394153e-05,6.978075315776216e-05,-0.1652865639859802,1.0
E0_I0016_efficiency_predictors,B06_pl_ftpts_per36,ppm,,,EXPOSED,0.0006958817202603,0.004508883725595,-6.962331639231484,1.0
E0_I0016_efficiency_predictors,C01_tm_usage_hhi,ppm,,,NOT_EXPOSED,4.593205067656274e-05,4.726546656114607e-05,-0.021453023176918086,1.0
E0_I0016_efficiency_predictors,C02_tm_ast_per_game,ppm,,,NOT_EXPOSED,1.8607577332200923e-05,4.844592818344437e-05,-0.4354970320354901,1.0
E0_I0016_efficiency_predictors,C03_tm_ast_rate,ppm,,,NOT_EXPOSED,9.237019556218498e-07,4.336979783841618e-05,-0.7569576868379624,1.0
E0_I0016_efficiency_predictors,C05_top_usg_teammate_out,ppm,,,NOT_EXPOSED,0.0008441922310471,8.920014127433771e-05,5.878864183382326,0.0
E0_I0016_efficiency_predictors,C06_top_usg_teammate_out_lastgame,ppm,,,NOT_EXPOSED,2.1996310590309e-05,6.062953686620971e-05,-0.4134800373897484,1.0
E0_I0016_efficiency_predictors,C08_vacated_usg,ppm,,,NOT_EXPOSED,0.0001290389187462,7.566602606596357e-05,0.5215667410580002,0.0
E0_I0016_efficiency_predictors,D01_tm_poss_per40,ppm,,,NOT_EXPOSED,0.0001872837330493,4.7717683824800906e-05,2.0245260877691535,0.0
E0_I0016_efficiency_predictors,D02_opp_poss_per40,ppm,,,EXPOSED,0.0010606313808426,0.0011843400843533,-0.474414358848382,1.0
E0_I0016_efficiency_predictors,D03_pace_sum,ppm,,,NOT_EXPOSED,0.0001906312005377,4.832066407442657e-05,2.2259286087109467,0.0
E0_I0016_efficiency_predictors,D04_pl_fastbreak_share,ppm,,,EXPOSED,0.0001050671538916,9.899778954315866e-05,0.07396544703108549,0.0
