file,ncol,nrow,hits
E0_I0003_rebound_interaction\stability_pairs.csv,20,242,drb_opp_pm1|drb_opp_pm2|orb_opp_pm1|orb_opp_pm2
E0_I0004_shot_location_allowance\shot_level_residuals_2021_2024.csv,34,121412,OPP_TEAM_ID
E0_I0004_shot_location_allowance\shot_level_residuals_LOO_2021_2024.csv,45,121411,OPP_TEAM_ID
E0_I0004_shot_location_allowance\team_zone_defense_2021_2024.csv,11,288,OPP_TEAM_ID
E0_I0006_usage_redistribution\absence_games.csv,9,451,dnp_reason
E0_I0006_usage_redistribution\redistribution_rows.csv,14,3838,dnp_reason
E0_I0006_usage_redistribution\stability_by_player.csv,5,44,n_unique_top_absorbers
E0_I0006_usage_redistribution\top_absorber_per_game.csv,7,335,top_absorber_id|top_absorber_name
E0_I0008_height_differential\player_game_height_vs_opponent.csv,19,18212,opp_team_id|opp_roster_mean_height|opp_rotation_mean_height
E0_I0010_positional_matchup\features_ast.csv,20,12337,opp_team_id
E0_I0010_positional_matchup\features_pts.csv,20,12337,opp_team_id
E0_I0010_positional_matchup\features_reb.csv,20,12337,opp_team_id
E0_I0010_positional_matchup\player_game_features.csv,22,41547,opp_team_id
E0_I0011_tendency_estimator\gap_table.csv,8,12,gap_vs_naive_pct|gap_vs_incumbent_pct
E0_I0012_layer3_noncollinear\f1_features_ast.csv,14,8349,opp_team_id
E0_I0012_layer3_noncollinear\f1_features_pts.csv,14,8349,opp_team_id
E0_I0012_layer3_noncollinear\f1_features_reb.csv,14,8349,opp_team_id
E0_I0012_layer3_noncollinear\f2_features_ast.csv,17,10014,opp_team_id|opp_nominal|opp_available|opp_spec_out|opp_pool_n
E0_I0012_layer3_noncollinear\f2_features_pts.csv,17,10014,opp_team_id|opp_nominal|opp_available|opp_spec_out|opp_pool_n
E0_I0012_layer3_noncollinear\f2_features_reb.csv,17,10014,opp_team_id|opp_nominal|opp_available|opp_spec_out|opp_pool_n
E0_I0012_layer3_noncollinear\f34_features_ast.csv,26,13753,opp_team_id|opp_rest
E0_I0012_layer3_noncollinear\f34_features_pts.csv,26,13753,opp_team_id|opp_rest
E0_I0012_layer3_noncollinear\f34_features_reb.csv,26,13753,opp_team_id|opp_rest
E0_I0012_layer3_noncollinear\r4_symmetry_features_reb.csv,13,10167,opp_team_id
E0_I0013_possession_volume\maxt_null_draws.csv,1,400,maxT_null_z
E0_I0013_possession_volume\noop_diagnostic.csv,1,200,noop_dR2_M
