screen,file,rows,within_cols,has_null_mean,has_var_share
E1_I0021_heterogeneity_diagnostic,E1_I0021_heterogeneity_diagnostic/correlation_robustness.csv,8,cyclic_spread_ratio,False,True
E1_I0021_heterogeneity_diagnostic,E1_I0021_heterogeneity_diagnostic/family_wise_by_floor.csv,6,max_z_cyclic|family_wise_p_cyclic|null_p95_cyclic|clears_005_cyclic|z_cyclic_R01_prior_efficiency_persistence|z_cyclic_R02_opp_efg_allowed|z_cyclic_R03_opp_ts_allowed|z_cyclic_R04_opp_defrtg|z_cyclic_R05_teammate_volume_pregame|z_cyclic_R06_own_usage,False,False
E1_I0021_heterogeneity_diagnostic,E1_I0021_heterogeneity_diagnostic/heterogeneity_structure.csv,36,p_vs_cyclic_null,True,False
E1_I0021_heterogeneity_diagnostic,E1_I0021_heterogeneity_diagnostic/pooling_diagnostic.csv,48,n4_cyclic_null_mean_w|n4_cyclic_ratio_w|n4_cyclic_p_w,True,False
E1_I0021_heterogeneity_diagnostic,E1_I0021_heterogeneity_diagnostic/serial_structure_diagnostic.csv,48,cyclic_ratio|gap_shuffle_minus_cyclic|cyclic_p,False,False
E1_I0022_optimal_simple_estimator,E1_I0022_optimal_simple_estimator/cyclic_shift_control.csv,4,cyclic_mean|cyclic_sd|cyclic_perturbs,False,False
E1_I0027_reference_ladder,E1_I0027_reference_ladder/ranking_change.csv,5,p_cyclic_repriced,False,False
E1_I0027_reference_ladder,E1_I0027_reference_ladder/reprice_table.csv,6,p_cyclic_within,False,False
E1_I0030_home_advantage_accounting,E1_I0030_home_advantage_accounting/heterogeneity.csv,4,cyclic_null_mean|cyclic_null_sd|p_cyclic,True,False
E1_I0030_home_advantage_accounting,E1_I0030_home_advantage_accounting/permutation_draws_heterogeneity_fta.csv,2000,cyclic_draws,False,False
E1_I0030_home_advantage_accounting,E1_I0030_home_advantage_accounting/permutation_draws_heterogeneity_fta_pm.csv,2000,cyclic_draws,False,False
E1_I0030_home_advantage_accounting,E1_I0030_home_advantage_accounting/permutation_draws_heterogeneity_ppm.csv,2000,cyclic_draws,False,False
E1_I0030_home_advantage_accounting,E1_I0030_home_advantage_accounting/permutation_draws_heterogeneity_pts.csv,2000,cyclic_draws,False,False
E1_I0030_home_advantage_accounting,E1_I0030_home_advantage_accounting/travel_directional.csv,23,p_cyclic|p_cyclic_dR2|p_cyclic_beta_LOWER_TAIL_prereg,True,False
