screen,candidate,target,stratum,base,n,null_scheme_recorded,null_class,null_permutes_at,null_level_source,null_source_cite,candidate_level_recorded,candidate_level_source,level_recorded,var_share_between,var_share_entity,var_share_source,n_rows_for_var_share,stat_scale,observed_stat,dr2_reported,null_mean,null_mean_source,null_mean_recorded_by_screen,flag_applicable,flag_computable,flag_null_mean_gt_observed,p_decision,p_familywise,kill_reason,kill_reason_corrected,ceiling_recorded,mde80_fw_used,blind_used,is_kill,is_ceiling,EXPOSURE,exposure_reason,exposure_confidence,EXPOSURE_thr0.3,EXPOSURE_thr0.8,_i,z_obs_vs_null,excl_ceiling_candidate,passes_floor,frame_reproducible,ELIGIBLE_FOR_REMEASURE,EV
E0_I0024_reb_ast_characterisation,R08_player_ra_share,y_oreb,POOLED,B_COMPLETE_PLUS_R10,13784.0,p_cyclic_shift,WITHIN_ENTITY,player_season,PREREG,"E0_I0024/_prereg.json:candidates[].level via s04_screen.py:44,108-158",player_season,PREREG,player_season,0.8761514166487634,player_season,COMPUTED,13784.0,DR2,0.0065402705613551,0.0065402705613551,0.0079594380431507,FROM_DRAWS,False,True,True,1.0,0.995008319467554,1.0,UNINFORMATIVE_NULL,UNINFORMATIVE_NULL,0.0106863943821361,0.0024128116167969,0.6666666666666666,True,False,EXPOSED,"within-entity null at player_season, between-share 0.876 >= 0.5",0.5,EXPOSED,EXPOSED,196,-2.3862776332940614,True,True,True,True,-2.485434280845366
E0_I0024_reb_ast_characterisation,R08_player_ra_share,y_oreb,POOLED,B_COMPLETE,13784.0,p_cyclic_shift,WITHIN_ENTITY,player_season,PREREG,"E0_I0024/_prereg.json:candidates[].level via s04_screen.py:44,108-158",player_season,PREREG,player_season,0.8761514166487634,player_season,COMPUTED,13784.0,DR2,0.0064881159695263,0.0064881159695263,0.0078802401210119,FROM_DRAWS,False,True,True,1.0,0.9966722129783694,1.0,UNINFORMATIVE_NULL,UNINFORMATIVE_NULL,0.0105981781065027,0.0024128116167969,0.6666666666666666,True,False,EXPOSED,"within-entity null at player_season, between-share 0.876 >= 0.5",0.5,EXPOSED,EXPOSED,186,-2.3582903466369483,True,True,True,True,-2.4889113917489176
E0_I0016_efficiency_predictors,B03_pl_fouls_drawn_per36,ts,,,14079.0,p_N1_within_entity,WITHIN_ENTITY,player_season,TABLE,E0_I0016/screen_results.csv:entity_level + s02_screen.py:167-186,player_season,TABLE,player_season,0.9004561994855943,player_season,RECORDED,,DR2,0.0024711059735078,0.0024711059735078,0.0032289740823469,RECORDED,True,True,True,1.0,0.9983361064891848,1.0,UNINFORMATIVE_NULL,UNINFORMATIVE_NULL,,0.0145450520438516,1.0,True,False,EXPOSED,"within-entity null at player_season, between-share 0.900 >= 0.5",1.0,EXPOSED,EXPOSED,58,-2.4214334996613083,False,True,True,True,-2.6071086294571733
E0_I0016_efficiency_predictors,E02_pl_paintpts_share,ts,,,14036.0,p_N1_within_entity,WITHIN_ENTITY,player_season,TABLE,E0_I0016/screen_results.csv:entity_level + s02_screen.py:167-186,player_season,TABLE,player_season,0.907475608408343,player_season,RECORDED,,DR2,0.0023201837903074,0.0023201837903074,0.001469562042208,RECORDED,True,True,True,0.0,0.0033277870216306,0.6256239600665557,UNINFORMATIVE_NULL,UNINFORMATIVE_NULL,,0.0076821141924757,0.6666666666666666,True,False,EXPOSED,"within-entity null at player_season, between-share 0.907 >= 0.5",1.0,EXPOSED,EXPOSED,77,3.5170222752609126,False,True,True,True,-2.6344776116802793
