candidate,n_cells,screen,note
A01_c04_prevgame,2,E0_I0024_reb_ast_characterisation,ARITHMETIC CEILING KILL -- NOT RE-MEASURED (PREREG 5.1)
A02_n_present_prevgame,4,E0_I0024_reb_ast_characterisation,ARITHMETIC CEILING KILL -- NOT RE-MEASURED (PREREG 5.1)
A03_absent_usg_prevgame,3,E0_I0024_reb_ast_characterisation,ARITHMETIC CEILING KILL -- NOT RE-MEASURED (PREREG 5.1)
A05_teammate_prior_fgpct,2,E0_I0024_reb_ast_characterisation,ARITHMETIC CEILING KILL -- NOT RE-MEASURED (PREREG 5.1)
G01_noise,20,E0_I0024_reb_ast_characterisation,ARITHMETIC CEILING KILL -- NOT RE-MEASURED (PREREG 5.1)
G02_placebo_noop,20,E0_I0024_reb_ast_characterisation,ARITHMETIC CEILING KILL -- NOT RE-MEASURED (PREREG 5.1)
R01_opp_allowed_miss_pg,22,E0_I0024_reb_ast_characterisation,ARITHMETIC CEILING KILL -- NOT RE-MEASURED (PREREG 5.1)
R02_opp_allowed_ra_share,18,E0_I0024_reb_ast_characterisation,ARITHMETIC CEILING KILL -- NOT RE-MEASURED (PREREG 5.1)
R03_opp_allowed_atb3_share,18,E0_I0024_reb_ast_characterisation,ARITHMETIC CEILING KILL -- NOT RE-MEASURED (PREREG 5.1)
R04_opp_allowed_mid_share,18,E0_I0024_reb_ast_characterisation,ARITHMETIC CEILING KILL -- NOT RE-MEASURED (PREREG 5.1)
R05_opp_allowed_long_miss_pg,18,E0_I0024_reb_ast_characterisation,ARITHMETIC CEILING KILL -- NOT RE-MEASURED (PREREG 5.1)
R06_own_atb3_share,18,E0_I0024_reb_ast_characterisation,ARITHMETIC CEILING KILL -- NOT RE-MEASURED (PREREG 5.1)
R07_own_miss_pg,18,E0_I0024_reb_ast_characterisation,ARITHMETIC CEILING KILL -- NOT RE-MEASURED (PREREG 5.1)
R08_player_ra_share,2,E0_I0024_reb_ast_characterisation,ARITHMETIC CEILING KILL -- NOT RE-MEASURED (PREREG 5.1)
R09_opp_allowed_paint_share,18,E0_I0024_reb_ast_characterisation,ARITHMETIC CEILING KILL -- NOT RE-MEASURED (PREREG 5.1)
R10_opp_allowed_oreb_pg,12,E0_I0024_reb_ast_characterisation,ARITHMETIC CEILING KILL -- NOT RE-MEASURED (PREREG 5.1)
