game_id,season,season_type,status,era,n_possessions,n_real_possessions,model_home_pts,model_away_pts,master_home_pts,master_away_pts,resid_home,resid_away,exact,dominant_failure,game_seconds,anomalies
1022100001,2021,Regular Season,ok,v2,167,167,90,87,90,87,0,0,True,,2400.0,{}
1022100002,2021,Regular Season,ok,v2,156,156,67,78,67,78,0,0,True,,2400.0,{'inferred_flip': 1}
1022100003,2021,Regular Season,ok,v2,165,165,75,77,75,77,0,0,True,,2400.0,{}
1022100004,2021,Regular Season,ok,v2,180,180,71,94,71,94,0,0,True,,2400.0,{'rebound_after_tech_ft_skipped': 1}
1022100005,2021,Regular Season,ok,v2,161,161,56,70,56,70,0,0,True,,2400.0,{}
1022100006,2021,Regular Season,ok,v2,169,169,97,83,97,83,0,0,True,,2400.0,{}
1022100007,2021,Regular Season,ok,v2,176,174,65,73,65,73,0,0,True,,2400.0,"{'tech_ft_folded': 2, 'tech_ft_synthetic': 2}"
1022100008,2021,Regular Season,ok,v2,154,154,86,78,86,78,0,0,True,,2400.0,{'rebound_after_tech_ft_skipped': 1}
1022100009,2021,Regular Season,ok,v2,167,167,86,75,86,75,0,0,True,,2400.0,{}
1022100010,2021,Regular Season,ok,v2,159,157,70,91,70,91,0,0,True,,2400.0,"{'inferred_flip': 1, 'tech_ft_synthetic': 2}"
1022100011,2021,Regular Season,ok,v2,164,164,80,96,80,96,0,0,True,,2400.0,{}
1022100012,2021,Regular Season,ok,v2,187,187,77,85,77,85,0,0,True,,2400.0,"{'inferred_flip': 1, 'rebound_after_tech_ft_skipped': 1}"
1022100013,2021,Regular Season,ok,v2,147,147,88,67,88,67,0,0,True,,2400.0,{'inferred_flip': 1}
1022100014,2021,Regular Season,ok,v2,170,170,78,90,78,90,0,0,True,,2400.0,{}
1022100015,2021,Regular Season,ok,v2,150,150,79,83,79,83,0,0,True,,2400.0,{}
1022100016,2021,Regular Season,ok,v2,160,160,101,72,101,72,0,0,True,,2400.0,{'tech_ft_folded': 3}
1022100017,2021,Regular Season,ok,v2,145,144,67,84,67,84,0,0,True,,2400.0,"{'inferred_flip': 1, 'tech_ft_synthetic': 1}"
1022100018,2021,Regular Season,ok,v2,172,172,97,69,97,69,0,0,True,,2400.0,{}
1022100019,2021,Regular Season,ok,v2,185,185,97,100,97,100,0,0,True,,2700.0,{}
1022100020,2021,Regular Season,ok,v2,171,171,85,93,85,93,0,0,True,,2400.0,{}
1022100021,2021,Regular Season,ok,v2,156,156,89,77,89,77,0,0,True,,2400.0,{}
1022100022,2021,Regular Season,ok,v2,154,154,65,72,65,72,0,0,True,,2400.0,{}
1022100023,2021,Regular Season,ok,v2,150,150,69,85,69,85,0,0,True,,2400.0,{'inferred_flip': 1}
1022100024,2021,Regular Season,ok,v2,154,154,88,81,88,81,0,0,True,,2400.0,{'rebound_after_tech_ft_skipped': 1}
1022100025,2021,Regular Season,ok,v2,160,159,83,90,83,90,0,0,True,,2400.0,"{'rebound_after_tech_ft_skipped': 1, 'tech_ft_synthetic': 1}"
1022100026,2021,Regular Season,ok,v2,173,173,90,87,90,87,0,0,True,,2700.0,{}
1022100027,2021,Regular Season,ok,v2,156,156,79,85,79,85,0,0,True,,2400.0,{}
1022100028,2021,Regular Season,ok,v2,170,170,101,95,101,95,0,0,True,,2400.0,{'rebound_after_tech_ft_skipped': 1}
1022100029,2021,Regular Season,ok,v2,154,153,86,81,86,81,0,0,True,,2400.0,{'tech_ft_synthetic': 1}
1022100030,2021,Regular Season,ok,v2,158,157,61,76,61,76,0,0,True,,2400.0,"{'inferred_flip': 1, 'tech_ft_folded': 1, 'tech_ft_synthetic': 1}"
1022100031,2021,Regular Season,ok,v2,157,156,82,72,82,72,0,0,True,,2400.0,{'tech_ft_synthetic': 1}
1022100032,2021,Regular Season,ok,v2,178,178,113,77,113,77,0,0,True,,2400.0,{}
