season,n_games,season_inside_v0_fit_window,corr_static_rapm_v0,corr_walkforward_lam5000_fixed,corr_walkforward_registered,corr_walkforward_v0grid,v0_rated_share_pct,wf_rated_share_pct
2022,239,True,0.5274,0.416,0.4128,0.416,100.0,76.0
2023,260,True,0.5701,0.4608,0.4327,0.4608,100.0,83.1
2024,262,True,0.5613,0.38,0.3897,0.3897,100.0,86.1
2025,310,False,0.3999,0.3999,0.31,0.3999,79.3,79.3
2026,209,False,0.2066,0.3082,0.2267,0.3082,60.7,73.9
