arm,generator,feature,spearman,n_cells
A1_FULL,EXCH,var_share_between_block,0.23548956931608286,54
A1_FULL,EXCH,dev_excess_kurtosis,-0.2828287752483718,54
A1_FULL,EXCH,dev_abs_skew,-0.268351251104031,54
A1_FULL,EXCH,dev_max_abs_z,0.08630979010389409,54
A1_FULL,EXCH,dev_frac_abs_z_gt4,-0.09241917921066858,54
A1_FULL,EXCH,dev_p999_over_p50_abs,-0.18769075944270378,54
A1_FULL,EXCH,excess_kurtosis_whole,-0.2562100469935653,54
A1_FULL,EXCH,max_within_block_spread_z,0.2035853957387393,54
A1_FULL,EXCH,n_distinct_over_n,0.4104318910726432,54
A1_FULL,EXCH,pos_corr_mean_abs,-0.6389452289364158,54
A1_FULL,EXCH,pos_monotone_share,-0.4025490821325028,54
A1_FULL,EXCH,dev_lag1_autocorr,-0.6602785118686851,54
A1_FULL,EXCH,shared_position_profile_sd,-0.42630180552535746,54
A1_FULL,EXCH,resp_shared_position_profile_sd,-0.14896009438070146,54
A1_FULL,EXCH,resp_pos_corr_mean,0.0897500150243557,54
A1_FULL,CIRCSHIFT,var_share_between_block,0.3745303169388735,54
A1_FULL,CIRCSHIFT,dev_excess_kurtosis,-0.2886051663049998,54
A1_FULL,CIRCSHIFT,dev_abs_skew,-0.27685504548335205,54
A1_FULL,CIRCSHIFT,dev_max_abs_z,0.06221440194002748,54
A1_FULL,CIRCSHIFT,dev_frac_abs_z_gt4,-0.10170084147966796,54
A1_FULL,CIRCSHIFT,dev_p999_over_p50_abs,-0.2066987866361848,54
A1_FULL,CIRCSHIFT,excess_kurtosis_whole,-0.21841063344864153,54
A1_FULL,CIRCSHIFT,max_within_block_spread_z,0.23195963270226794,54
A1_FULL,CIRCSHIFT,n_distinct_over_n,0.35870168207802083,54
A1_FULL,CIRCSHIFT,pos_corr_mean_abs,-0.6004617931935534,54
A1_FULL,CIRCSHIFT,pos_monotone_share,-0.3435417918676403,54
A1_FULL,CIRCSHIFT,dev_lag1_autocorr,-0.6685895295535959,54
A1_FULL,CIRCSHIFT,shared_position_profile_sd,-0.5577479989363583,54
A1_FULL,CIRCSHIFT,resp_shared_position_profile_sd,-0.16857437450990323,54
A1_FULL,CIRCSHIFT,resp_pos_corr_mean,0.06619575657639774,54
A1_FULL,BLOCKBOOT,var_share_between_block,0.12710962177002938,54
A1_FULL,BLOCKBOOT,dev_excess_kurtosis,0.23832336758958556,54
A1_FULL,BLOCKBOOT,dev_abs_skew,0.2758154456436499,54
A1_FULL,BLOCKBOOT,dev_max_abs_z,0.21624895020469256,54
A1_FULL,BLOCKBOOT,dev_frac_abs_z_gt4,0.05402830027540823,54
A1_FULL,BLOCKBOOT,dev_p999_over_p50_abs,0.2669015128001836,54
A1_FULL,BLOCKBOOT,excess_kurtosis_whole,0.224933339713134,54
A1_FULL,BLOCKBOOT,max_within_block_spread_z,0.10645072161778985,54
A1_FULL,BLOCKBOOT,n_distinct_over_n,0.20782601589570915,54
A1_FULL,BLOCKBOOT,pos_corr_mean_abs,0.049217916751585496,54
A1_FULL,BLOCKBOOT,pos_monotone_share,-0.025115424228966177,54
A1_FULL,BLOCKBOOT,dev_lag1_autocorr,-0.013944757602761688,54
A1_FULL,BLOCKBOOT,shared_position_profile_sd,0.1855284005338623,54
A1_FULL,BLOCKBOOT,resp_shared_position_profile_sd,-0.08527161118773452,54
A1_FULL,BLOCKBOOT,resp_pos_corr_mean,0.011809232943407449,54
