arm,target,feature,spearman,n_cells
A4_CLEAN_DEC,COMPOSED2 Type-I (EXCH),var_share_between_block,0.3996988068812514,50
A4_CLEAN_DEC,COMPOSED2 Type-I (EXCH),dev_excess_kurtosis,0.20473554943479735,50
A4_CLEAN_DEC,COMPOSED2 Type-I (EXCH),dev_max_abs_z,0.2377924383830204,50
A4_CLEAN_DEC,COMPOSED2 Type-I (EXCH),excess_kurtosis_whole,0.21337377297017243,50
A4_CLEAN_DEC,COMPOSED2 Type-I (EXCH),max_within_block_spread_z,0.1387665462344749,50
A4_CLEAN_DEC,COMPOSED2 Type-I (EXCH),n_distinct_over_n,0.2119205359461694,50
A4_CLEAN_DEC,COMPOSED2 Type-I (EXCH),pos_corr_mean_abs,-0.3345019353935882,50
A4_CLEAN_DEC,COMPOSED2 Type-I (EXCH),pos_monotone_share,-0.22431200971344958,50
A4_CLEAN_DEC,COMPOSED2 Type-I (EXCH),dev_lag1_autocorr,-0.16033797595689198,50
A4_CLEAN_DEC,COMPOSED2 Type-I (EXCH),shared_position_profile_sd,-0.6051823589126875,50
A4_CLEAN_DEC,COMPOSED2 Type-I (EXCH),resp_shared_position_profile_sd,-0.23489670017895692,50
A4_CLEAN_DEC,COMPOSED2 Type-I (CIRCSHIFT),var_share_between_block,0.2511238257559291,50
A4_CLEAN_DEC,COMPOSED2 Type-I (CIRCSHIFT),dev_excess_kurtosis,0.025124450034783488,50
A4_CLEAN_DEC,COMPOSED2 Type-I (CIRCSHIFT),dev_max_abs_z,0.04665279723077472,50
A4_CLEAN_DEC,COMPOSED2 Type-I (CIRCSHIFT),excess_kurtosis_whole,0.036371322000402224,50
A4_CLEAN_DEC,COMPOSED2 Type-I (CIRCSHIFT),max_within_block_spread_z,0.07358736614414492,50
A4_CLEAN_DEC,COMPOSED2 Type-I (CIRCSHIFT),n_distinct_over_n,0.29057255804257504,50
A4_CLEAN_DEC,COMPOSED2 Type-I (CIRCSHIFT),pos_corr_mean_abs,-0.2677769194389268,50
A4_CLEAN_DEC,COMPOSED2 Type-I (CIRCSHIFT),pos_monotone_share,-0.18635847040925324,50
A4_CLEAN_DEC,COMPOSED2 Type-I (CIRCSHIFT),dev_lag1_autocorr,-0.13884818544679098,50
A4_CLEAN_DEC,COMPOSED2 Type-I (CIRCSHIFT),shared_position_profile_sd,-0.6160437916790091,50
A4_CLEAN_DEC,COMPOSED2 Type-I (CIRCSHIFT),resp_shared_position_profile_sd,-0.26864375542855573,50
A4_CLEAN_DEC,COMPOSED2 rejection (BLOCKBOOT),var_share_between_block,0.29938716943092375,50
