dR2_M,dR2_OxM,slice
0.0002936107023714385,2.2198581324017752e-05,2023_2024
0.00012303894105913926,3.644178605322068e-06,2023_2024
4.729805335257353e-05,3.859753200874394e-05,2023_2024
3.587544763850037e-05,0.0005767354644027334,2023_2024
6.65488312889817e-06,5.223179421753876e-06,2023_2024
0.00021676036612361393,0.00015247021649011927,2023_2024
0.000407898896955583,5.44698229043572e-06,2023_2024
0.00010732436447613569,1.3862851389823128e-05,2023_2024
8.592840127741308e-05,0.00019501385952058747,2023_2024
0.000167446122544046,1.6502426960718353e-05,2023_2024
0.00013815542231265798,0.00013150460726740754,2023_2024
5.307065608206596e-05,9.79311552395945e-06,2023_2024
0.00046032586773947504,0.00039100516087109405,2023_2024
0.00012697289362595399,2.2038190214290765e-05,2023_2024
0.0006242396424782637,0.00044568230644670415,2023_2024
0.00017895337194895333,2.1239451647447893e-06,2023_2024
0.00012998203387837304,0.00010326096440749222,2023_2024
0.00012264787965110546,0.00017429202624941187,2023_2024
0.00012589060737722146,2.4115469537733247e-05,2023_2024
0.0001842320613771875,0.00021044638252498693,2023_2024
0.0001937571904150337,0.0007152631013918054,2023_2024
4.5513295836574486e-06,3.759643241174615e-08,2023_2024
4.106806592463208e-06,4.9697886131294666e-05,2023_2024
1.518273590295216e-06,0.00010691101991822105,2023_2024
3.9708950819616895e-05,9.357774316764988e-06,2023_2024
2.202341233314975e-05,0.0001689620232337985,2023_2024
4.9537670209875984e-05,1.5923864852163128e-05,2023_2024
4.15471600723194e-05,3.0420196858171877e-06,2023_2024
5.4362712921252054e-06,7.814287195850866e-05,2023_2024
1.6826884621456983e-05,0.0005914160634489241,2023_2024
5.81837173865285e-05,9.818597848254562e-05,2023_2024
5.239959130276528e-05,0.00010156433562580336,2023_2024
0.0001194896410767754,0.0006921923170106759,2023_2024
2.2957707745963063e-07,2.4476070737744493e-05,2023_2024
5.026544721586923e-05,0.0002751214226213161,2023_2024
4.352718635525221e-06,0.0006458002842648636,2023_2024
2.1761953176713256e-05,9.385940009687399e-05,2023_2024
2.831746582021566e-05,5.682591981626128e-05,2023_2024
0.00016423637729490181,0.0002647132893405235,2023_2024
6.152214826471436e-07,0.0004335837758092653,2023_2024
8.953523811250363e-08,0.0010597352720996822,2023_2024
9.139566066185267e-07,1.7608146203107466e-05,2023_2024
5.012958022998504e-05,0.00011168198332900392,2023_2024
0.00017856083969558512,0.00039671070443814127,2023_2024
9.418083294499002e-05,0.0007732096445361991,2023_2024
0.00043804803111702206,0.00013500615074735212,2023_2024
0.00018372702702595944,1.4768206383020122e-05,2023_2024
0.0001962034251286049,6.41289716851734e-06,2023_2024
3.960372938938139e-05,4.683628147272856e-05,2023_2024
0.0001871208192960605,0.0003205740777243449,2023_2024
1.0425004921099656e-05,4.471508575631944e-07,2023_2024
9.925662171150762e-05,7.4275245377508625e-06,2023_2024
3.66683907699894e-05,6.593661195997136e-05,2023_2024
5.540663235026333e-05,0.00010652930958021667,2023_2024
9.10476220536971e-05,7.615680824746285e-06,2023_2024
2.3387967048482672e-05,2.1877922092516933e-05,2023_2024
0.0001375797595362105,6.912027142513821e-05,2023_2024
3.645887336278797e-05,9.153309324638759e-05,2023_2024
9.553519639871055e-05,7.866882656382135e-05,2023_2024
0.00025801902144240163,6.583055761255618e-05,2023_2024
3.161666125239826e-06,2.371215497287693e-07,2023_2024
4.7154180544906055e-05,7.266385791471208e-05,2023_2024
3.138085308773686e-05,0.00014250733022558304,2023_2024
0.00015745011571388634,1.836189547077538e-07,2023_2024
1.7959820386437286e-07,1.708518718057661e-05,2023_2024
1.7764056798874606e-06,2.7933439743499378e-05,2023_2024
7.058367560430767e-07,4.457850261929686e-06,2023_2024
0.00028383032824841337,0.00013700127070370716,2023_2024
1.7981993027937904e-07,3.364772986946818e-05,2023_2024
1.8736104637318007e-05,8.379519756263054e-05,2023_2024
