dR2_M,dR2_OxM,slice
0.0004251783450239799,0.0004102822476177437,2024_alone
2.674577801453637e-07,0.00018671191471164583,2024_alone
2.813935246570587e-05,9.270558521912164e-05,2024_alone
2.890005902478343e-06,6.004061194553323e-05,2024_alone
9.761687358289528e-05,3.302219366074777e-05,2024_alone
0.0002790389887836753,2.640726021330142e-05,2024_alone
7.443836487874833e-06,0.00013583331055633252,2024_alone
0.0004120822015398762,5.605755867088558e-05,2024_alone
0.0001420574268413688,0.0003105960107768757,2024_alone
0.00037335959605377944,7.756695823202264e-06,2024_alone
0.00027791428948942265,0.00042403883524211317,2024_alone
4.849518221172744e-05,0.0002877025965039026,2024_alone
1.6055708169426808e-05,0.0011906981389898652,2024_alone
0.00023584203934845505,5.314189153848847e-05,2024_alone
1.2798049665030398e-05,7.625496270224907e-05,2024_alone
0.0005482999652570708,0.00010206740903362377,2024_alone
0.00015290909026399735,0.00023742502263413012,2024_alone
0.00023793574813246732,2.36424137722846e-06,2024_alone
1.931329627669065e-05,0.00024205060861182126,2024_alone
6.21370376381325e-05,2.446214558604609e-05,2024_alone
0.0004722093267233163,0.0007594063036322485,2024_alone
1.3508078033908077e-07,6.982964164170546e-05,2024_alone
0.0007835955962662844,7.632385273026454e-05,2024_alone
0.00012407832279093256,0.0003768813608305832,2024_alone
0.0010994623725660846,0.0006898584405192754,2024_alone
7.5782966946214e-07,0.0009235606294826226,2024_alone
9.273245738350422e-05,2.417435015500402e-07,2024_alone
0.00012118809510097694,2.7524204505247063e-05,2024_alone
2.7866709908841436e-05,1.9472919730034732e-06,2024_alone
1.4204531217254512e-05,0.00031278314243787797,2024_alone
3.8522226162962525e-05,0.00017821857501365557,2024_alone
8.31585869325302e-05,4.097071313324818e-05,2024_alone
0.00010265668463438349,0.0001739054483859137,2024_alone
0.0008195249077500577,2.6047148076191462e-05,2024_alone
0.000796456764600606,0.001777443858997696,2024_alone
5.732567200933403e-07,4.775916460753038e-06,2024_alone
6.609880759111952e-05,0.00011592533996318544,2024_alone
8.876984927397302e-05,7.934647467955358e-07,2024_alone
2.1845597929948113e-05,8.500554505530555e-05,2024_alone
3.6169863383284095e-06,0.00025552396927408516,2024_alone
2.0207541262529105e-07,1.9628059014786814e-06,2024_alone
0.00015516299226581154,9.744056151250735e-05,2024_alone
5.576196370982167e-06,4.222278818499792e-05,2024_alone
0.00016662894596053412,0.0007421353656735796,2024_alone
0.0020817279763749585,7.365623619381978e-05,2024_alone
0.0003241054292052459,3.059692547380255e-05,2024_alone
0.0003547153956320326,3.472537185877922e-05,2024_alone
1.086717853859831e-05,0.00194409591551703,2024_alone
3.186033317104098e-05,2.4834326673994767e-06,2024_alone
3.6382381257693552e-06,0.00027864896786278237,2024_alone
0.00013402066519785372,6.062878249224468e-06,2024_alone
0.0003355695753807231,0.0007355146072894891,2024_alone
0.00046843197955726,0.0009937949299563265,2024_alone
1.926479338232312e-05,0.00016961934184267502,2024_alone
0.00016255983536295204,0.0002458772499934758,2024_alone
0.000298537318125236,7.631275609609744e-05,2024_alone
0.0004866708433186595,0.00011638931862278934,2024_alone
0.0010575567107113937,0.0001477960345328544,2024_alone
2.629369284656846e-05,8.023814972102361e-05,2024_alone
2.0202848631800663e-06,0.0002694285185861345,2024_alone
0.00020620393330661457,0.00021288194904633961,2024_alone
0.0005278116761574525,6.491967782484842e-05,2024_alone
1.3942077657036478e-05,1.8331962937656598e-06,2024_alone
7.231428047826949e-05,3.774730563332884e-05,2024_alone
4.8946646935443816e-05,0.001227814266088867,2024_alone
