dR2_M,dR2_OxM,stage
1.2416991681529765e-05,4.808341308970565e-05,B_drop2021_analysis_stage
1.9337024522170232e-05,0.0001143181707994323,B_drop2021_analysis_stage
9.450784488440611e-06,5.500654329804178e-07,B_drop2021_analysis_stage
5.560455146802479e-05,0.0003479164177687677,B_drop2021_analysis_stage
1.869019706868258e-05,9.329112589440136e-06,B_drop2021_analysis_stage
0.00011094604984385192,0.0001747723972117532,B_drop2021_analysis_stage
9.974993084860273e-05,4.29802882857544e-05,B_drop2021_analysis_stage
9.459429566671673e-05,0.00010256439471900691,B_drop2021_analysis_stage
7.456506444436517e-05,1.4906133082304152e-06,B_drop2021_analysis_stage
1.819201062591702e-05,3.2154449414179e-07,B_drop2021_analysis_stage
0.00024216560354983763,3.6552084344831925e-06,B_drop2021_analysis_stage
0.0005325923012601264,1.6895936186034355e-05,B_drop2021_analysis_stage
6.913873299907447e-05,3.660548260986385e-05,B_drop2021_analysis_stage
0.00016540723144931047,0.0003795266281395593,B_drop2021_analysis_stage
5.376203054474615e-05,0.00045203434456475566,B_drop2021_analysis_stage
1.9856616450319997e-05,3.5098663993538004e-05,B_drop2021_analysis_stage
0.00010563599284751923,7.23298088978197e-07,B_drop2021_analysis_stage
1.9776207515587174e-05,0.00012973161940943445,B_drop2021_analysis_stage
1.3988071978165983e-05,8.885314419115886e-05,B_drop2021_analysis_stage
2.00616670675835e-06,6.6374146949765844e-06,B_drop2021_analysis_stage
4.553651642758005e-06,0.00020355992943310586,B_drop2021_analysis_stage
7.298616465034602e-05,2.1301998132106092e-07,B_drop2021_analysis_stage
7.493822135706818e-05,3.5694963418375636e-07,B_drop2021_analysis_stage
6.125761621877945e-05,1.5125951703387486e-06,B_drop2021_analysis_stage
1.0663018962242532e-05,1.8921183838616074e-06,B_drop2021_analysis_stage
2.471210402976709e-08,5.633654698300461e-08,B_drop2021_analysis_stage
5.200621237388958e-05,1.5506755575156461e-06,B_drop2021_analysis_stage
0.0001755600475191743,7.374405908122661e-05,B_drop2021_analysis_stage
4.0596494574551834e-05,3.2758577399705224e-05,B_drop2021_analysis_stage
0.00015194974017662677,0.0004138613966661042,B_drop2021_analysis_stage
3.84082034421418e-06,0.00015655489768984232,B_drop2021_analysis_stage
0.00025288773786980023,0.00012178890586123092,B_drop2021_analysis_stage
2.3025347242411343e-05,6.412837892921797e-05,B_drop2021_analysis_stage
1.0335433264785365e-07,6.620738134821558e-05,B_drop2021_analysis_stage
0.00012931511781932858,1.906283774366635e-05,B_drop2021_analysis_stage
3.1383819304453553e-06,1.3349726071476553e-05,B_drop2021_analysis_stage
8.039555483563277e-07,1.8560749970308876e-07,B_drop2021_analysis_stage
1.1494298888026222e-05,7.77912837823802e-06,B_drop2021_analysis_stage
7.797665664044384e-05,0.00025643528063257204,B_drop2021_analysis_stage
0.00010366622831259331,0.00012355221927784488,B_drop2021_analysis_stage
3.935002253230291e-05,0.00015630209653705318,B_drop2021_analysis_stage
0.00017878140154370392,6.838309404288978e-07,B_drop2021_analysis_stage
2.3314121344597538e-07,3.2240219414170213e-06,B_drop2021_analysis_stage
0.00027695480200928824,0.0004581910035126313,B_drop2021_analysis_stage
1.759439151816089e-06,0.00016393896954403075,B_drop2021_analysis_stage
2.0195720597082634e-05,1.1075304334751124e-06,B_drop2021_analysis_stage
2.420103771494375e-06,9.352050745903284e-05,B_drop2021_analysis_stage
0.0003260779421262461,9.385285815177724e-08,B_drop2021_analysis_stage
1.9832283444820575e-05,3.221562095800934e-05,B_drop2021_analysis_stage
2.1378260123050552e-05,0.00017346420906816373,B_drop2021_analysis_stage
2.2933690957405162e-07,9.908944439307454e-05,B_drop2021_analysis_stage
2.882527059833162e-05,3.712513725773192e-06,B_drop2021_analysis_stage
4.841652459952606e-06,0.00011776608897429153,B_drop2021_analysis_stage
1.3888406041329127e-05,7.921330723570374e-05,B_drop2021_analysis_stage
7.839243153506814e-07,4.392303011302445e-06,B_drop2021_analysis_stage
1.0078707300964496e-06,0.00011001508907726443,B_drop2021_analysis_stage
1.0341023826132556e-07,2.854577249111756e-05,B_drop2021_analysis_stage
7.125360366067035e-06,1.9253071116276388e-05,B_drop2021_analysis_stage
5.489841860328859e-06,5.667873380632571e-07,B_drop2021_analysis_stage
1.2784446132174665e-05,1.0780401539234319e-06,B_drop2021_analysis_stage
4.0305221013503534e-05,0.00019780745148623158,B_drop2021_analysis_stage
6.258018139893018e-05,0.0001762746232965018,B_drop2021_analysis_stage
6.95615682018147e-05,3.9350052638553734e-07,B_drop2021_analysis_stage
0.00015740974068056968,2.310109269887395e-05,B_drop2021_analysis_stage
2.6686319060109653e-06,4.5629130870250556e-05,B_drop2021_analysis_stage
0.00018690343377714136,9.99308786309161e-06,B_drop2021_analysis_stage
7.3688538488880795e-06,6.770052294491347e-05,B_drop2021_analysis_stage
2.177611534537327e-05,6.705058420708454e-07,B_drop2021_analysis_stage
4.0319452760950725e-06,0.0003006313125991644,B_drop2021_analysis_stage
0.00021586105127602284,3.2835174475720486e-05,B_drop2021_analysis_stage
0.00012544365828159876,0.00012295025961106543,B_drop2021_analysis_stage
0.00020079237822556717,2.6848247740018927e-05,B_drop2021_analysis_stage
2.717590485490362e-05,3.284004146397734e-08,B_drop2021_analysis_stage
2.4128111712817812e-05,5.435094289518716e-06,B_drop2021_analysis_stage
0.0003372627563058561,0.0002402941760198951,B_drop2021_analysis_stage
5.311731701695965e-05,2.446468902572718e-06,B_drop2021_analysis_stage
7.121485434447017e-05,7.117086921581972e-06,B_drop2021_analysis_stage
1.6126447732744964e-08,4.0247744509391836e-05,B_drop2021_analysis_stage
1.6659966322163378e-05,4.0588082583781215e-07,B_drop2021_analysis_stage
0.0003998010596948376,2.502047669827867e-06,B_drop2021_analysis_stage
5.6201635484254275e-05,0.00032897229748296564,B_drop2021_analysis_stage
2.2196202960955702e-05,9.000696064698221e-05,B_drop2021_analysis_stage
2.6465503318529038e-05,7.899269131628195e-05,B_drop2021_analysis_stage
0.0002173517776823397,0.0003059172301786983,B_drop2021_analysis_stage
2.4055972447478702e-05,3.1683779791680244e-05,B_drop2021_analysis_stage
8.81174955136288e-06,9.718152930049406e-06,B_drop2021_analysis_stage
1.9540246682936413e-06,0.00014014434711662194,B_drop2021_analysis_stage
0.0001402347629803069,3.5758802495733377e-06,B_drop2021_analysis_stage
0.0002636081653791811,2.699383028159641e-05,B_drop2021_analysis_stage
4.5333968912153466e-08,1.714222287585443e-05,B_drop2021_analysis_stage
3.377938377113754e-05,1.527135080336972e-05,B_drop2021_analysis_stage
0.0001095687505516807,2.41916925636243e-06,B_drop2021_analysis_stage
5.988515784927095e-06,1.7808577006395154e-06,B_drop2021_analysis_stage
2.419243139151206e-09,6.403085008988008e-05,B_drop2021_analysis_stage
2.7038535334811264e-05,0.0001541576718884219,B_drop2021_analysis_stage
3.7786378034310175e-06,0.00037040935506615913,B_drop2021_analysis_stage
7.524248051060667e-06,0.0001823576065949073,B_drop2021_analysis_stage
0.00012452109455229898,7.139063269656631e-06,B_drop2021_analysis_stage
2.1170255235403168e-05,0.00020637327419137375,B_drop2021_analysis_stage
4.751348525733334e-08,6.4645086521597506e-06,B_drop2021_analysis_stage
2.957769200684357e-05,5.66136355506508e-06,B_drop2021_analysis_stage
1.0997333283357946e-05,3.9075706700586466e-05,B_drop2021_analysis_stage
5.998845886456827e-05,3.858917432264519e-07,B_drop2021_analysis_stage
5.360144476462825e-05,1.4821775555784455e-06,B_drop2021_analysis_stage
1.639117910179344e-05,1.1373563530758801e-05,B_drop2021_analysis_stage
2.6461535045263496e-05,0.0002437444534173494,B_drop2021_analysis_stage
1.4666099557025802e-08,3.59194013044295e-06,B_drop2021_analysis_stage
0.00020550745655989466,6.457556227978944e-05,B_drop2021_analysis_stage
6.833420945306923e-05,1.399603159035756e-06,B_drop2021_analysis_stage
1.6034056407598918e-05,7.0583953768466046e-06,B_drop2021_analysis_stage
4.814024041843723e-05,3.161107542870578e-05,B_drop2021_analysis_stage
6.935225514592691e-05,9.156862184311887e-05,B_drop2021_analysis_stage
0.00016292923097072087,5.96301605881866e-05,B_drop2021_analysis_stage
0.00019627164877622505,0.0005473225805251447,B_drop2021_analysis_stage
4.464039430440714e-06,1.7089411921800135e-05,B_drop2021_analysis_stage
0.00026164799996875043,0.00017488611059357506,B_drop2021_analysis_stage
8.187477572485502e-05,0.0005650685572730074,B_drop2021_analysis_stage
0.00017362253959019025,4.376655716908928e-05,B_drop2021_analysis_stage
1.6662873355111074e-05,0.00032660669711126467,B_drop2021_analysis_stage
7.714534237535098e-06,4.9348762668155466e-05,B_drop2021_analysis_stage
6.328217789142165e-05,3.2968059848648146e-05,B_drop2021_analysis_stage
2.542901202240433e-05,3.4816225458200734e-09,B_drop2021_analysis_stage
1.1916134745604268e-11,0.0004848598900389911,B_drop2021_analysis_stage
1.2839818291920935e-05,8.021653170720011e-05,B_drop2021_analysis_stage
5.20008659590232e-05,0.00014623378732658843,B_drop2021_analysis_stage
3.109024752678824e-05,5.2573213201179136e-05,B_drop2021_analysis_stage
5.4204509322031136e-05,5.222903671908696e-05,B_drop2021_analysis_stage
0.00011387480534230665,5.4193193758211855e-05,B_drop2021_analysis_stage
